-0.121097 -95.055183,51.386580 -90.553768,76.710130 69.589502,25.690978 83.227286,-25.908450 86.694311,-76.761321 100.378599,-51.535698 -99.565600,17.093286 -63.944979,68.364138 -55.970434,59.900058 108.755107,8.487477 114.417345,-43.018454 118.299949,-84.444447 -105.090735,-34.474538 -67.510225,34.275595 -32.603294,84.430819 4.876455,42.842482 141.625446,-8.726873 145.502771,-60.019052 151.179640,-68.450340 -44.165222,-17.324364 -36.166085,51.386580 -0.553768,76.710130 159.589502,25.690978 173.227286,-25.908450 176.694311,-76.761321 -169.621401,-51.535698 -9.565600,-0.121097 -5.055183,68.364138 34.029566,59.900058 -161.244893,8.487477 -155.582655,-43.018454 -151.700051,-84.444447 -15.090735,-34.474538 22.489775,17.093286 26.055021,84.430819 94.876455,42.842482 -128.374554,-8.726873 -124.497229,-60.019052 -118.820360,-68.450340 45.834778,-17.324364 53.833915,34.275595 57.396706
3.523138 -95.077841,54.994986 -90.172179,73.201655 72.737882,22.052649 83.248821,-29.537162 86.733453,-80.176791 105.888728,-47.933714 -99.274582,20.734220 -63.941198,71.920202 -54.247418,56.300571 109.317249,4.843240 114.397610,-46.627611 118.499371,-81.377067 -89.670889,-30.850740 -67.440744,37.904635 -32.505843,86.359982 44.336290,39.218340 141.774029,-12.367753 145.487628,-63.596522 151.942465,-64.889724 -42.972108,-13.686153 -36.171736,54.994986 -0.172179,73.201655 162.737882,22.052649 173.248821,-29.537162 176.733453,-80.176791 -164.111272,-47.933714 -9.274582,3.523138 -5.077841,71.920202 35.752582,56.300571 -160.682751,4.843240 -155.602390,-46.627611 -151.500629,-81.377067 0.329111,-30.850740 22.559256,20.734220 26.058802,86.359982 134.336290,39.218340 -128.225971,-12.367753 -124.512372,-63.596522 -118.057535,-64.889724 47.027892,-13.686153 53.828264,37.904635 57.494157
7.167451 -95.098692,58.597076 -89.666030,69.654878 74.734645,18.412340 83.256777,-33.162323 86.793965,-83.394803 117.162751,-44.326377 -99.053879,24.373309 -63.924951,75.445342 -51.602740,52.694325 109.739542,1.198927 114.375392,-50.231595 118.762733,-78.010963 -82.688282,-27.223277 -67.394396,41.530147 -32.372465,85.355947 94.064314,35.590536 141.883558,-16.006745 145.479045,-67.162375 152.995938,-61.316068 -42.117308,-10.045911 -36.184753,58.597076 0.333970,69.654878 164.734645,18.412340 173.256777,-33.162323 176.793965,-83.394803 -152.837249,-44.326377 -9.053879,7.167451 -5.098692,75.445342 38.397260,52.694325 -160.260458,1.198927 -155.624608,-50.231595 -151.237267,-78.010963 7.311718,-27.223277 22.605604,24.373309 26.075049,85.355947 -175.935686,35.590536 -128.116442,-16.006745 -124.520955,-67.162375 -117.004062,-61.316068 47.882692,-10.045911 53.815247,41.530147 57.627535
10.811418 -95.115843,62.191435 -88.986586,66.085953 76.086720,14.770429 83.254075,-36.783624 86.881084,-85.920751 145.538348,-40.714145 -98.887563,28.010182 -63.892985,78.911739 -47.179490,49.082399 110.059282,-2.445037 114.352543,-53.829858 119.109733,-74.539122 -78.876979,-23.592467 -67.366625,45.151751 -32.193705,82.518606 115.741015,31.959431 141.961988,-19.643462 145.479332,-70.711778 154.500122,-57.732688 -41.488717,-6.404034 -36.202982,62.191435 1.013414,66.085953 166.086720,14.770429 173.254075,-36.783624 176.881084,-85.920751 -124.461652,-40.714145 -8.887563,10.811418 -5.115843,78.911739 42.820510,49.082399 -159.940718,-2.445037 -155.647457,-53.829858 -150.890267,-74.539122 11.123021,-23.592467 22.633375,28.010182 26.107015,82.518606 -154.258985,31.959431 -128.038012,-19.643462 -124.520668,-70.711778 -115.499878,-57.732688 48.511283,-6.404034 53.797018,45.151751 57.806295
14.454621 -95.127275,65.775782 -88.056672,62.502627 77.043434,11.127311 83.243240,-40.400756 87.001447,-86.060577 -161.380694,-37.097390 -98.763946,31.644480 -63.841387,82.242218 -38.706638,45.465538 110.301834,-6.088229 114.330891,-57.421630 119.568580,-71.018474 -76.533825,-19.958637 -67.353708,48.769013 -31.956919,79.207686 124.783850,28.325373 142.015500,-23.277537 145.491114,-74.235377 156.755602,-54.141526 -41.018449,-2.760929 -36.224443,65.775782 1.943328,62.502627 167.043434,11.127311 173.243240,-40.400756 177.001447,-86.060577 -71.380694,-37.097390 -8.763946,14.454621 -5.127275,82.242218 51.293362,45.465538 -159.698166,-6.088229 -155.669109,-57.421630 -150.431420,-71.018474 13.466175,-19.958637 22.646292,31.644480 26.158613,79.207686 -145.216150,28.325373 -127.984500,-23.277537 -124.508886,-74.235377 -113.244398,-54.141526 48.981551,-2.760929 53.775557,48.769013 58.043081
18.096653 -95.130777,69.346190 -86.746510,58.909029 77.740999,7.483394 83.226503,-44.013393 87.163648,-83.654569 -130.547887,-33.476438 -98.674231,35.275854 -63.765341,85.150559 -18.776398,41.844291 110.485068,-9.730229 114.312306,-61.005748 120.181205,-67.470844 -74.979315,-16.322134 -67.352535,52.381393 -31.644744,75.748798 129.434152,24.688710 142.049002,-26.908623 145.517460,-77.712902 160.395165,-50.543791 -40.663022,0.882985 -36.247261,69.346190 3.253490,58.909029 167.740999,7.483394 173.226503,-44.013393 177.163648,-83.654569 -40.547887,-33.476438 -8.674231,18.096653 -5.130777,85.150559 71.223602,41.844291 -159.514932,-9.730229 -155.687694,-61.005748 -149.818795,-67.470844 15.020685,-16.322134 22.647465,35.275854 26.234659,75.748798 -140.565848,24.688710 -127.950998,-26.908623 -124.482540,-77.712902 -109.604835,-50.543791 49.336978,0.882985 53.752739,52.381393 58.355256
21.737117 -95.123854,72.895351 -84.820381,55.307544 78.259940,3.839094 83.205896,-47.621171 87.379078,-80.466533 -118.430634,-29.851599 -98.611637,38.903958 -63.658793,86.403029 28.893088,38.219102 110.621969,-13.370628 114.298754,-64.580353 121.012787,-63.906183 -73.894438,-12.683325 -67.360444,55.988167 -31.232606,72.227295 132.188557,21.049798 142.066475,-30.536388 145.562031,-81.092428 166.979233,-46.940279 -40.393285,4.527284 -36.269606,72.895351 5.179619,55.307544 168.259940,3.839094 173.205896,-47.621171 177.379078,-80.466533 -28.430634,-29.851599 -8.611637,21.737117 -5.123854,86.403029 118.893088,38.219102 -159.378031,-13.370628 -155.701246,-64.580353 -148.987213,-63.906183 16.105562,-12.683325 22.639556,38.903958 26.341207,72.227295 -137.811443,21.049798 -127.933525,-30.536388 -124.437969,-81.092428 -103.020767,-46.940279 49.606715,4.527284 53.730394,55.988167 58.767394
25.375632 -95.103625,76.408187 -81.804004,51.699644 78.650868,0.194835 83.183321,-51.223641 87.663227,-77.061393 -112.610938,-26.223182 -98.570821,42.528433 -63.513968,84.666825 71.101612,34.590354 110.722222,-17.009030 114.292374,-68.142286 122.170386,-60.329591 -73.110764,-9.042593 -67.375103,59.588296 -30.684493,68.673300 133.972206,17.409009 142.071222,-34.160517 145.629300,-84.202570 -178.754455,-43.331552 -40.188945,8.171544 -36.289631,76.408187 8.195996,51.699644 168.650868,0.194835 173.183321,-51.223641 177.663227,-77.061393 -22.610938,-26.223182 -8.570821,25.375632 -5.103625,84.666825 161.101612,34.590354 -159.277778,-17.009030 -155.707626,-68.142286 -147.829614,-60.329591 16.889236,-9.042593 22.624897,42.528433 26.486032,68.673300 -136.027794,17.409009 -127.928778,-34.160517 -124.370700,-84.202570 -88.754455,-43.331552 49.811055,8.171544 53.710369,59.588296 59.315507
29.011830 -95.066674,79.848690 -76.598955,48.086294 78.947188,-3.448959 83.160619,-54.820205 88.037767,-73.572664 -109.309681,-22.591506 -98.547486,46.148888 -63.320649,81.631231 87.769806,30.958401 110.793231,-20.645056 114.295549,-71.685802 123.842615,-56.743912 -72.531284,-5.400336 -67.394414,63.180174 -29.945379,65.099839 135.196838,13.766725 142.066042,-37.780700 145.724846,-86.291925 -142.129627,-39.718039 -40.035418,11.815342 -36.305414,79.848690 13.401045,48.086294 168.947188,-3.448959 173.160619,-54.820205 178.037767,-73.572664 -19.309681,-22.591506 -8.547486,29.011830 -5.066674,81.631231 177.769806,30.958401 -159.206769,-20.645056 -155.704451,-71.685802 -146.157385,-56.743912 17.468716,-5.400336 22.605586,46.148888 26.679351,65.099839 -134.803162,13.766725 -127.933958,-37.780700 -124.275154,-86.291925 -52.129627,-39.718039 49.964582,11.815342 53.694586,63.180174 60.054621
32.645357 -95.008865,83.109710 -66.118269,44.468175 79.171857,-7.091864 83.139623,-58.410007 88.534038,-70.043117 -107.230135,-18.956904 -98.538094,49.764864 -63.065074,78.264006 95.162447,27.323590 110.840784,-24.278341 114.311016,-75.199480 126.393739,-53.150841 -72.096257,-1.756966 -67.416433,66.761172 -28.926793,61.513366 136.071592,10.123346 142.053367,-41.396627 145.855779,-85.555300 -90.923417,-36.100096 -39.921922,15.458263 -36.314892,83.109710 23.881731,44.468175 169.171857,-7.091864 173.139623,-58.410007 178.534038,-70.043117 -17.230135,-18.956904 -8.538094,32.645357 -5.008865,78.264006 -174.837553,27.323590 -159.159216,-24.278341 -155.688984,-75.199480 -143.606261,-53.150841 17.903743,-1.756966 22.583567,49.764864 26.934926,61.513366 -133.928408,10.123346 -127.946633,-41.396627 -124.144221,-85.555300 -0.923417,-36.100096 50.078078,15.458263 53.685108,66.761172 61.073207
36.275865 -94.925082,85.757495 -40.037463,40.845801 79.341192,-10.733463 83.122222,-61.991730 89.199162,-66.490080 -105.828262,-15.319729 -98.539672,53.375782 -62.728196,74.782967 99.142315,23.686271 110.869504,-27.908545 114.341988,-78.657561 130.620685,-49.551446 -71.766898,1.887097 -67.439303,70.326669 -27.477067,57.917406 136.713495,6.479282 142.035368,-45.007965 146.031364,-82.814644 -67.318258,-32.478043 -39.840287,19.099901 -36.315785,85.757495 49.962537,40.845801 169.341192,-10.733463 173.122222,-61.991730 179.199162,-66.490080 -15.828262,-15.319729 -8.539672,36.275865 -4.925082,74.782967 -170.857685,23.686271 -159.130496,-27.908545 -155.658012,-78.657561 -139.379315,-49.551446 18.233102,1.887097 22.560697,53.375782 27.271804,57.917406 -133.286505,6.479282 -127.964632,-45.007965 -123.968636,-82.814644 22.681742,-32.478043 50.159713,19.099901 53.684215,70.326669 62.522933
