-631440.949249 -7069053.071318 -10037.273802,3820605.871020 3226444.525913 5026519.136049,-3205128.159333 3841672.079423 -5039058.832651,5952645.626917 -984780.489514 3728065.270406,-4665070.005952 4965782.747671 1978707.224026,-1296949.589356 -3992330.932750 -5727692.024635,-572122.343083 4152173.335782 5717355.674689,-5454106.553955 -4081528.424371 -1997604.707543,6032332.712206 -86533.270864 -3743985.380640,-3820605.871020 -3226444.525913 5026519.136049,3205128.159333 -3841672.079423 -5039058.832651,631440.949249 7069053.071318 -10037.273802,4665070.005952 -4965782.747671 1978707.224026,1296949.589356 3992330.932750 -5727692.024635,-5952645.626917 984780.489514 3728065.270406,5454106.553955 4081528.424371 -1997604.707543,-6032332.712206 86533.270864 -3743985.380640,572122.343083 -4152173.335782 5717355.674689
-518198.452784 -7075921.752096 174209.692104,3779064.065741 3416274.426605 4931820.699887,-3276703.114547 3658745.197959 -5128425.637527,5886263.169237 -833264.414619 3867404.589240,-4784455.962701 4918647.070640 1804503.545209,-1111398.694895 -4096639.224263 -5692926.015587,-773201.126894 4078647.234403 5746485.123634,-5339474.727911 -4145040.776701 -2169601.588395,6118948.279471 50521.616825 -3601201.322666,-3779064.065741 -3416274.426605 4931820.699887,3276703.114547 -3658745.197959 -5128425.637527,518198.452784 7075921.752096 174209.692104,4784455.962701 -4918647.070640 1804503.545209,1111398.694895 4096639.224263 -5692926.015587,-5886263.169237 833264.414619 3867404.589240,5339474.727911 4145040.776701 -2169601.588395,-6118948.279471 -50521.616825 -3601201.322666,773201.126894 -4078647.234403 5746485.123634
-404453.393165 -7076210.874037 358281.150304,3734568.161625 3602877.611184 4832155.751227,-3345825.664088 3472485.955122 -5212652.064374,5814659.158752 -680613.114550 4002847.336269,-4899271.315277 4867103.023535 1628481.212908,-925192.285191 -4197688.599858 -5652458.869816,-973836.117297 4001925.120651 5769830.838968,-5219781.436805 -4204926.957132 -2339416.058575,6200062.057220 187159.202568 -3454800.211013,-3734568.161625 -3602877.611184 4832155.751227,3345825.664088 -3472485.955122 -5212652.064374,404453.393165 7076210.874037 358281.150304,4899271.315277 -4867103.023535 1628481.212908,925192.285191 4197688.599858 -5652458.869816,-5814659.158752 680613.114550 4002847.336269,5219781.436805 4204926.957132 -2339416.058575,-6200062.057220 -187159.202568 -3454800.211013,973836.117297 -4001925.120651 5769830.838968
-290290.704551 -7069921.649739 541991.632980,3687147.923644 3786080.200471 4727624.376842,-3412441.663170 3283069.260802 -5291654.359446,5737910.189098 -526956.616224 4134257.252101,-5009420.495388 4811182.041611 1450817.655630,-738500.920812 -4295380.831938 -5606330.740391,-1173840.707224 3922081.365560 5787369.427120,-5095131.059332 -4261149.742723 -2506877.665792,6275590.031856 323267.484032 -3304928.493146,-3687147.923644 -3786080.200471 4727624.376842,3412441.663170 -3283069.260802 -5291654.359446,290290.704551 7069921.649739 541991.632980,5009420.495388 -4811182.041611 1450817.655630,738500.920812 4295380.831938 -5606330.740391,-5737910.189098 526956.616224 4134257.252101,5095131.059332 4261149.742723 -2506877.665792,-6275590.031856 -323267.484032 -3304928.493146,1173840.707224 -3922081.365560 5787369.427120
-175795.797485 -7057061.549017 725156.013224,3636835.301573 3965711.545345 4618331.573703,-3476498.674544 3090672.873217 -5365353.990557,5656097.431190 -372426.299315 4261502.163156,-5114812.479632 4750919.576688 1271691.960076,-551495.251386 -4389620.231276 -5554587.406264,-1373028.579619 3839192.627145 5799083.314549,-4965632.760923 -4313675.119741 -2671818.386016,6345453.248942 458735.277227 -3151736.155972,-3636835.301573 -3965711.545345 4618331.573703,3476498.674544 -3090672.873217 -5365353.990557,175795.797485 7057061.549017 725156.013224,5114812.479632 -4750919.576688 1271691.960076,551495.251386 4389620.231276 -5554587.406264,-5656097.431190 372426.299315 4261502.163156,4965632.760923 4313675.119741 -2671818.386016,-6345453.248942 -458735.277227 -3151736.155972,1373028.579619 -3839192.627145 5799083.314549
-61054.414950 -7037644.293280 907589.695619,3583664.368226 4141604.432846 4504387.145998,-3537946.042194 2895477.190250 -5433677.720254,5569306.547777 -217154.716252 4384454.113365,-5215360.922108 4686355.020920 1091284.687150,-364345.810797 -4480313.748468 -5497280.230214,-1571213.926625 3753337.760531 5804960.764501,-4831400.342256 -4362472.353138 -2834072.792039,6409577.896933 593452.380607 -2995376.578228,-3583664.368226 -4141604.432846 4504387.145998,3537946.042194 -2895477.190250 -5433677.720254,61054.414950 7037644.293280 907589.695619,5215360.922108 -4686355.020920 1091284.687150,364345.810797 4480313.748468 -5497280.230214,-5569306.547777 217154.716252 4384454.113365,4831400.342256 4362472.353138 -2834072.792039,-6409577.896933 -593452.380607 -2995376.578228,1571213.926625 -3753337.760531 5804960.764501
53847.303875 -7011689.836882 1089108.806313,3527671.370911 4313595.181483 4385905.597160,-3596734.870673 2697665.140539 -5496557.673861,5477627.591250 -61275.578555 4502989.491328,-5310984.141426 4617531.776071 909777.686293,-177222.940935 -4567371.055356 -5434466.111574,-1768211.554467 3664597.764916 5804995.888198,-4692552.209786 -4407513.905063 -2993478.218941,6467895.398170 727309.551984 -2836006.379017,-3527671.370911 -4313595.181483 4385905.597160,3596734.870673 -2697665.140539 -5496557.673861,-53847.303875 7011689.836882 1089108.806313,5310984.141426 -4617531.776071 909777.686293,177222.940935 4567371.055356 -5434466.111574,-5477627.591250 61275.578555 4502989.491328,4692552.209786 4407513.905063 -2993478.218941,-6467895.398170 -727309.551984 -2836006.379017,1768211.554467 -3664597.764916 5804995.888198
168822.967984 -6979224.349213 1269530.382315,3468894.667982 4481523.841193 4263006.016973,-3652818.097747 2497421.971725 -5553931.402383,5381154.911357 95076.425790 4616989.152829,-5401605.243527 4544497.170309 727353.908396,9703.411548 -4650704.644341 -5366207.433751,-1963837.102351 3573055.692532 5799188.650449,-4549211.216013 -4448775.498641 -3149874.926306,6520342.484009 860198.669701 -2673785.262624,-3468894.667982 -4481523.841193 4263006.016973,3652818.097747 -2497421.971725 -5553931.402383,-168822.967984 6979224.349213 1269530.382315,5401605.243527 -4544497.170309 727353.908396,-9703.411548 4650704.644341 -5366207.433751,-5381154.911357 -95076.425790 4616989.152829,4549211.216013 4448775.498641 -3149874.926306,-6520342.484009 -860198.669701 -2673785.262624,1963837.102351 -3573055.692532 5799188.650449
283785.975588 -6940280.186441 1448672.559829,3407374.719920 4645234.336011 4135811.963855,-3706150.518473 2294935.087300 -5605741.940237,5279987.051984 251765.732177 4726338.538619,-5487152.169086 4467302.444817 544197.217486,196263.834679 -4730229.915705 -5292572.006556,-2157907.203654 3478796.574287 5787544.869684,-4401504.558180 -4486236.104395 -3303106.257014,6566861.270189 992012.800391 -2508875.859768,-3407374.719920 -4645234.336011 4135811.963855,3706150.518473 -2294935.087300 -5605741.940237,-283785.975588 6940280.186441 1448672.559829,5487152.169086 -4467302.444817 544197.217486,-196263.834679 4730229.915705 -5292572.006556,-5279987.051984 -251765.732177 4726338.538619,4401504.558180 4486236.104395 -3303106.257014,-6566861.270189 -992012.800391 -2508875.859768,2157907.203654 -3478796.574287 5787544.869684
398649.575894 -6894895.857742 1626354.761356,3343154.067982 4804574.613906 4004451.342388,-3756688.817841 2090393.872128 -5651937.857792,5174226.645984 408656.016847 4830927.787365,-5567557.749757 4386002.722008 360492.201431,382289.602388 -4805865.265293 -5213633.003369,-2350239.657877 3381907.341007 5770076.212407,-4249563.660603 -4519877.938483 -3453018.792464,6607399.326268 1122646.283612 -2341443.565424,-3343154.067982 -4804574.613906 4004451.342388,3756688.817841 -2090393.872128 -5651937.857792,-398649.575894 6894895.857742 1626354.761356,5567557.749757 -4386002.722008 360492.201431,-382289.602388 4805865.265293 -5213633.003369,-5174226.645984 -408656.016847 4830927.787365,4249563.660603 4519877.938483 -3453018.792464,-6607399.326268 -1122646.283612 -2341443.565424,2350239.657877 -3381907.341007 5770076.212407
