-631440.949249 -7069053.071318 -10037.273802,3660382.995297 -2525931.568516 5521065.220603,2884069.770244 5511420.516397 3408140.775968,-1885451.294064 5926836.995892 -3424740.860975,-4053823.145444 -1840952.881657 -5532056.147405,6257055.317035 -2373369.297547 2355096.314401,1715583.584534 3738186.226995 5773850.121191,-5201888.002572 4674849.492829 1198805.679906,-4929549.693457 -854886.368655 -5039058.832651,2143658.732421 -5206364.389725 -4326321.941113,3032885.373627 4743354.361454 4311798.428507,-4704485.858852 1695519.479194 5026519.136049,-5932711.050589 -3702085.932520 -1218445.182636,1037929.570323 -3986932.961544 -5783993.884181,6577504.560934 1226241.114454 -2373506.410697,-3660382.995297 2525931.568516 5521065.220603,-2884069.770244 -5511420.516397 3408140.775968,1885451.294064 -5926836.995892 -3424740.860975,4053823.145444 1840952.881657 -5532056.147405,631440.949249 7069053.071318 -10037.273802,-1715583.584534 -3738186.226995 5773850.121191,5201888.002572 -4674849.492829 1198805.679906,4929549.693457 854886.368655 -5039058.832651,-2143658.732421 5206364.389725 -4326321.941113,-6257055.317035 2373369.297547 2355096.314401,4704485.858852 -1695519.479194 5026519.136049,5932711.050589 3702085.932520 -1218445.182636,-1037929.570323 3986932.961544 -5783993.884181,-6577504.560934 -1226241.114454 -2373506.410697,-3032885.373627 -4743354.361454 4311798.428507
-518198.452784 -7075921.752096 174209.692104,3711996.400423 -2323203.517556 5575245.764197,2802645.102177 5643354.422969 3257285.113961,-1987192.196972 5805633.927294 -3571856.376109,-4035508.272331 -2047485.021168 -5472512.547680,6241888.736314 -2236893.211289 2522304.658344,1532269.987007 3850391.180114 5751678.093460,-5299801.797771 4607598.565648 1017931.253875,-4806917.844680 -1008335.538878 -5128425.637527,2317373.191808 -5234311.825310 -4201116.987790,2853798.809918 4742490.335805 4432977.153788,-4848112.472610 1564628.270158 4931820.699887,-5842264.293560 -3781931.413027 -1397972.615580,1237013.264471 -3905628.070150 -5800298.634068,6610634.357413 1356512.376601 -2204154.487698,-3711996.400423 2323203.517556 5575245.764197,-2802645.102177 -5643354.422969 3257285.113961,1987192.196972 -5805633.927294 -3571856.376109,4035508.272331 2047485.021168 -5472512.547680,518198.452784 7075921.752096 174209.692104,-1532269.987007 -3850391.180114 5751678.093460,5299801.797771 -4607598.565648 1017931.253875,4806917.844680 1008335.538878 -5128425.637527,-2317373.191808 5234311.825310 -4201116.987790,-6241888.736314 2236893.211289 2522304.658344,4848112.472610 -1564628.270158 4931820.699887,5842264.293560 3781931.413027 -1397972.615580,-1237013.264471 3905628.070150 -5800298.634068,-6610634.357413 -1356512.376601 -2204154.487698,-2853798.809918 -4742490.335805 4432977.153788
-404453.393165 -7076210.874037 358281.150304,3760792.406728 -2118373.818992 5623814.210181,2718982.632486 5770004.422348 3103147.007429,-2087493.813448 5679084.492428 -3715384.186466,-4014079.920928 -2252068.113158 -5407486.601188,6221079.846521 -2098100.590930 2686970.925279,1347909.829858 3959553.711655 5723717.128374,-5392717.597128 4536156.121556 836031.037940,-4680173.883465 -1161327.044173 -5212652.064374,2488666.480989 -5257799.414200 -4071695.599854,2671846.374393 4737674.216489 4549690.531294,-4987467.618824 1432792.094540 4832155.751227,-5746322.366520 -3858406.021263 -1576092.937596,1435229.869135 -3821310.701515 -5810795.743398,6637730.420232 1485297.466748 -2032585.465987,-3760792.406728 2118373.818992 5623814.210181,-2718982.632486 -5770004.422348 3103147.007429,2087493.813448 -5679084.492428 -3715384.186466,4014079.920928 2252068.113158 -5407486.601188,404453.393165 7076210.874037 358281.150304,-1347909.829858 -3959553.711655 5723717.128374,5392717.597128 -4536156.121556 836031.037940,4680173.883465 1161327.044173 -5212652.064374,-2488666.480989 5257799.414200 -4071695.599854,-6221079.846521 2098100.590930 2686970.925279,4987467.618824 -1432792.094540 4832155.751227,5746322.366520 3858406.021263 -1576092.937596,-1435229.869135 3821310.701515 -5810795.743398,-6637730.420232 -1485297.466748 -2032585.465987,-2671846.374393 -4737674.216489 4549690.531294
-290290.704551 -7069921.649739 541991.632980,3806731.166137 -1911634.796495 5666721.869549,2633142.582367 5891253.289999 2945881.680895,-2186279.630134 5547309.382591 -3855180.770785,-3989550.043828 -2454512.088081 -5337042.895229,6194659.451127 -1957105.702144 2848929.200702,1162673.728514 4065568.884303 5689995.245797,-5480560.936781 4460571.803898 653288.375382,-4549442.213823 -1313726.538837 -5291654.359446,2657387.120809 -5276791.941927 -3938186.980875,2487192.899293 4728923.271974 4661821.258924,-5122415.596195 1300123.669151 4727624.376842,-5644967.040564 -3931457.735205 -1752627.076960,1632395.416855 -3734060.524981 -5815474.802780,6658757.955742 1612494.047641 -1858971.611833,-3806731.166137 1911634.796495 5666721.869549,-2633142.582367 -5891253.289999 2945881.680895,2186279.630134 -5547309.382591 -3855180.770785,3989550.043828 2454512.088081 -5337042.895229,290290.704551 7069921.649739 541991.632980,-1162673.728514 -4065568.884303 5689995.245797,5480560.936781 -4460571.803898 653288.375382,4549442.213823 1313726.538837 -5291654.359446,-2657387.120809 5276791.941927 -3938186.980875,-6194659.451127 1957105.702144 2848929.200702,5122415.596195 -1300123.669151 4727624.376842,5644967.040564 3931457.735205 -1752627.076960,-1632395.416855 3734060.524981 -5815474.802780,-6658757.955742 -1612494.047641 -1858971.611833,-2487192.899293 -4728923.271974 4661821.258924
-175795.797485 -7057061.549017 725156.013224,3849774.824270 -1703180.501105 5703925.733406,2545186.885183 6006988.947587 2785647.534061,-2283474.123455 5410434.125678 -3991106.402497,-3961932.833286 -2654628.874335 -5261251.418696,6162663.488972 -1814025.184136 3008016.319604,976732.735167 4168334.133287 5650546.241516,-5563262.235672 4380899.125720 469887.446097,-4414850.560265 -1465399.731770 -5365353.990557,2823386.263361 -5291258.008146 -3800724.475068,2300005.993894 4716257.972035 4769256.665856,-5252824.593137 1166735.987870 4618331.573703,-5538285.289131 -4001037.607653 -1927397.615518,1828326.611913 -3643959.287775 -5814331.172414,6673687.813560 1738001.456298 -1683487.309553,-3849774.824270 1703180.501105 5703925.733406,-2545186.885183 -6006988.947587 2785647.534061,2283474.123455 -5410434.125678 -3991106.402497,3961932.833286 2654628.874335 -5261251.418696,175795.797485 7057061.549017 725156.013224,-976732.735167 -4168334.133287 5650546.241516,5563262.235672 -4380899.125720 469887.446097,4414850.560265 1465399.731770 -5365353.990557,-2823386.263361 5291258.008146 -3800724.475068,-6162663.488972 1814025.184136 3008016.319604,5252824.593137 -1166735.987870 4618331.573703,5538285.289131 4001037.607653 -1927397.615518,-1828326.611913 3643959.287775 -5814331.172414,-6673687.813560 -1738001.456298 -1683487.309553,-2300005.993894 -4716257.972035 4769256.665856
-61054.414950 -7037644.293280 907589.695619,3889887.570438 -1493206.482595 5735388.514165,2455179.076501 6117104.602227 2622605.981227,-2379002.876365 5268588.933635 -4123025.285893,-3931244.688458 -2852232.619543 -5180187.497143,6125133.007465 -1668977.879431 3164072.032412,790258.132054 4267749.378994 5605409.654932,-5640756.901648 4297195.370085 286013.076966,-4276529.823932 -1616212.554633 -5433677.720254,2986517.888001 -5301170.041821 -3659445.438099,2110455.833480 4699701.980788 4871888.823512,-5378566.835384 1032742.165098 4504387.145998,-5426369.161924 -4067099.856808 -2100228.968698,2022841.041197 -3551090.718474 -5807365.986327,6682496.508513 1861720.861686 -1506308.885252,-3889887.570438 1493206.482595 5735388.514165,-2455179.076501 -6117104.602227 2622605.981227,2379002.876365 -5268588.933635 -4123025.285893,3931244.688458 2852232.619543 -5180187.497143,61054.414950 7037644.293280 907589.695619,-790258.132054 -4267749.378994 5605409.654932,5640756.901648 -4297195.370085 286013.076966,4276529.823932 1616212.554633 -5433677.720254,-2986517.888001 5301170.041821 -3659445.438099,-6125133.007465 1668977.879431 3164072.032412,5378566.835384 -1032742.165098 4504387.145998,5426369.161924 4067099.856808 -2100228.968698,-2022841.041197 3551090.718474 -5807365.986327,-6682496.508513 -1861720.861686 -1506308.885252,-2110455.833480 -4699701.980788 4871888.823512
53847.303875 -7011689.836882 1089108.806313,3927035.633825 -1281909.672653 5761078.681198,2363184.358392 6221498.804489 2456921.287333,-2472792.533240 5121908.611966 -4250805.687986,-3897504.257205 -3047139.793094 -5093931.722725,6082114.075700 -1522084.843324 3316939.167637,603421.346444 4363717.107057 5554630.731229,-5712985.302274 4209521.649503 101850.551550,-4134613.977947 -1766031.198410 -5496557.673861,3146638.839042 -5306504.394473 -3514491.103516,1918715.085055 4679282.077232 4969614.651580,-5499518.694262 898255.432670 4385905.597160,-5309315.770839 -4129601.789249 -2270947.563243,2215757.276188 -3455540.481040 -5794586.151333,6685166.286694 1983555.224063 -1327614.428172,-3927035.633825 1281909.672653 5761078.681198,-2363184.358392 -6221498.804489 2456921.287333,2472792.533240 -5121908.611966 -4250805.687986,3897504.257205 3047139.793094 -5093931.722725,-53847.303875 7011689.836882 1089108.806313,-603421.346444 -4363717.107057 5554630.731229,5712985.302274 -4209521.649503 101850.551550,4134613.977947 1766031.198410 -5496557.673861,-3146638.839042 5306504.394473 -3514491.103516,-6082114.075700 1522084.843324 3316939.167637,5499518.694262 -898255.432670 4385905.597160,5309315.770839 4129601.789249 -2270947.563243,-2215757.276188 3455540.481040 -5794586.151333,-6685166.286694 -1983555.224063 -1327614.428172,-1918715.085055 -4679282.077232 4969614.651580
168822.967984 -6979224.349213 1269530.382315,3961187.332328 -1069488.154649 5780970.490970,2269269.487811 6320075.577442 2288760.400775,-2564770.915466 4970532.399924 -4374320.065970,-3860732.402096 -3239169.403843 -5002569.879020,6033657.748634 -1373469.169314 3466463.791072,416393.745115 4456142.478800 5498260.378022,-5779892.860625 4117942.799423 -82414.580634,-3989239.920356 -1914722.282190 -5553931.402383,3303609.016082 -5307241.350096 -3366006.444919,1724958.691928 4655028.144354 5062336.019018,-5615560.828130 763388.984928 4263006.016973,-5187227.154532 -4188503.884533 -2439382.012479,2406895.083125 -3357396.077661 -5776004.340739,6681685.136958 2103409.448366 -1147583.609838,-3961187.332328 1069488.154649 5780970.490970,-2269269.487811 -6320075.577442 2288760.400775,2564770.915466 -4970532.399924 -4374320.065970,3860732.402096 3239169.403843 -5002569.879020,-168822.967984 6979224.349213 1269530.382315,-416393.745115 -4456142.478800 5498260.378022,5779892.860625 -4117942.799423 -82414.580634,3989239.920356 1914722.282190 -5553931.402383,-3303609.016082 5307241.350096 -3366006.444919,-6033657.748634 1373469.169314 3466463.791072,5615560.828130 -763388.984928 4263006.016973,5187227.154532 4188503.884533 -2439382.012479,-2406895.083125 3357396.077661 -5776004.340739,-6681685.136958 -2103409.448366 -1147583.609838,-1724958.691928 -4655028.144354 5062336.019018
283785.975588 -6940280.186441 1448672.559829,3992313.092820 -856140.988548 5795044.011609,2173502.750367 6412744.501883 2118292.783191,-2654867.055272 4814603.839303 -4493445.190181,-3820952.201665 -3428143.157431 -4906192.860780,5979819.998270 -1223255.903163 3612495.361365,229346.489088 4544933.423465 5436355.116510,-5841430.080577 4022527.348562 -266596.695054,-3840547.344874 -2062152.955596 -5605741.940237,3457291.484075 -5303365.171185 -3214140.033978,1529363.725536 4626973.119983 5149959.839956,-5726578.301477 628255.899658 4135811.963855,-5060210.196013 -4243769.794241 -2605363.288920,2596075.578030 -3256746.775239 -5751638.982777,6672046.820684 2221190.437909 -966397.501223,-3992313.092820 856140.988548 5795044.011609,-2173502.750367 -6412744.501883 2118292.783191,2654867.055272 -4814603.839303 -4493445.190181,3820952.201665 3428143.157431 -4906192.860780,-283785.975588 6940280.186441 1448672.559829,-229346.489088 -4544933.423465 5436355.116510,5841430.080577 -4022527.348562 -266596.695054,3840547.344874 2062152.955596 -5605741.940237,-3457291.484075 5303365.171185 -3214140.033978,-5979819.998270 1223255.903163 3612495.361365,5726578.301477 -628255.899658 4135811.963855,5060210.196013 4243769.794241 -2605363.288920,-2596075.578030 3256746.775239 -5751638.982777,-6672046.820684 -2221190.437909 -966397.501223,-1529363.725536 -4626973.119983 5149959.839956
398649.575894 -6894895.857742 1626354.761356,4020385.475859 -642068.024127 5803285.141915,2075953.915783 6499420.803602 1945690.236385,-2743011.244790 4654270.633363 -4608062.262466,-3778188.943276 -3613885.623049 -4804896.588629,5920661.645922 -1071571.936997 3754886.881822,42450.377094 4630000.732017 5368977.027153,-5897552.579706 3923347.469662 -450510.283067,-3688678.606098 -2208191.014299 -5651937.857792,3607552.595689 -5294864.133693 -3059043.894422,1332109.221641 4595152.952641 5232398.164454,-5832460.704012 492969.044685 4004451.342388,-4928376.524172 -4295366.354312 -2768724.894031,2783121.391767 -3153683.526401 -5721514.243783,6656250.891091 2336807.165272 -784238.388118,-4020385.475859 642068.024127 5803285.141915,-2075953.915783 -6499420.803602 1945690.236385,2743011.244790 -4654270.633363 -4608062.262466,3778188.943276 3613885.623049 -4804896.588629,-398649.575894 6894895.857742 1626354.761356,-42450.377094 -4630000.732017 5368977.027153,5897552.579706 -3923347.469662 -450510.283067,3688678.606098 2208191.014299 -5651937.857792,-3607552.595689 5294864.133693 -3059043.894422,-5920661.645922 1071571.936997 3754886.881822,5832460.704012 -492969.044685 4004451.342388,4928376.524172 4295366.354312 -2768724.894031,-2783121.391767 3153683.526401 -5721514.243783,-6656250.891091 -2336807.165272 -784238.388118,-1332109.221641 -4595152.952641 5232398.164454
513326.931988 -6843115.985158 1802397.881374,4045379.199357 -427469.713169 5805685.624808,1976694.191235 6580025.435211 1771126.726604,-2829135.084909 4489684.501998 -4718057.029896,-3732470.114176 -3796224.398421 -4698781.918762,5856248.290164 -918545.900721 3893495.048273,-144124.310952 4711258.149077 5296193.689904,-5948221.117349 3820478.925803 -633970.142571,-3533778.582812 -2352705.015847 -5692473.308708,3754262.111251 -5281730.558038 -2900873.352112,1133376.014168 4559606.555422 5309568.264044,-5933102.265865 357640.984254 3869056.276223,-4791842.410194 -4343263.594985 -2929303.024964,2967856.834645 -3048298.889416 -5685660.006109,6634302.706399 2450170.741897 -601289.584943,-4045379.199357 427469.713169 5805685.624808,-1976694.191235 -6580025.435211 1771126.726604,2829135.084909 -4489684.501998 -4718057.029896,3732470.114176 3796224.398421 -4698781.918762,-513326.931988 6843115.985158 1802397.881374,144124.310952 -4711258.149077 5296193.689904,5948221.117349 -3820478.925803 -633970.142571,3533778.582812 2352705.015847 -5692473.308708,-3754262.111251 5281730.558038 -2900873.352112,-5856248.290164 918545.900721 3893495.048273,5933102.265865 -357640.984254 3869056.276223,4791842.410194 4343263.594985 -2929303.024964,-2967856.834645 3048298.889416 -5685660.006109,-6634302.706399 -2450170.741897 -601289.584943,-1133376.014168 -4559606.555422 5309568.264044
627731.182811 -6784991.257236 1976624.470358,4067271.160954 -212546.921881 5802243.055195,1875796.174453 6654485.151818 1594778.206338,-2913171.532523 4321001.034092 -4823319.893731,-3683825.391695 -3974990.271798 -4587954.547680,5786650.230212 -764308.052541 4028180.392890,-330207.969062 4788622.462804 5218078.119022,-5993401.616673 3714001.013997 -816791.568152,-3375994.540074 -2495564.394658 -5727308.072055,3897293.314622 -5263960.837061 -2739786.881352,933346.568124 4520375.757557 5381392.712001,-6028401.968591 222383.886898 3729762.976433,-4650728.660196 -4387434.746955 -3086936.738111,3150108.059500 -2940686.947819 -5644111.840792,6606213.437444 2561194.484435 -417735.247200,-4067271.160954 212546.921881 5802243.055195,-1875796.174453 -6654485.151818 1594778.206338,2913171.532523 -4321001.034092 -4823319.893731,3683825.391695 3974990.271798 -4587954.547680,-627731.182811 6784991.257236 1976624.470358,330207.969062 -4788622.462804 5218078.119022,5993401.616673 -3714001.013997 -816791.568152,3375994.540074 2495564.394658 -5727308.072055,-3897293.314622 5263960.837061 -2739786.881352,-5786650.230212 764308.052541 4028180.392890,6028401.968591 -222383.886898 3729762.976433,4650728.660196 4387434.746955 -3086936.738111,-3150108.059500 2940686.947819 -5644111.840792,-6606213.437444 -2561194.484435 -417735.247200,-933346.568124 -4520375.757557 5381392.712001
741775.506189 -6720578.376432 2148858.916922,4086040.459331 2499.257456 5792960.882264,1773333.804709 6722732.581058 1416822.433883,-2995054.947557 4148379.536419 -4923746.013593,-3632286.631551 -4150017.381881 -4472524.912017,5711942.385222 -608990.166977 4158807.423791,-515631.820064 4862013.592706 5134708.692499,-6033065.181935 3603996.504411 -998790.540530,-3215475.989616 -2636639.577214 -5756407.589196,4036523.126424 -5241555.459850 -2575945.947561,732204.810404 4477505.254144 5447799.458318,-6118263.651994 87309.433189 3586711.605450,-4505160.502984 -4427856.245245 -3241468.109303,3329703.224096 -2830943.229006 -5596910.974970,6572000.069027 2669793.979720 -233760.182794,-4086040.459331 -2499.257456 5792960.882264,-1773333.804709 -6722732.581058 1416822.433883,2995054.947557 -4148379.536419 -4923746.013593,3632286.631551 4150017.381881 -4472524.912017,-741775.506189 6720578.376432 2148858.916922,515631.820064 -4862013.592706 5134708.692499,6033065.181935 -3603996.504411 -998790.540530,3215475.989616 2636639.577214 -5756407.589196,-4036523.126424 5241555.459850 -2575945.947561,-5711942.385222 608990.166977 4158807.423791,6118263.651994 -87309.433189 3586711.605450,4505160.502984 4427856.245245 -3241468.109303,-3329703.224096 2830943.229006 -5596910.974970,-6572000.069027 -2669793.979720 -233760.182794,-732204.810404 -4477505.254144 5447799.458318
855373.181295 -6649940.000433 2318927.627886,4101668.414294 217467.694573 5777848.406190,1669382.313226 6784706.286926 1237438.790836,-3074721.138724 3971982.879900 -5019235.406759,-3577887.855052 -4321143.374693 -4352608.083515,5632204.209376 -452725.421806 4285244.760327,-700228.069104 4931354.675243 5046169.076146,-6067188.110026 3490551.576622 -1179783.915047,-3052374.549135 -2775802.096550 -5779742.995439,4171832.213276 -5214519.032171 -2409514.846470,530135.959676 4431042.553850 5508721.899314,-6202596.116510 -47471.275217 3440046.136702,-4355267.474047 -4464507.729699 -3392742.390494,3506472.651999 -2719164.622492 -5544104.254057,6531685.395527 2775887.146787 -49549.662455,-4101668.414294 -217467.694573 5777848.406190,-1669382.313226 -6784706.286926 1237438.790836,3074721.138724 -3971982.879900 -5019235.406759,3577887.855052 4321143.374693 -4352608.083515,-855373.181295 6649940.000433 2318927.627886,700228.069104 -4931354.675243 5046169.076146,6067188.110026 -3490551.576622 -1179783.915047,3052374.549135 2775802.096550 -5779742.995439,-4171832.213276 5214519.032171 -2409514.846470,-5632204.209376 452725.421806 4285244.760327,6202596.116510 47471.275217 3440046.136702,4355267.474047 4464507.729699 -3392742.390495,-3506472.651999 2719164.622492 -5544104.254057,-6531685.395527 -2775887.146787 -49549.662455,-530135.959676 -4431042.553850 5508721.899314
