-631440.949249 -7069053.071318 -10037.273802,2776983.644134 -4689343.055351 4536818.551643,4089332.424818 1224900.745865 5659897.076333,2316700.730932 6216498.749305 2512987.954025,-1204289.099638 6522677.619883 -2531168.559803,-3818898.127011 1920735.130428 -5670427.377986,-3565156.335726 -4123168.575942 -4550749.970267,6238923.009368 -2918041.283019 1703828.179141,4297879.042987 1610035.442117 5403683.706399,-883879.987832 4921964.005108 5026519.136049,-5401466.279939 4521870.602326 856490.119336,-5849617.123381 713202.984190 -3960941.911438,-1899877.157362 -3630898.736843 -5799537.407904,3476842.185691 -5248351.014906 -3282721.421457,4353134.588324 4549342.522675 3265838.346220,-1230212.981001 3901678.449636 5789447.144448,-5885050.606110 310808.186038 3945518.534478,-6102945.207314 -3516916.795646 -876341.094755,-1724421.534124 -4696558.448079 -5039058.832651,3948708.257512 -2347441.420622 -5415055.253889,6656358.883994 1765621.962208 -1723028.443691,-2776983.644134 4689343.055351 4536818.551643,-4089332.424818 -1224900.745865 5659897.076333,-2316700.730932 -6216498.749305 2512987.954025,1204289.099638 -6522677.619883 -2531168.559803,3818898.127011 -1920735.130428 -5670427.377986,3565156.335726 4123168.575942 -4550749.970267,631440.949249 7069053.071318 -10037.273802,-4297879.042987 -1610035.442117 5403683.706399,883879.987832 -4921964.005108 5026519.136049,5401466.279939 -4521870.602326 856490.119336,5849617.123381 -713202.984190 -3960941.911438,1899877.157362 3630898.736843 -5799537.407904,-3476842.185691 5248351.014906 -3282721.421457,-6238923.009368 2918041.283019 1703828.179141,1230212.981001 -3901678.449636 5789447.144448,5885050.606110 -310808.186038 3945518.534478,6102945.207314 3516916.795646 -876341.094755,1724421.534124 4696558.448079 -5039058.832651,-3948708.257512 2347441.420622 -5415055.253889,-6656358.883994 -1765621.962208 -1723028.443691,-4353134.588324 -4549342.522675 3265838.346220
-518198.452784 -7075921.752096 174209.692104,2861281.394383 -4525175.266944 4649469.265612,4081136.686648 1436328.495058 5616033.329740,2222172.858779 6315868.404504 2345641.937358,-1313799.375605 6435149.603653 -2695726.559940,-3861009.844774 1712649.576458 -5708465.553649,-3508343.706626 -4295570.214830 -4433841.711086,6246304.539459 -2791355.113190 1879095.812871,4155224.078537 1758958.418749 5468306.056768,-1069048.406869 4980902.696763 4931820.699887,-5489568.044879 4446380.050170 673832.839047,-5774407.658409 560395.304658 -4093771.720002,-1718294.618374 -3746059.273285 -5782907.202754,3628527.025553 -5239393.135891 -3129056.085689,4201194.616097 4581082.666331 3416505.289885,-1428681.188941 3816967.839068 5800307.801518,-5980514.241036 173475.016893 3808395.619229,-6023436.294439 -3603305.812051 -1058031.681061,-1530214.730133 -4667080.736837 -5128425.637527,4111642.739009 -2224470.777832 -5345216.167763,6665506.454427 1889831.906707 -1546214.824120,-2861281.394383 4525175.266944 4649469.265612,-4081136.686648 -1436328.495058 5616033.329740,-2222172.858779 -6315868.404504 2345641.937358,1313799.375605 -6435149.603653 -2695726.559940,3861009.844774 -1712649.576458 -5708465.553649,3508343.706626 4295570.214830 -4433841.711086,518198.452784 7075921.752096 174209.692104,-4155224.078537 -1758958.418749 5468306.056768,1069048.406869 -4980902.696763 4931820.699887,5489568.044879 -4446380.050170 673832.839047,5774407.658409 -560395.304658 -4093771.720002,1718294.618374 3746059.273285 -5782907.202754,-3628527.025553 5239393.135891 -3129056.085689,-6246304.539459 2791355.113190 1879095.812871,1428681.188941 -3816967.839068 5800307.801518,5980514.241036 -173475.016893 3808395.619229,6023436.294439 3603305.812051 -1058031.681061,1530214.730133 4667080.736837 -5128425.637527,-4111642.739009 2224470.777832 -5345216.167763,-6665506.454427 -1889831.906707 -1546214.824120,-4201194.616097 -4581082.666331 3416505.289885
-404453.393165 -7076210.874037 358281.150304,2943445.898819 -4356847.514897 4757437.069117,4069785.252625 1646363.897069 5566516.596300,2125843.725395 6409337.005086 2175931.866278,-1422394.456878 6341676.514844 -2857574.272907,-3900197.464628 1503039.491947 -5740787.175593,-3448782.550605 -4463948.387555 -4312484.833363,6247997.455537 -2661896.243172 2052469.606952,4009066.069357 1906755.538686 5527423.536689,-1252899.457199 5035669.705724 4832155.751227,-5572518.294410 4366816.397506 490496.586737,-5694115.260669 406689.076976 -4222492.254447,-1535501.753638 -3858293.785170 -5760486.604244,3776641.485515 -5225864.646015 -2972246.222782,4045182.671548 4608914.216774 3563729.475509,-1626099.193086 3729310.057277 5805330.794257,-6070596.888712 36374.254762 3667435.505916,-5938278.671185 -3686454.041865 -1238657.066139,-1334348.219377 -4633812.999295 -5212652.064374,4271029.166411 -2099992.832291 -5270021.189480,6668534.367293 2012127.256820 -1367845.055526,-2943445.898819 4356847.514897 4757437.069117,-4069785.252625 -1646363.897069 5566516.596300,-2125843.725395 -6409337.005086 2175931.866278,1422394.456878 -6341676.514844 -2857574.272907,3900197.464628 -1503039.491947 -5740787.175593,3448782.550605 4463948.387555 -4312484.833363,404453.393165 7076210.874037 358281.150304,-4009066.069357 -1906755.538686 5527423.536689,1252899.457199 -5035669.705724 4832155.751227,5572518.294410 -4366816.397506 490496.586737,5694115.260669 -406689.076976 -4222492.254447,1535501.753638 3858293.785170 -5760486.604244,-3776641.485515 5225864.646015 -2972246.222782,-6247997.455537 2661896.243172 2052469.606952,1626099.193086 -3729310.057277 5805330.794257,6070596.888712 -36374.254762 3667435.505916,5938278.671185 3686454.041865 -1238657.066139,1334348.219377 4633812.999295 -5212652.064374,-4271029.166411 2099992.832291 -5270021.189480,-6668534.367293 -2012127.256820 -1367845.055526,-4045182.671548 -4608914.216774 3563729.475509
-290290.704551 -7069921.649739 541991.632980,3023413.036684 -4184518.869525 4860613.496009,4055282.796644 1854810.831511 5511396.516753,2027783.685830 6496818.741408 2004028.774209,-1529992.017927 6242348.507339 -3016549.451568,-3936428.482639 1292100.445238 -5767360.180528,-3386513.671190 -4628146.603803 -4186800.387724,6244011.926881 -2529769.303474 2223774.813700,3859546.017718 2053294.212269 5580976.866064,-1435267.672551 5086203.869622 4727624.376842,-5650252.090557 4283236.804520 306666.126145,-5608824.538418 252215.464282 -4346975.020621,-1351667.145552 -3967495.508720 -5732297.849042,3921057.180763 -5207762.250077 -2812448.912952,3885237.854385 4632827.039926 3707362.696291,-1822282.490831 3638787.691378 5804511.090000,-6155206.900146 -100380.725268 3522780.047058,-5847543.871728 -3766303.406350 -1418035.554518,-1137000.550653 -4596795.799639 -5291654.359446,4426714.877253 -1974115.285379 -5189545.049084,6665430.117095 2132412.371417 -1188098.470139,-3023413.036684 4184518.869525 4860613.496009,-4055282.796644 -1854810.831511 5511396.516753,-2027783.685830 -6496818.741408 2004028.774209,1529992.017927 -6242348.507339 -3016549.451568,3936428.482639 -1292100.445238 -5767360.180528,3386513.671190 4628146.603803 -4186800.387724,290290.704551 7069921.649739 541991.632980,-3859546.017718 -2053294.212269 5580976.866064,1435267.672551 -5086203.869622 4727624.376842,5650252.090557 -4283236.804520 306666.126145,5608824.538418 -252215.464282 -4346975.020621,1351667.145552 3967495.508720 -5732297.849042,-3921057.180763 5207762.250077 -2812448.912952,-6244011.926881 2529769.303474 2223774.813700,1822282.490831 -3638787.691378 5804511.090000,6155206.900146 100380.725268 3522780.047058,5847543.871728 3766303.406350 -1418035.554518,1137000.550653 4596795.799639 -5291654.359446,-4426714.877253 1974115.285379 -5189545.049084,-6665430.117095 -2132412.371417 -1188098.470139,-3885237.854385 -4632827.039926 3707362.696291
-175795.797485 -7057061.549017 725156.013224,3101120.176523 -4008352.111705 4958894.916756,4037636.279350 2061474.705961 5450728.356865,1928064.496745 6578233.515676 1830105.918465,-1636510.343286 6137261.205892 -3172492.796735,-3969672.439746 1080029.165512 -5788158.211343,-3321579.918244 -4788012.276886 -4056913.797104,6234363.371954 -2395081.686065 2392838.781944,3706807.687871 2198442.478906 5628912.352174,-1615989.291564 5132447.533215 4618331.573703,-5722709.492124 4195702.212992 122526.699079,-5518624.461838 97106.737818 -4467095.810308,-1166959.962761 -4073559.906855 -5698368.897854,4061649.365089 -5185086.690544 -2649824.298597,3721503.174859 4652814.310921 3847260.388620,-2017047.429932 3545485.373722 5797849.510027,-6234257.617175 -236677.252705 3374574.843236,-5751308.779565 -3842798.823615 -1595986.758993,-938351.885721 -4556072.604986 -5365353.990557,4578550.344505 -1846946.598840 -5103867.751337,6656186.955721 2250593.619616 -1007155.840835,-3101120.176523 4008352.111705 4958894.916756,-4037636.279350 -2061474.705961 5450728.356865,-1928064.496745 -6578233.515676 1830105.918465,1636510.343286 -6137261.205892 -3172492.796735,3969672.439746 -1080029.165512 -5788158.211343,3321579.918244 4788012.276886 -4056913.797104,175795.797485 7057061.549017 725156.013224,-3706807.687871 -2198442.478906 5628912.352174,1615989.291564 -5132447.533215 4618331.573703,5722709.492124 -4195702.212992 122526.699079,5518624.461838 -97106.737818 -4467095.810308,1166959.962761 4073559.906855 -5698368.897854,-4061649.365089 5185086.690544 -2649824.298597,-6234363.371954 2395081.686065 2392838.781944,2017047.429932 -3545485.373722 5797849.510027,6234257.617175 236677.252705 3374574.843236,5751308.779565 3842798.823615 -1595986.758993,938351.885721 4556072.604986 -5365353.990557,-4578550.344505 1846946.598840 -5103867.751337,-6656186.955721 -2250593.619616 -1007155.840835,-3721503.174859 -4652814.310921 3847260.388620
-61054.414950 -7037644.293280 907589.695619,3176506.269278 -3828513.538332 5052182.640013,4016854.926066 2266162.686713 5384572.954331,1826759.190895 6653507.042279 1654338.602859,-1741868.457758 6026515.588109 -3325248.115450,-3999900.958896 867023.314976 -5803160.641194,-3254026.110109 -4943396.909611 -3922954.736053,6219072.458415 -2257943.383075 2559491.133722,3550997.440169 2342069.169368 5671181.941235,-1794902.467158 5174346.597944 4504387.145998,-5789835.648624 4104277.237195 -61736.165282,-5423608.266862 -58503.900829 -4582734.820642,-981549.759618 -4176384.783259 -5658733.409859,4198297.103703 -5157842.720029 -2484535.425029,3554125.366705 4668872.546652 3983281.777268,-2210211.422771 3449489.679500 5785352.728772,-6307667.464004 -372403.527209 3222969.096759,-5649655.513357 -3915888.307774 -1772331.784377,-738583.781738 -4511689.744883 -5433677.720254,4726389.344431 -1718595.851094 -5013074.501115,6640803.886138 2366579.531327 -825199.196893,-3176506.269278 3828513.538332 5052182.640013,-4016854.926066 -2266162.686713 5384572.954331,-1826759.190895 -6653507.042279 1654338.602859,1741868.457758 -6026515.588109 -3325248.115450,3999900.958896 -867023.314976 -5803160.641194,3254026.110109 4943396.909611 -3922954.736053,61054.414950 7037644.293280 907589.695619,-3550997.440169 -2342069.169368 5671181.941235,1794902.467158 -5174346.597944 4504387.145998,5789835.648624 -4104277.237195 -61736.165282,5423608.266862 58503.900829 -4582734.820642,981549.759618 4176384.783259 -5658733.409859,-4198297.103703 5157842.720029 -2484535.425029,-6219072.458415 2257943.383075 2559491.133722,2210211.422771 -3449489.679500 5785352.728772,6307667.464004 372403.527209 3222969.096759,5649655.513357 3915888.307774 -1772331.784377,738583.781738 4511689.744883 -5433677.720254,-4726389.344431 1718595.851094 -5013074.501115,-6640803.886138 -2366579.531327 -825199.196893,-3554125.366705 -4668872.546652 3983281.777268
53847.303875 -7011689.836882 1089108.806313,3249511.820166 -3645172.855255 5140383.009099,3992950.261657 2468683.808909 5312996.660228,1723942.143345 6722570.884197 1476903.998000,-1845986.073923 5910217.908406 -3474662.475679,-4027087.746793 653281.377036 -5812352.592348,-3183899.093502 -5094156.178005 -3785057.005488,6198165.025731 -2118467.006591 2723563.938395,3392264.126459 2484043.956776 5707743.264479,-1971847.323351 5211850.614154 4385905.597160,-5851580.764211 4009030.218812 -245936.841311,-5323873.350873 -214482.334738 -4693776.768864,-795606.394388 -4275870.358556 -5613430.711893,4330883.289342 -5126039.188067 -2316748.077818,3383254.833349 4681001.523772 4115290.016430,-2401593.054410 3350889.080427 5767033.267467,-6375360.039354 -507448.600319 3068115.461348,-5542671.419833 -3985522.894360 -1946893.409364,-537879.107274 -4463696.338949 -5496557.673861,4870089.066149 -1589172.726498 -4917255.623727,6619285.715153 2480280.749350 -642411.638136,-3249511.820166 3645172.855255 5140383.009099,-3992950.261657 -2468683.808909 5312996.660228,-1723942.143345 -6722570.884197 1476903.998000,1845986.073923 -5910217.908406 -3474662.475679,4027087.746793 -653281.377036 -5812352.592348,3183899.093502 5094156.178005 -3785057.005488,-53847.303875 7011689.836882 1089108.806313,-3392264.126459 -2484043.956776 5707743.264479,1971847.323351 -5211850.614154 4385905.597160,5851580.764211 -4009030.218812 -245936.841311,5323873.350873 214482.334738 -4693776.768864,795606.394388 4275870.358556 -5613430.711893,-4330883.289342 5126039.188067 -2316748.077818,-6198165.025731 2118467.006591 2723563.938395,2401593.054410 -3350889.080427 5767033.267467,6375360.039354 507448.600319 3068115.461348,5542671.419833 3985522.894360 -1946893.409364,537879.107274 4463696.338949 -5496557.673861,-4870089.066149 1589172.726498 -4917255.623727,-6619285.715153 -2480280.749350 -642411.638136,-3383254.833349 -4681001.523772 4115290.016430
168822.967984 -6979224.349213 1269530.382315,3320078.980552 -3458502.977604 5223407.493338,3965936.087068 2668849.204081 5236071.275036,1619688.944582 6785362.541858 1297980.959456,-1948783.721357 5788479.570912 -3620586.357262,-4051208.630136 439002.427879 -5815724.949756,-3111247.663975 -5240150.110222 -3643358.403003,6171672.075489 -1976767.622279 2884891.883976,3230758.921762 2624237.518958 5738559.678716,-2146666.160148 5244912.826121 4263006.016973,-5907900.181177 3910033.111159 -429889.797857,-5219521.170727 -370693.711393 -4800111.002367,-609299.829634 -4371919.382708 -5562505.762387,4459294.807444 -5089689.007193 -2146630.616901,3209045.454202 4689204.306201 4243152.326476,-2591012.295807 3249773.841596 5742909.482206,-6437264.199213 -641702.537958 2910169.887989,-5430448.949878 -4051656.733459 -2119496.266290,-336421.822610 -4412144.253915 -5553931.402383,5009510.275271 -1458787.372564 -4816506.480175,6591643.036216 2591610.175087 -458977.147670,-3320078.980552 3458502.977604 5223407.493338,-3965936.087068 -2668849.204081 5236071.275036,-1619688.944582 -6785362.541858 1297980.959456,1948783.721357 -5788479.570912 -3620586.357262,4051208.630136 -439002.427879 -5815724.949756,3111247.663975 5240150.110222 -3643358.403003,-168822.967984 6979224.349213 1269530.382315,-3230758.921762 -2624237.518958 5738559.678716,2146666.160148 -5244912.826121 4263006.016973,5907900.181177 -3910033.111159 -429889.797857,5219521.170727 370693.711393 -4800111.002367,609299.829634 4371919.382708 -5562505.762387,-4459294.807444 5089689.007193 -2146630.616901,-6171672.075489 1976767.622279 2884891.883976,2591012.295807 -3249773.841596 5742909.482206,6437264.199213 641702.537958 2910169.887989,5430448.949878 4051656.733459 -2119496.266290,336421.822610 4412144.253915 -5553931.402383,-5009510.275271 1458787.372564 -4816506.480175,-6591643.036216 -2591610.175087 -458977.147670,-3209045.454202 -4689204.306201 4243152.326476
283785.975588 -6940280.186441 1448672.559829,3388151.577957 -3268679.872046 5301172.774185,3935828.482282 2866472.266530 5153873.979279,1514076.368054 6841825.506447 1117749.844021,-2050182.783973 5661417.020451 -3762873.799001,-4072241.572499 224385.965529 -5813274.369372,-3036122.553248 -5381243.212160 -3498000.588817,6139629.719935 -1832962.672000 3043312.445494,3066635.184961 2762521.644231 5763600.301376,-2319203.581558 5273490.235669 4135811.963855,-5958754.395536 3807361.442797 -613409.788931,-5110657.134400 -527002.541214 -4901631.603943,-422799.991279 -4464437.226681 -5506009.110080,4583422.621123 -5048809.173101 -1974353.807615,3031654.455645 4693487.213334 4366740.126298,-2778290.663053 3146235.944712 5713005.546439,-6493314.136457 -775056.491224 2749291.467107,-5313085.585007 -4114247.094277 -2289967.018604,-134396.826402 -4357088.042896 -5605741.940237,5144517.446337 -1327550.322494 -4710927.377414,6557892.237911 2700483.014227 -275080.403441,-3388151.577957 3268679.872046 5301172.774185,-3935828.482282 -2866472.266530 5153873.979279,-1514076.368054 -6841825.506447 1117749.844021,2050182.783973 -5661417.020451 -3762873.799001,4072241.572499 -224385.965529 -5813274.369372,3036122.553248 5381243.212160 -3498000.588817,-283785.975588 6940280.186441 1448672.559829,-3066635.184961 -2762521.644231 5763600.301376,2319203.581558 -5273490.235669 4135811.963855,5958754.395536 -3807361.442797 -613409.788931,5110657.134400 527002.541214 -4901631.603943,422799.991279 4464437.226681 -5506009.110080,-4583422.621123 5048809.173101 -1974353.807615,-6139629.719935 1832962.672000 3043312.445494,2778290.663053 -3146235.944712 5713005.546439,6493314.136457 775056.491224 2749291.467107,5313085.585007 4114247.094277 -2289967.018604,134396.826402 4357088.042896 -5605741.940237,-5144517.446337 1327550.322494 -4710927.377414,-6557892.237911 -2700483.014227 -275080.403441,-3031654.455645 -4693487.213334 4366740.126298
398649.575894 -6894895.857742 1626354.761356,3453675.157218 -3075882.387837 5373600.826097,3902645.802545 3061368.829516 5066487.258799,1407182.317900 6891909.312920 936392.324289,-2150105.554790 5529151.624614 -3901382.541745,-4090166.693953 9631.727321 -5805003.281199,-2958576.401699 -5517304.598923 -3349128.947470,6102079.132914 -1687171.875879 3198666.050216,2900048.312199 2898769.347907 5782840.040016,-2489306.636029 5297543.658591 4004451.342388,-6004109.079626 3701094.261207 -796312.043927,-4997390.490394 -683272.813016 -4998237.492181,-236276.616500 -4553331.976532 -5443996.847504,4703161.867176 -5003420.769611 -1800090.648849,2851242.265471 4693859.796811 4485929.161143,-2963251.386159 3040369.005241 5677351.427900,-6543449.455118 -907402.783662 2585642.267217,-5190683.748003 -4173254.383564 -2458134.535844,68010.211742 -4298584.886427 -5651937.857792,5274978.898209 -1195572.404942 -4600623.473642,6518055.500378 2806816.839308 -90906.588836,-3453675.157218 3075882.387837 5373600.826097,-3902645.802545 -3061368.829516 5066487.258799,-1407182.317900 -6891909.312920 936392.324289,2150105.554790 -5529151.624614 -3901382.541745,4090166.693953 -9631.727321 -5805003.281199,2958576.401699 5517304.598923 -3349128.947470,-398649.575894 6894895.857742 1626354.761356,-2900048.312199 -2898769.347907 5782840.040016,2489306.636029 -5297543.658591 4004451.342388,6004109.079626 -3701094.261207 -796312.043927,4997390.490394 683272.813016 -4998237.492181,236276.616500 4553331.976532 -5443996.847504,-4703161.867176 5003420.769611 -1800090.648849,-6102079.132914 1687171.875879 3198666.050216,2963251.386159 -3040369.005241 5677351.427900,6543449.455118 907402.783662 2585642.267217,5190683.748003 4173254.383564 -2458134.535844,-68010.211742 4298584.886427 -5651937.857792,-5274978.898209 1195572.404942 -4600623.473642,-6518055.500378 -2806816.839308 -90906.588836,-2851242.265471 -4693859.796811 4485929.161143
