-631440.949249 -7069053.071318 -10037.273802,2123477.892388 -5647532.577393 3728065.270406,3881948.761245 -1580614.184709 5717355.674689,3820605.871020 3226444.525913 5026519.136049,1967959.006181 6522960.509422 1978707.224026,-807654.024796 6764159.042858 -1997604.707543,-3205128.159333 3841672.079423 -5039058.832651,-4105934.802754 -872974.174565 -5727692.024635,-3091106.366944 -5180886.737418 -3743985.380640,6190153.723314 -3203061.795400 1330833.114139,5344028.191570 235319.601903 4654843.715036,1994060.402009 3561695.225241 5795869.719453,-2290850.121170 5218670.802103 4220065.018456,-5504022.054979 4429840.581468 664906.884702,-6140068.191816 1566017.366909 -3202543.732400,-3906426.887804 -2028882.089653 -5572244.905525,149375.000636 -4676473.978417 -5341672.995540,4136497.539069 -5141977.429716 -2617787.732423,4983561.083328 4327915.788872 2599739.513067,974245.831724 4572395.712816 5330066.870991,-3490157.417179 2673888.608831 5561386.592893,-6319575.731386 -478713.290947 3185506.199014,-6188112.714996 -3408557.104191 -684845.782330,-3160223.671584 -4743116.437413 -4234821.334860,1342498.955019 -3862176.263944 -5805937.911256,5218742.470018 -1179523.406928 -4668452.634117,6659041.568127 2054859.265129 -1350372.427503,-2123477.892388 5647532.577393 3728065.270406,-3881948.761245 1580614.184709 5717355.674689,-3820605.871020 -3226444.525913 5026519.136049,-1967959.006181 -6522960.509422 1978707.224026,807654.024796 -6764159.042858 -1997604.707543,3205128.159333 -3841672.079423 -5039058.832651,4105934.802754 872974.174565 -5727692.024635,3091106.366944 5180886.737418 -3743985.380640,631440.949249 7069053.071318 -10037.273802,-5344028.191570 -235319.601903 4654843.715036,-1994060.402009 -3561695.225241 5795869.719453,2290850.121170 -5218670.802103 4220065.018456,5504022.054979 -4429840.581468 664906.884702,6140068.191816 -1566017.366909 -3202543.732400,3906426.887804 2028882.089653 -5572244.905525,-149375.000636 4676473.978417 -5341672.995540,-4136497.539069 5141977.429716 -2617787.732423,-6190153.723314 3203061.795400 1330833.114139,-974245.831724 -4572395.712816 5330066.870991,3490157.417179 -2673888.608831 5561386.592893,6319575.731386 478713.290947 3185506.199014,6188112.714996 3408557.104191 -684845.782330,3160223.671584 4743116.437413 -4234821.334860,-1342498.955019 3862176.263944 -5805937.911256,-5218742.470018 1179523.406928 -4668452.634117,-6659041.568127 -2054859.265129 -1350372.427503,-4983561.083328 -4327915.788872 2599739.513067
-518198.452784 -7075921.752096 174209.692104,2221503.433488 -5514285.645229 3867404.589240,3918812.681515 -1369711.799077 5746485.123634,3779064.065741 3416274.426605 4931820.699887,1867445.334074 6602783.942307 1804503.545209,-919973.248390 6696641.145586 -2169601.588395,-3276703.114547 3658745.197959 -5128425.637527,-4103492.985799 -1085820.108619 -5692926.015587,-3015721.136124 -5324425.462877 -3601201.322666,6210035.812132 -3082609.627614 1509497.161380,5238749.339942 390404.159023 4762580.348787,1812970.503451 3678761.007856 5782236.024248,-2462989.950900 5242916.759462 4091434.122922,-5586534.182258 4349888.152401 481542.242966,-6094414.211805 1419477.366147 -3354659.278604,-3754267.756012 -2173401.039746 -5622144.406362,337016.927551 -4751644.085360 -5266218.710487,4272095.265773 -5112584.044726 -2451998.418952,4850576.826564 4377103.093590 2763158.202131,774855.232537 4527605.692219 5400392.807328,-3662585.412808 2556121.381752 5505722.898071,-6384294.967061 -614335.188630 3029884.188396,-6114807.211746 -3498449.551597 -867457.088095,-2983488.184504 -4745285.313119 -4358884.082477,1539966.931267 -3775833.862719 -5813711.549341,5344920.134229 -1044922.363174 -4556335.072851,6654781.822220 2174924.814562 -1170501.217263,-2221503.433488 5514285.645229 3867404.589240,-3918812.681515 1369711.799077 5746485.123634,-3779064.065741 -3416274.426605 4931820.699887,-1867445.334074 -6602783.942307 1804503.545209,919973.248390 -6696641.145586 -2169601.588395,3276703.114547 -3658745.197959 -5128425.637527,4103492.985799 1085820.108619 -5692926.015587,3015721.136124 5324425.462877 -3601201.322666,518198.452784 7075921.752096 174209.692104,-5238749.339942 -390404.159023 4762580.348787,-1812970.503451 -3678761.007856 5782236.024248,2462989.950900 -5242916.759462 4091434.122922,5586534.182258 -4349888.152401 481542.242966,6094414.211805 -1419477.366147 -3354659.278604,3754267.756012 2173401.039746 -5622144.406362,-337016.927551 4751644.085360 -5266218.710487,-4272095.265773 5112584.044726 -2451998.418952,-6210035.812132 3082609.627614 1509497.161380,-774855.232537 -4527605.692219 5400392.807328,3662585.412808 -2556121.381752 5505722.898071,6384294.967061 614335.188630 3029884.188396,6114807.211746 3498449.551597 -867457.088095,2983488.184504 4745285.313119 -4358884.082477,-1539966.931267 3775833.862719 -5813711.549341,-5344920.134229 1044922.363174 -4556335.072851,-6654781.822220 -2174924.814562 -1170501.217263,-4850576.826564 -4377103.093590 2763158.202131
-404453.393165 -7076210.874037 358281.150304,2317901.332027 -5375949.103102 4002847.336269,3952686.877175 -1157595.743623 5769830.838968,3734568.161625 3602877.611184 4832155.751227,1765399.203579 6676444.930830 1628481.212908,-1031682.847532 6622926.805041 -2339416.058575,-3345825.664088 3472485.955122 -5212652.064374,-4097901.107249 -1297604.277568 -5652458.869816,-2937946.404634 -5462990.847876 -3454800.211013,6224239.028000 -2959148.201308 1686639.920585,5128911.987646 545569.013615 4865520.439516,1630575.276373 3792946.759104 5762782.771865,-2632570.468579 5262667.194171 3958681.291406,-5663817.523582 4265934.783587 297692.416535,-6043327.114476 1271310.116000 -3503404.429025,-3599005.388559 -2316431.840444 -5666413.007479,524003.275022 -4822907.244408 -5185487.042919,4403566.956773 -5078671.380156 -2283743.274586,4712947.010241 4422503.585107 2923792.141984,574486.370581 4479165.711979 5465281.984435,-3831872.838597 2436547.522081 5444516.811975,-6443219.120809 -749072.046608 2871208.745942,-6035776.427101 -3585178.594803 -1049194.951348,-2803781.927692 -4743507.542988 -4478572.973723,1736288.535007 -3686600.384495 -5815664.246125,5466365.594081 -909822.549817 -4439646.763502,6644392.675168 2292849.043734 -989451.663740,-2317901.332027 5375949.103102 4002847.336269,-3952686.877175 1157595.743623 5769830.838968,-3734568.161625 -3602877.611184 4832155.751227,-1765399.203579 -6676444.930830 1628481.212908,1031682.847532 -6622926.805041 -2339416.058575,3345825.664088 -3472485.955122 -5212652.064374,4097901.107249 1297604.277568 -5652458.869816,2937946.404634 5462990.847876 -3454800.211013,404453.393165 7076210.874037 358281.150304,-5128911.987646 -545569.013615 4865520.439516,-1630575.276373 -3792946.759104 5762782.771865,2632570.468579 -5262667.194171 3958681.291406,5663817.523582 -4265934.783587 297692.416535,6043327.114476 -1271310.116000 -3503404.429025,3599005.388559 2316431.840444 -5666413.007479,-524003.275022 4822907.244408 -5185487.042919,-4403566.956773 5078671.380156 -2283743.274586,-6224239.028000 2959148.201308 1686639.920585,-574486.370581 -4479165.711979 5465281.984435,3831872.838597 -2436547.522081 5444516.811975,6443219.120809 749072.046608 2871208.745942,6035776.427101 3585178.594803 -1049194.951348,2803781.927692 4743507.542988 -4478572.973723,-1736288.535007 3686600.384495 -5815664.246125,-5466365.594081 909822.549817 -4439646.763502,-6644392.675168 -2292849.043734 -989451.663740,-4712947.010241 -4422503.585107 2923792.141984
-290290.704551 -7069921.649739 541991.632980,2412597.278207 -5232654.296504 4134257.252101,3983542.451896 -944464.810327 5787369.427120,3687147.923644 3786080.200471 4727624.376842,1661895.622572 6743876.428050 1450817.655630,-1142698.396862 6543087.804355 -2506877.665792,-3412441.663170 3283069.260802 -5291654.359446,-4089159.379793 -1508129.857827 -5606330.740391,-2857837.162539 -5596454.133340 -3304928.493146,6232761.987396 -2832776.117203 1862082.830906,5014626.293617 700678.781141 4963560.596184,1447044.075141 3904143.688443 5737529.454655,-2799441.686631 5277890.551345 3821940.057814,-5735812.537644 4178041.720494 113542.665654,-5986865.740000 1121639.956818 -3648630.346275,-3440787.604382 -2457845.718531 -5705006.778285,710165.238679 -4890188.734437 -5099558.252950,4530800.417307 -5040254.185774 -2113191.141805,4570792.807355 4464092.010770 3081479.512364,373323.647556 4427128.257648 5524669.323729,-3997858.045462 2315272.312643 5377829.712675,-6496284.961551 -882814.553433 2709639.703200,-5951086.086830 -3668682.877885 -1229876.503790,-2621267.116770 -4737798.317181 -4593768.641593,1931281.128140 -3594559.109079 -5811794.065311,5582958.971734 -774337.378535 -4318504.046551,6627874.129905 2408540.651408 -807405.908824,-2412597.278207 5232654.296504 4134257.252101,-3983542.451896 944464.810327 5787369.427120,-3687147.923644 -3786080.200471 4727624.376842,-1661895.622572 -6743876.428050 1450817.655630,1142698.396862 -6543087.804355 -2506877.665792,3412441.663170 -3283069.260802 -5291654.359446,4089159.379793 1508129.857827 -5606330.740391,2857837.162539 5596454.133340 -3304928.493146,290290.704551 7069921.649739 541991.632980,-5014626.293617 -700678.781141 4963560.596184,-1447044.075141 -3904143.688443 5737529.454655,2799441.686631 -5277890.551345 3821940.057814,5735812.537644 -4178041.720494 113542.665654,5986865.740000 -1121639.956818 -3648630.346275,3440787.604382 2457845.718531 -5705006.778285,-710165.238679 4890188.734437 -5099558.252950,-4530800.417307 5040254.185774 -2113191.141805,-6232761.987396 2832776.117203 1862082.830906,-373323.647556 -4427128.257648 5524669.323729,3997858.045462 -2315272.312643 5377829.712675,6496284.961551 882814.553433 2709639.703200,5951086.086830 3668682.877885 -1229876.503790,2621267.116770 4737798.317181 -4593768.641593,-1931281.128140 3594559.109079 -5811794.065311,-5582958.971734 774337.378535 -4318504.046551,-6627874.129905 -2408540.651408 -807405.908824,-4570792.807355 -4464092.010770 3081479.512364
-175795.797485 -7057061.549017 725156.013224,2505518.079350 -5084537.211348 4261502.163156,4011352.634939 -730518.683501 5799083.314549,3636835.301573 3965711.545345 4618331.573703,1557010.804933 6805017.331299 1271691.960076,-1252935.856908 6457201.676694 -2671818.386016,-3476498.674544 3090672.873217 -5365353.990557,-4077270.258944 -1717201.217871 -5554587.406264,-2775450.220780 -5724691.350724 -3151736.155972,6235608.584675 -2703594.936058 2035649.049887,4896006.256365 855597.644749 5056602.370757,1262546.929131 4012245.224742 5706501.378262,-2963456.429460 5288559.172729 3681347.997523,-5802464.734900 4086273.934919 -70721.471365,-5925093.720036 970592.962122 -3790191.780157,-3279764.553730 -2597514.845098 -5737887.426779,895335.088635 -4953417.012967 -5008517.797036,4653687.572092 -4997351.271502 -1940513.235193,4424239.842729 4501846.402030 3236061.485031,171552.487799 4371548.581994 5578495.274063,-4160382.188329 2192402.051325 5305728.485616,-6543434.675453 -1015454.634766 2545339.829950,-5860807.339120 -3748903.993289 -1409319.990882,-2436108.783875 -4728176.000795 -4704356.250131,2124762.996887 -3499795.280798 -5802104.844595,5694584.667510 -638580.187841 -4193027.756407,6605231.972488 2521910.521680 -624547.146746,-2505518.079350 5084537.211348 4261502.163156,-4011352.634939 730518.683501 5799083.314549,-3636835.301573 -3965711.545345 4618331.573703,-1557010.804933 -6805017.331299 1271691.960076,1252935.856908 -6457201.676694 -2671818.386016,3476498.674544 -3090672.873217 -5365353.990557,4077270.258944 1717201.217871 -5554587.406264,2775450.220780 5724691.350724 -3151736.155972,175795.797485 7057061.549017 725156.013224,-4896006.256365 -855597.644749 5056602.370757,-1262546.929131 -4012245.224742 5706501.378262,2963456.429460 -5288559.172729 3681347.997523,5802464.734900 -4086273.934919 -70721.471365,5925093.720036 -970592.962122 -3790191.780157,3279764.553730 2597514.845098 -5737887.426779,-895335.088635 4953417.012967 -5008517.797036,-4653687.572092 4997351.271502 -1940513.235193,-6235608.584675 2703594.936058 2035649.049887,-171552.487799 -4371548.581994 5578495.274063,4160382.188329 -2192402.051325 5305728.485616,6543434.675453 1015454.634766 2545339.829950,5860807.339120 3748903.993289 -1409319.990882,2436108.783875 4728176.000795 -4704356.250131,-2124762.996887 3499795.280798 -5802104.844595,-5694584.667510 638580.187841 -4193027.756407,-6605231.972488 -2521910.521680 -624547.146746,-4424239.842729 -4501846.402030 3236061.485031
-61054.414950 -7037644.293280 907589.695619,2596591.773063 -4931738.309963 4384454.113365,4036092.812916 -515957.705028 5804960.764501,3583664.368226 4141604.432846 4504387.145998,1450822.038216 6859812.558910 1091284.687150,-1362311.709997 6365351.608815 -2834072.792039,-3537946.042194 2895477.190250 -5433677.720254,-4062238.428497 -1924624.146321 -5497280.230214,-2690844.110925 -5847583.476583 -2995376.578228,6232788.007135 -2571709.023526 2207163.634924,4773169.586496 1010189.532136 5144552.354445,1077254.338313 4117147.134879 5669729.637468,-3124470.528774 5294649.305336 3537046.589833,-5863724.764587 3990700.010854 -254914.369077,-5858079.413177 818296.762080 -3927947.209953,-3116088.546069 -2735312.487451 -5765022.334645,1079346.377767 -5012523.784696 -4912456.248054,4772124.620029 -4949985.455897 -1765882.969042,4273418.024742 4535748.128823 3387382.384812,-30640.885179 4312484.647329 5626705.869015,-4319289.407147 2068043.910718 5228285.459126,-6584615.921044 -1146885.617259 2378474.668717,-5765016.647299 -3825786.585603 -1587344.957347,-2248474.570565 -4714662.128904 -4810225.604011,2316553.560102 -3402396.006506 -5786606.192169,5801131.487737 -502664.083971 -4063343.105555,6576477.749928 2632871.869442 -441059.436688,-2596591.773063 4931738.309963 4384454.113365,-4036092.812916 515957.705028 5804960.764501,-3583664.368226 -4141604.432846 4504387.145998,-1450822.038216 -6859812.558910 1091284.687150,1362311.709997 -6365351.608815 -2834072.792039,3537946.042194 -2895477.190250 -5433677.720254,4062238.428497 1924624.146321 -5497280.230214,2690844.110925 5847583.476583 -2995376.578228,61054.414950 7037644.293280 907589.695619,-4773169.586496 -1010189.532136 5144552.354445,-1077254.338313 -4117147.134879 5669729.637468,3124470.528774 -5294649.305336 3537046.589833,5863724.764587 -3990700.010854 -254914.369077,5858079.413177 -818296.762080 -3927947.209953,3116088.546069 2735312.487451 -5765022.334645,-1079346.377767 5012523.784696 -4912456.248054,-4772124.620029 4949985.455897 -1765882.969042,-6232788.007135 2571709.023526 2207163.634924,30640.885179 -4312484.647329 5626705.869015,4319289.407147 -2068043.910718 5228285.459126,6584615.921044 1146885.617259 2378474.668717,5765016.647299 3825786.585603 -1587344.957347,2248474.570565 4714662.128904 -4810225.604011,-2316553.560102 3402396.006506 -5786606.192169,-5801131.487737 502664.083971 -4063343.105555,-6576477.749928 -2632871.869442 -441059.436688,-4273418.024742 -4535748.128823 3387382.384812
53847.303875 -7011689.836882 1089108.806313,2685747.587964 -4774402.435771 4502989.491328,4057740.536302 -300982.757025 5804995.888198,3527671.370911 4313595.181483 4385905.597160,1343407.750147 6908213.073607 909777.686293,-1470742.904425 6267626.374791 -2993478.218941,-3596734.870673 2697665.140539 -5496557.673861,-4044070.832915 -2130205.958695 -5434466.111574,-2604079.150652 -5965016.499828 -2836006.379017,6224314.663555 -2437225.575750 2376453.722560,4646237.599666 1164318.147228 5227322.268780,891337.185695 4218747.601506 5627251.086487,-3282342.860236 5296141.192055 3389181.076158,-5919548.374856 3891392.196843 -438850.505814,-5785895.805880 664880.540817 -4061758.982570,-2949913.951593 -2871113.061991 -5786384.587116,1262034.003614 -5067444.091992 -4811469.210310,4886012.036903 -4898183.646397 -1589475.782276,4118461.505024 4565781.818772 3535289.847130,-233069.543489 4249997.058626 5669252.778712,-4474426.939581 1942305.918105 5145578.334518,-6619781.907323 -1277002.198611 2209212.366140,-5663795.786688 -3899278.278457 -1763772.431008,-2058534.657956 -4697281.325251 -4911271.253310,2506473.472695 -3302450.213001 -5765313.477957,5902492.748576 -366701.948647 -3929579.564088,6541628.815075 2741340.188562 -257127.514239,-2685747.587964 4774402.435771 4502989.491328,-4057740.536302 300982.757025 5804995.888198,-3527671.370911 -4313595.181483 4385905.597160,-1343407.750147 -6908213.073607 909777.686293,1470742.904425 -6267626.374791 -2993478.218941,3596734.870673 -2697665.140539 -5496557.673861,4044070.832915 2130205.958695 -5434466.111574,2604079.150652 5965016.499828 -2836006.379017,-53847.303875 7011689.836882 1089108.806313,-4646237.599666 -1164318.147228 5227322.268780,-891337.185695 -4218747.601506 5627251.086487,3282342.860236 -5296141.192055 3389181.076158,5919548.374856 -3891392.196843 -438850.505814,5785895.805880 -664880.540817 -4061758.982570,2949913.951593 2871113.061991 -5786384.587116,-1262034.003614 5067444.091992 -4811469.210310,-4886012.036903 4898183.646397 -1589475.782276,-6224314.663555 2437225.575750 2376453.722560,233069.543489 -4249997.058626 5669252.778712,4474426.939581 -1942305.918105 5145578.334518,6619781.907323 1277002.198611 2209212.366140,5663795.786688 3899278.278457 -1763772.431008,2058534.657956 4697281.325251 -4911271.253310,-2506473.472695 3302450.213001 -5765313.477957,-5902492.748576 366701.948647 -3929579.564088,-6541628.815075 -2741340.188562 -257127.514239,-4118461.505024 -4565781.818772 3535289.847130
168822.967984 -6979224.349213 1269530.382315,2772916.055714 -4612678.642040 4616989.152829,4076275.550045 -85795.026735 5799188.650449,3468894.667982 4481523.841193 4263006.016973,1234847.375150 6950175.947264 727353.908396,-1578146.989551 6164120.229569 -3149874.926306,-3652818.097747 2497421.971725 -5553931.402383,-4022776.661724 -2333755.723074 -5366207.433751,-2515217.341742 -6076881.567378 -2673785.262624,6210208.189270 -2300254.458769 2543348.705428,4515335.084346 1317847.148377 5304829.051493,704966.533762 4316947.339707 5579108.303722,-3436935.532318 5293019.074510 3237900.314089,-5969896.489310 3788426.285260 -622344.654363,-5708620.440646 510474.856995 -4191493.446433,-2781397.027702 -3004792.285898 -5801952.997573,1443234.413529 -5118116.380037 -4705657.229564,4995254.721462 -4841976.780997 -1411468.960899,3959508.502311 4591935.406065 3679634.971825,-435546.079865 4184149.003608 5706093.356175,-4625645.297965 1815296.815761 5057690.110853,-6648891.438916 -1405700.607551 2037723.501401,-5557231.727346 -3969329.772263 -1938425.104745,-1866461.555596 -4676061.293615 -5007392.593431,2694344.832935 -3200048.544567 -5738247.819586,5998566.397293 -230806.281857 -3791870.734678,6500708.293431 2847233.392255 -72936.601916,-2772916.055714 4612678.642040 4616989.152829,-4076275.550045 85795.026735 5799188.650449,-3468894.667982 -4481523.841193 4263006.016973,-1234847.375150 -6950175.947264 727353.908396,1578146.989551 -6164120.229569 -3149874.926306,3652818.097747 -2497421.971725 -5553931.402383,4022776.661724 2333755.723074 -5366207.433751,2515217.341742 6076881.567378 -2673785.262624,-168822.967984 6979224.349213 1269530.382315,-4515335.084346 -1317847.148377 5304829.051493,-704966.533762 -4316947.339707 5579108.303722,3436935.532318 -5293019.074510 3237900.314089,5969896.489310 -3788426.285260 -622344.654363,5708620.440646 -510474.856995 -4191493.446433,2781397.027702 3004792.285898 -5801952.997573,-1443234.413529 5118116.380037 -4705657.229564,-4995254.721462 4841976.780997 -1411468.960899,-6210208.189270 2300254.458769 2543348.705428,435546.079865 -4184149.003608 5706093.356175,4625645.297965 -1815296.815761 5057690.110853,6648891.438916 1405700.607551 2037723.501401,5557231.727346 3969329.772263 -1938425.104745,1866461.555596 4676061.293615 -5007392.593431,-2694344.832935 3200048.544567 -5738247.819586,-5998566.397293 230806.281857 -3791870.734678,-6500708.293431 -2847233.392255 -72936.601916,-3959508.502311 -4591935.406065 3679634.971825
283785.975588 -6940280.186441 1448672.559829,2858029.045860 -4446720.052583 4726338.538619,4091679.809758 129404.170230 5787544.869684,3407374.719920 4645234.336011 4135811.963855,1125221.319057 6985664.395267 544197.217486,-1684442.154691 6054932.814454 -3303106.257014,-3706150.518473 2294935.087300 -5605741.940237,-3998367.355402 -2535084.424529 -5292572.006556,-2424322.349077 -6183075.083308 -2508875.859768,6190493.404881 -2160908.136539 2707680.406619,4380590.177677 1470640.253698 5376994.937122,518313.478633 4411649.691385 5525349.550988,-3588113.994484 5285271.233879 3083356.627461,-6014735.217144 3681881.572286 -805212.072153,-5626335.324341 355211.550694 -4317021.081018,-2610695.780877 -3136227.278227 -5811712.126901,1622785.736512 -5164482.570528 -4595125.698072,5099762.063270 -4781399.832750 -1232041.458148,3796701.187910 4614200.110760 3820272.473135,-637882.768454 4115006.186336 5737190.678154,-4772798.410128 1687125.980166 4964709.004389,-6671908.969024 -1532878.666687 1864180.911878,-5445416.565670 -4035894.851858 -2111127.516369,-1672429.957864 -4651032.769075 -5098493.960117,2879991.336480 -3095283.288619 -5705436.063097,6089255.118688 -95089.127359 -3650354.223098,6453745.079647 2950471.853832 111327.781024,-2858029.045860 4446720.052583 4726338.538619,-4091679.809758 -129404.170230 5787544.869684,-3407374.719920 -4645234.336011 4135811.963855,-1125221.319057 -6985664.395267 544197.217486,1684442.154691 -6054932.814454 -3303106.257014,3706150.518473 -2294935.087300 -5605741.940237,3998367.355402 2535084.424529 -5292572.006556,2424322.349077 6183075.083308 -2508875.859768,-283785.975588 6940280.186441 1448672.559829,-4380590.177677 -1470640.253698 5376994.937122,-518313.478633 -4411649.691385 5525349.550988,3588113.994484 -5285271.233879 3083356.627461,6014735.217144 -3681881.572286 -805212.072153,5626335.324341 -355211.550694 -4317021.081018,2610695.780877 3136227.278227 -5811712.126901,-1622785.736512 5164482.570528 -4595125.698072,-5099762.063270 4781399.832750 -1232041.458148,-6190493.404881 2160908.136539 2707680.406619,637882.768454 -4115006.186336 5737190.678154,4772798.410128 -1687125.980166 4964709.004389,6671908.969024 1532878.666687 1864180.911878,5445416.565670 4035894.851858 -2111127.516369,1672429.957864 4651032.769075 -5098493.960117,-2879991.336480 3095283.288619 -5705436.063097,-6089255.118688 95089.127359 -3650354.223098,-6453745.079647 -2950471.853832 111327.781024,-3796701.187910 -4614200.110760 3820272.473135
398649.575894 -6894895.857742 1626354.761356,2941019.814991 -4276683.711937 4830927.787365,4103937.499495 344413.578199 5770076.212407,3343154.067982 4804574.613906 4004451.342388,1014610.903449 7014647.809331 360492.201431,-1789547.286430 5940169.054322 -3453018.792464,-3756688.817841 2090393.872128 -5651937.857792,-3970856.605715 -2734005.139917 -5213633.003369,-2331459.462061 -6283498.811302 -2341443.565424,6165200.278076 -2019301.578213 2869283.251294,4242134.236829 1622561.361213 5443747.532324,331548.993239 4502760.722195 5466028.727245,-3735747.157252 5272890.020001 2925705.652575,-6054035.870010 3571840.797782 -987268.690749,-5539126.836100 199223.631739 -4438216.621929,-2437969.820564 -3265296.670375 -5815652.297578,1800527.927665 -5206488.130854 -4479984.754725,5199448.020597 -4716491.797218 -1051373.712558,3630185.554428 4632570.428422 3957060.825681,-839891.738844 4042636.760414 5762513.580441,-4915743.764261 1557903.329581 4866728.362773,-6688804.644226 -1658435.872342 1688759.516241,-5328447.440303 -4098930.408305 -2281706.226204,-1476616.584869 -4622229.474814 -5184484.719492,3063238.439875 -2988248.295075 -5666910.758405,6174466.439777 40338.017317 -3505171.504384,6400773.821139 3050978.464085 295480.009248,-2941019.814991 4276683.711937 4830927.787365,-4103937.499495 -344413.578199 5770076.212407,-3343154.067982 -4804574.613906 4004451.342388,-1014610.903449 -7014647.809331 360492.201431,1789547.286430 -5940169.054322 -3453018.792464,3756688.817841 -2090393.872128 -5651937.857792,3970856.605715 2734005.139917 -5213633.003369,2331459.462061 6283498.811302 -2341443.565424,-398649.575894 6894895.857742 1626354.761356,-4242134.236829 -1622561.361213 5443747.532324,-331548.993239 -4502760.722195 5466028.727245,3735747.157252 -5272890.020001 2925705.652575,6054035.870010 -3571840.797782 -987268.690749,5539126.836100 -199223.631739 -4438216.621929,2437969.820564 3265296.670375 -5815652.297578,-1800527.927665 5206488.130854 -4479984.754725,-5199448.020597 4716491.797218 -1051373.712558,-6165200.278076 2019301.578213 2869283.251294,839891.738844 -4042636.760414 5762513.580441,4915743.764261 -1557903.329581 4866728.362773,6688804.644226 1658435.872342 1688759.516241,5328447.440303 4098930.408305 -2281706.226204,1476616.584869 4622229.474814 -5184484.719492,-3063238.439875 2988248.295075 -5666910.758405,-6174466.439777 -40338.017317 -3505171.504384,-6400773.821139 -3050978.464085 295480.009248,-3630185.554428 -4632570.428422 3957060.825681
