-0.081521 -95.104381,45.320345 40.180592,-45.377539 129.838428,31.866252 -9.393689,16.286976 133.211584,-53.927367 -107.996919,53.919398 97.845307,-16.436746 -143.191006,-31.978217 -0.821846,45.320345 -139.819408,-45.377539 -50.161572,-0.081521 84.895619,16.286976 -46.788416,-53.927367 72.003081,31.866252 170.606311,-16.436746 36.808994,-31.978217 179.178154,53.919398 -82.154693
1.415086 -94.188525,44.244103 42.113586,-46.409892 131.847024,33.203672 -8.057302,14.819235 134.207666,-53.456458 -105.178722,54.319326 100.734349,-17.895816 -142.177767,-30.628532 0.473057,44.244103 -137.886414,-46.409892 -48.152976,1.415086 85.811475,14.819235 -45.792334,-53.456458 74.821278,33.203672 171.942698,-17.895816 37.822233,-30.628532 -179.526943,54.319326 -79.265651
2.911283 -93.271283,43.131959 43.971781,-47.400752 133.935768,34.523151 -6.676163,13.345971 135.188719,-52.914736 -102.429560,54.642645 103.676645,-19.347803 -141.145940,-29.263396 1.729043,43.131959 -136.028219,-47.400752 -46.064232,2.911283 86.728717,13.345971 -44.811281,-52.914736 77.570440,34.523151 173.323837,-19.347803 38.854060,-29.263396 -178.270957,54.642645 -76.323355
4.406545 -92.351242,41.986495 45.758450,-48.347103 136.106946,35.823215 -5.247195,11.867820 136.156414,-52.305272 -99.755435,54.887223 106.661929,-20.791979 -140.093654,-27.883994 2.948807,41.986495 -134.241550,-48.347103 -43.893054,4.406545 87.648758,11.867820 -43.843586,-52.305272 80.244565,35.823215 174.752805,-20.791979 39.906346,-27.883994 -177.051193,54.887223 -73.338071
5.900344 -91.426978,40.810130 47.476996,-49.245792 138.362301,37.102280 -3.767208,10.385393 137.112370,-51.631318 -97.160905,55.051396 109.678814,-22.227581 -139.018957,-26.491429 4.134921,40.810130 -132.523004,-49.245792 -41.637699,5.900344 88.573022,10.385393 -42.887630,-51.631318 82.839095,37.102280 176.232792,-22.227581 40.981043,-26.491429 -175.865079,55.051396 -70.321186
7.392143 -90.497052,39.605128 49.130886,-50.093554 140.702891,38.358644 -2.232908,8.899283 138.058159,-50.896231 -94.649148,55.134022 112.715052,-23.653800 -137.919807,-25.086737 5.289841,39.605128 -130.869114,-50.093554 -39.297109,7.392143 89.502948,8.899283 -41.941841,-50.896231 85.350852,38.358644 177.767092,-23.653800 42.080193,-25.086737 -174.710159,55.134022 -67.284948
8.881398 -89.559997,38.373603 50.723595,-50.887036 143.128940,39.590476 -0.640914,7.410063 138.995308,-50.103422 -92.222074,55.134516 115.757856,-25.069780 -136.794070,-23.670885 6.415911,38.373603 -129.276405,-50.887036 -36.871060,8.881398 90.440003,7.410063 -41.004692,-50.103422 87.777926,39.590476 179.359086,-25.069780 43.205930,-23.670885 -173.584089,55.134516 -64.242144
10.367548 -88.614322,37.117522 52.258568,-51.622837 145.639688,40.795809 1.012220,5.918291 139.925311,-49.256293 -89.880456,55.052876 118.794250,-26.474613 -135.639510,-22.244784 7.515368,37.117522 -127.741432,-51.622837 -34.360312,10.367548 91.385678,5.918291 -40.074689,-49.256293 90.119544,40.795809 -178.987780,-26.474613 44.360490,-22.244784 -172.484632,55.052876 -61.205750
11.850022 -87.658497,35.838719 53.739188,-52.297546 148.233240,41.972531 2.729968,4.424513 140.849634,-48.358196 -87.624081,54.889677 121.811442,-27.867329 -134.453785,-20.809290 8.590347,35.838719 -126.260812,-52.297546 -31.766760,11.850022 92.341503,4.424513 -39.150366,-48.358196 92.375919,41.972531 -177.270032,-27.867329 45.546215,-20.809290 -171.409653,54.889677 -58.188558
13.328229 -86.690953,34.538898 55.168751,-52.907805 150.906432,43.118381 4.515798,2.929265 141.769718,-47.412400 -85.451900,54.646056 124.797176,-29.246896 -133.234441,-19.365212 9.642891,34.538898 -124.831249,-52.907805 -29.093568,13.328229 93.309047,2.929265 -38.230282,-47.412400 94.548100,43.118381 -175.484202,-29.246896 46.765559,-19.365212 -170.357109,54.646056 -55.202824
14.801555 -85.710070,33.219644 56.550446,-53.450360 153.654724,44.230940 6.373113,1.433077 142.686985,-46.422056 -83.362178,54.323673 127.740052,-30.612210 -131.978906,-17.913315 10.674952,33.219644 -123.449554,-53.450360 -26.345276,14.801555 94.289930,1.433077 -37.313015,-46.422056 96.637822,44.230940 -173.626887,-30.612210 48.021094,-17.913315 -169.325048,54.323673 -52.259948
