-643137.496851 -7270740.154446 -14913.447062,716170.266217 3602069.602702 6297808.336694,-75433.081585 3665494.032415 -6316435.754380,2626372.059881 -4947552.290665 4670465.145377,-2752925.534608 6286253.800815 2477811.478811,124093.523120 -1337984.672561 -7178899.939210,1297053.095329 -358957.651828 7163544.278507,-5703459.224510 3807975.982650 -2505887.720896,4403706.469328 -3449928.117163 -4694114.970073,-3602069.602702 716170.266217 6297808.336694,-3665494.032415 -75433.081585 -6316435.754380,7270740.154446 -643137.496851 -14913.447062,-6286253.800815 -2752925.534608 2477811.478811,1337984.672561 124093.523120 -7178899.939210,4947552.290665 2626372.059881 4670465.145377,-3807975.982650 -5703459.224510 -2505887.720896,3449928.117163 4403706.469328 -4694114.970073,358957.651828 1297053.095329 7163544.278507
-644902.024156 -7267439.745920 206362.674121,734099.472683 3790726.467139 6184218.810142,-91584.237387 3473554.229900 -6423815.804050,2564176.017820 -4817183.694003 4837898.967041,-2781563.840146 6352579.931257 2268637.816208,214811.258818 -1534443.332944 -7137325.474140,1118548.493731 -233853.059924 7198665.251769,-5637838.030414 3764189.949352 -2712463.740906,4516805.918729 -3531405.277470 -4522801.092416,-3790726.467139 734099.472683 6184218.810142,-3473554.229900 -91584.237387 -6423815.804050,7267439.745920 -644902.024156 206362.674121,-6352579.931257 -2781563.840146 2268637.816208,1534443.332944 214811.258818 -7137325.474140,4817183.694003 2564176.017820 4837898.967041,-3764189.949352 -5637838.030414 -2712463.740906,3531405.277470 4516805.918729 -4522801.092416,233853.059924 1118548.493731 7198665.251769
-646044.906430 -7257455.142825 427447.714974,752172.488129 3975825.065812 6064908.991503,-108498.366224 3278516.208702 -6525287.024650,2500205.051629 -4682113.735308 5000854.150444,-2807367.553393 6413185.648224 2057362.690124,304475.793161 -1729897.702784 -7089193.741802,939567.597378 -107751.952920 7227133.213794,-5567246.114448 3716653.765990 -2916532.970511,4625420.734832 -3610135.231718 -4347315.616107,-3975825.065812 752172.488129 6064908.991503,-3278516.208702 -108498.366224 -6525287.024650,7257455.142825 -646044.906430 427447.714974,-6413185.648224 -2807367.553393 2057362.690124,1729897.702784 304475.793161 -7089193.741802,4682113.735308 2500205.051629 5000854.150444,-3716653.765990 -5567246.114448 -2916532.970511,3610135.231718 4625420.734832 -4347315.616107,107751.952920 939567.597378 7227133.213794
-646535.825185 -7240797.768067 648136.931631,770356.721067 4157194.619906 5939988.754941,-126173.203696 3080561.823263 -6620757.068745,2434538.431000 -4542459.257648 5159180.215967,-2830338.142400 6468002.865275 1844181.815182,393010.153113 -1924164.682966 -7034548.415635,760278.686400 19231.732938 7248922.031875,-5491765.564619 3665390.119762 -3117907.333156,4729462.796322 -3686025.378946 -4167819.524290,-4157194.619906 770356.721067 5939988.754941,-3080561.823263 -126173.203696 -6620757.068745,7240797.768067 -646535.825185 648136.931631,-6468002.865275 -2830338.142400 1844181.815182,1924164.682966 393010.153113 -7034548.415635,4542459.257648 2434538.431000 5159180.215967,-3665390.119762 -5491765.564619 -3117907.333156,3686025.378946 4729462.796322 -4167819.524290,-19231.732938 760278.686400 7248922.031875
-646345.151846 -7217485.369283 868225.919379,788618.747634 4334667.881927 5809573.177703,-144604.985555 2879875.494620 -6710139.089110,2367256.444743 -4398341.661362 5312731.005011,-2850479.968544 6516968.889424 1629292.684081,480339.171703 -2117061.876416 -6973439.091679,580849.808839 146982.520607 7264011.706197,-5411482.832461 3610425.499940 -3316401.328843,4828848.518367 -3758985.328715 -3984477.574970,-4334667.881927 788618.747634 5809573.177703,-2879875.494620 -144604.985555 -6710139.089110,7217485.369283 -646345.151846 868225.919379,-6516968.889424 -2850479.968544 1629292.684081,2117061.876416 480339.171703 -6973439.091679,4398341.661362 2367256.444743 5312731.005011,-3610425.499940 -5411482.832461 -3316401.328843,3758985.328715 4828848.518367 -3984477.574970,-146982.520607 580849.808839 7264011.706197
-645443.917348 -7187542.008079 1087510.807686,806924.307638 4508081.304340 5673782.437965,-163788.474852 2676644.035848 -6793351.811018,2298440.357919 -4249886.764620 5461364.812862,-2867800.336667 6560026.460085 1412894.379880,566389.575340 -2308407.752148 -6905921.248137,401448.621680 275383.504804 7272388.386884,-5326488.673933 3551790.123865 -3511832.205252,4923498.969180 -3828926.951097 -3797458.153102,-4508081.304340 806924.307638 5673782.437965,-2676644.035848 -163788.474852 -6793351.811018,7187542.008079 -645443.917348 1087510.807686,-6560026.460085 -2867800.336667 1412894.379880,2308407.752148 566389.575340 -6905921.248137,4249886.764620 2298440.357919 5461364.812862,-3551790.123865 -5326488.673933 -3511832.205252,3828926.951097 4923498.969180 -3797458.153102,-275383.504804 401448.621680 7272388.386884
-643803.993965 -7150998.023622 1305788.454724,825238.427734 4677275.182001 5532741.707760,-183716.903842 2471056.479959 -6870319.599644,2228172.237328 -4097224.730305 5604944.517038,-2882309.350555 6597123.866241 1195187.386531,651090.008803 -2498021.822327 -6832056.200027,222242.235587 404316.447231 7274044.385800,-5236877.979347 3489518.019474 -3704020.125682,5013339.872175 -3895764.566195 -3606933.118731,-4677275.182001 825238.427734 5532741.707760,-2471056.479959 -183716.903842 -6870319.599644,7150998.023622 -643803.993965 1305788.454724,-6597123.866241 -2882309.350555 1195187.386531,2498021.822327 651090.008803 -6832056.200027,4097224.730305 2228172.237328 5604944.517038,-3489518.019474 -5236877.979347 -3704020.125682,3895764.566195 5013339.872175 -3606933.118731,-404316.447231 222242.235587 7274044.385800
-641398.063659 -7107890.008663 1522856.641166,843525.421720 4842093.814102 5386581.041055,-204382.006170 2263303.902438 -6940972.522554,2156534.908744 -3940489.918020 5743337.701026,-2894019.955997 6628214.974493 976373.397904,734371.116749 -2685724.806505 -6751911.048919,43397.058622 533661.893889 7268978.183090,-5142749.706697 3423646.943393 -3892788.333667,5098301.712733 -3959414.991692 -3413077.651329,-4842093.814102 843525.421720 5386581.041055,-2263303.902438 -204382.006170 -6940972.522554,7107890.008663 -641398.063659 1522856.641166,-6628214.974493 -2894019.955997 976373.397904,2685724.806505 734371.116749 -6751911.048919,3940489.918020 2156534.908744 5743337.701026,-3423646.943393 -5142749.706697 -3892788.333667,3959414.991692 5098301.712733 -3413077.651329,-533661.893889 43397.058622 7268978.183090
-638199.691650 -7058260.769539 1738514.263019,861748.953703 5002385.651239 5235435.257033,-225774.006523 2053579.244398 -7005246.407305,2083611.847904 -3779820.767625 5876416.773339,-2902947.885743 6653259.292935 756655.125506,816165.594119 -2871338.801512 -6665558.627767,-134921.358236 663299.283535 7257194.428475,-5044206.757813 3354218.375496 -4077963.314104,5178319.785997 -4019797.658168 -3216070.090426,-5002385.651239 861748.953703 5235435.257033,-2053579.244398 -225774.006523 -7005246.407305,7058260.769539 -638199.691650 1738514.263019,-6653259.292935 -2902947.885743 756655.125506,2871338.801512 816165.594119 -6665558.627767,3779820.767625 2083611.847904 5876416.773339,-3354218.375496 -5044206.757813 -4077963.314104,4019797.658168 5178319.785997 -3216070.090426,-663299.283535 -134921.358236 7257194.428475
-634183.378025 -7002159.281587 1952561.523274,879872.090597 5158003.441019 5079443.818651,-247881.621304 1842077.134215 -7063082.894116,2009487.084752 -3615359.671918 6004059.081812,-2909111.620099 6672222.021024 536236.105134,896408.239676 -3054687.449742 -6573077.440824,-312548.474339 793107.060060 7238703.937297,-4941355.861719 3281277.493732 -4259374.950759,5253334.250512 -4076834.708724 -3016091.772699,-5158003.441019 879872.090597 5079443.818651,-1842077.134215 -247881.621304 -7063082.894116,7002159.281587 -634183.378025 1952561.523274,-6672222.021024 -2909111.620099 536236.105134,3054687.449742 896408.239676 -6573077.440824,3615359.671918 2009487.084752 6004059.081812,-3281277.493732 -4941355.861719 -4259374.950759,4076834.708724 5253334.250512 -3016091.772699,-793107.060060 -312548.474339 7238703.937297
