-643137.496851 -7270740.154446 -14913.447062,235263.976889 -2286056.145337 6917566.026349,787492.331674 5860861.470091 4269482.090246,249844.968993 5901207.216484 -4294142.590767,-632969.355079 -2204962.955558 -6933893.518894,2982274.630514 -5969247.860486 2949589.082943,90918.183790 884161.489854 7234338.270436,-2926890.161820 6514255.225322 1500257.205013,-1898073.981146 3136694.408699 -6316435.754380,1748580.579548 -4567347.796939 -5423650.070316,4195442.996776 -2527474.898671 5402075.636440,-2761398.649031 2421256.445330 6297808.336694,-5898923.493403 4020169.906422 -1529437.007160,-885683.618411 63801.304970 -7249408.027107,5348541.748066 -3980633.794890 -2976940.552819,2286056.145337 235263.976889 6917566.026349,-5860861.470091 787492.331674 4269482.090246,-5901207.216484 249844.968993 -4294142.590767,2204962.955558 -632969.355079 -6933893.518894,7270740.154446 -643137.496851 -14913.447062,-884161.489854 90918.183790 7234338.270436,-6514255.225322 -2926890.161820 1500257.205013,-3136694.408699 -1898073.981146 -6316435.754380,4567347.796939 1748580.579548 -5423650.070316,5969247.860486 2982274.630514 2949589.082943,-2421256.445330 -2761398.649031 6297808.336694,-4020169.906422 -5898923.493403 -1529437.007160,-63801.304970 -885683.618411 -7249408.027107,3980633.794890 5348541.748066 -2976940.552819,2527474.898671 4195442.996776 5402075.636440
-644902.024156 -7267439.745920 206362.674121,253454.512891 -2075855.131912 6982763.035184,800474.141598 5987199.823519 4088393.504111,239683.804537 5769039.473940 -4470842.399152,-652215.321008 -2412627.309809 -6862578.224027,2941551.664536 -5885894.511542 3150469.399919,-1109.827415 1083096.857323 7207861.796732,-2942927.483367 6553600.585202 1283053.328382,-1816091.391114 2962394.085823 -6423815.804050,1815383.033179 -4714674.536665 -5273470.004471,4058637.065723 -2432938.962656 5547708.003326,-2915815.682999 2531112.025818 6184218.810142,-5857347.766245 3993388.260892 -1745053.867102,-706062.592759 -62259.599278 -7269118.321937,5418561.677656 -4032178.345234 -2773656.251561,2075855.131912 253454.512891 6982763.035184,-5987199.823519 800474.141598 4088393.504111,-5769039.473940 239683.804537 -4470842.399152,2412627.309809 -652215.321008 -6862578.224027,7267439.745920 -644902.024156 206362.674121,-1083096.857323 -1109.827415 7207861.796732,-6553600.585202 -2942927.483367 1283053.328382,-2962394.085823 -1816091.391114 -6423815.804050,4714674.536665 1815383.033179 -5273470.004471,5885894.511542 2941551.664536 3150469.399919,-2531112.025818 -2915815.682999 6184218.810142,-3993388.260892 -5857347.766245 -1745053.867102,62259.599278 -706062.592759 -7269118.321937,4032178.345234 5418561.677656 -2773656.251561,2432938.962656 4058637.065723 5547708.003326
-646044.906430 -7257455.142825 427447.714974,272336.226563 -1863831.040740 7041505.302322,813260.964021 6107979.889033 3903518.962516,228713.525460 5631637.306020 -4643418.263845,-671769.990320 -2618006.220057 -6784955.096065,2898501.852306 -5796947.779220 3348431.613392,-92267.724621 1281439.650009 7174723.869382,-2956100.697341 6586986.092393 1064661.054030,-1733220.445770 2785029.140343 -6525287.024650,1879889.772593 -4857977.605286 -5118430.816431,3918523.925721 -2335563.065013 5688206.631249,-3067079.263932 2639313.015654 6064908.991503,-5810521.473958 3962747.881678 -1959056.688684,-526351.170599 -189049.846998 -7282151.816792,5483394.412706 -4080320.176441 -2567808.753285,1863831.040740 272336.226563 7041505.302322,-6107979.889033 813260.964021 3903518.962516,-5631637.306020 228713.525460 -4643418.263845,2618006.220057 -671769.990320 -6784955.096065,7257455.142825 -646044.906430 427447.714974,-1281439.650009 -92267.724621 7174723.869382,-6586986.092393 -2956100.697341 1064661.054030,-2785029.140343 -1733220.445770 -6525287.024650,4857977.605286 1879889.772593 -5118430.816431,5796947.779220 2898501.852306 3348431.613392,-2639313.015653 -3067079.263932 6064908.991503,-3962747.881678 -5810521.473958 -1959056.688684,189049.846998 -526351.170599 -7282151.816792,4080320.176441 5483394.412706 -2567808.753285,2335563.065013 3918523.925721 5688206.631249
-646535.825185 -7240797.768067 648136.931631,291899.355178 -1650181.454555 7093738.869468,825816.442779 6223091.269628 3715029.448371,216921.602520 5489131.184712 -4811711.935740,-691605.033401 -2820910.755833 -6701094.665546,2853189.177120 -5702479.575718 3543292.474124,-182474.902922 1479003.946281 7134954.910119,-2966423.986917 6614368.830487 845282.706628,-1649550.111309 2604758.195026 -6620757.068745,1942059.359194 -4997114.875824 -4958674.350317,3775244.824310 -2235422.656500 5823441.970540,-3215057.788781 2745745.800373 5939988.754941,-5758505.345070 3928254.651252 -2171247.832840,-346716.100239 -316453.909397 -7288496.694845,5542994.578951 -4124991.634186 -2359587.838174,1650181.454555 291899.355178 7093738.869468,-6223091.269628 825816.442779 3715029.448371,-5489131.184712 216921.602520 -4811711.935740,2820910.755833 -691605.033401 -6701094.665546,7240797.768067 -646535.825185 648136.931631,-1479003.946281 -182474.902922 7134954.910119,-6614368.830487 -2966423.986917 845282.706628,-2604758.195026 -1649550.111309 -6620757.068745,4997114.875824 1942059.359194 -4958674.350317,5702479.575718 2853189.177120 3543292.474124,-2745745.800373 -3215057.788781 5939988.754941,-3928254.651252 -5758505.345070 -2171247.832840,316453.909397 -346716.100239 -7288496.694845,4124991.634186 5542994.578951 -2359587.838174,2235422.656500 3775244.824310 5823441.970540
-646345.151846 -7217485.369283 868225.919379,312132.639537 -1435105.373250 7139415.765374,838103.984750 6332428.953172 3523099.331680,204296.850837 5341656.247074 -4975569.182889,-711691.041668 -3021154.294821 -6611073.159109,2805679.373401 -5602567.209063 3734871.640193,-271652.430891 1675604.170957 7088591.432499,-2973914.336286 6635711.535786 625121.513153,-1565169.338314 2421742.845300 -6710139.089110,2001853.062114 -5131947.797212 -4794346.851419,3628943.550178 -2132596.344976 5953289.365376,-3359623.128900 2850297.810315 5809573.177703,-5701364.847212 3889918.296446 -2381431.414440,-167323.542030 -444354.971373 -7288147.203783,5597321.886494 -4166128.082492 -2149185.564992,1435105.373250 312132.639537 7139415.765374,-6332428.953172 838103.984750 3523099.331680,-5341656.247074 204296.850837 -4975569.182889,3021154.294821 -711691.041668 -6611073.159109,7217485.369283 -646345.151846 868225.919379,-1675604.170957 -271652.430891 7088591.432499,-6635711.535786 -2973914.336286 625121.513153,-2421742.845300 -1565169.338314 -6710139.089110,5131947.797212 2001853.062114 -4794346.851419,5602567.209063 2805679.373401 3734871.640193,-2850297.810315 -3359623.128900 5809573.177703,-3889918.296446 -5701364.847212 -2381431.414440,444354.971373 -167323.542030 -7288147.203783,4166128.082492 5597321.886494 -2149185.564992,2132596.344976 3628943.550178 5953289.365376
-645443.917348 -7187542.008079 1087510.807686,333023.345894 -1218803.023818 7178494.046991,850086.743287 6435893.424846 3327906.207097,190829.396012 5189352.162185 -5134839.927242,-731997.529445 -3218552.703090 -6514972.436484,2756039.907318 -5497293.281898 3922991.845900,-359723.138948 1871055.267211 7035676.010686,-2978591.568636 6650982.608780 404381.409011,-1480166.997993 2236147.494507 -6793351.811018,2059234.940173 -5262341.514178 -4625598.837721,3479766.310565 -2027165.788986 6077629.165197,-3500650.778065 2952857.601516 5673782.437965,-5639170.150920 3847752.328663 -2589413.485763,11661.087466 -572635.039285 -7281103.660454,5646341.208447 -4203667.923524 -1936796.092236,1218803.023818 333023.345894 7178494.046991,-6435893.424846 850086.743287 3327906.207097,-5189352.162185 190829.396012 -5134839.927242,3218552.703090 -731997.529445 -6514972.436484,7187542.008079 -645443.917348 1087510.807686,-1871055.267211 -359723.138948 7035676.010686,-6650982.608780 -2978591.568636 404381.409011,-2236147.494507 -1480166.997993 -6793351.811018,5262341.514178 2059234.940173 -4625598.837721,5497293.281898 2756039.907318 3922991.845899,-2952857.601516 -3500650.778065 5673782.437965,-3847752.328663 -5639170.150920 -2589413.485763,572635.039285 11661.087466 -7281103.660454,4203667.923524 5646341.208447 -1936796.092236,2027165.788986 3479766.310565 6077629.165197
-643803.993965 -7150998.023622 1305788.454724,354557.245132 -1001475.678426 7210937.835380,861727.787633 6533390.749628 3129630.728020,176510.797649 5032362.988086 -5289378.377059,-752493.024247 -3412924.492791 -6412879.922583,2704339.789787 -5386745.668134 4107479.067322,-446611.658448 2065172.875486 6976257.242987,-2980478.185806 6660156.207280 183266.843448,-1394631.745811 2048139.233910 -6870319.599644,2114171.771247 -5388165.042572 -4452584.967026,3327861.542973 -1919215.696813 6196346.831269,-3638019.914236 3053315.033597 5532741.707760,-5571995.973802 3801774.148775 -2795002.217611,190073.258602 -701175.043327 -7267372.450606,5690022.531981 -4237552.778911 -1722615.496764,1001475.678426 354557.245132 7210937.835380,-6533390.749628 861727.787633 3129630.728020,-5032362.988086 176510.797649 -5289378.377059,3412924.492791 -752493.024247 -6412879.922583,7150998.023622 -643803.993965 1305788.454724,-2065172.875486 -446611.658448 6976257.242987,-6660156.207280 -2980478.185806 183266.843448,-2048139.233910 -1394631.745811 -6870319.599644,5388165.042572 2114171.771247 -4452584.967026,5386745.668134 2704339.789787 4107479.067322,-3053315.033597 -3638019.914236 5532741.707760,-3801774.148775 -5571995.973802 -2795002.217611,701175.043327 190073.258602 -7267372.450606,4237552.778911 5690022.531981 -1722615.496764,1919215.696813 3327861.542973 6196346.831269
-641398.063659 -7107890.008663 1522856.641166,376718.640086 -783325.463036 7236717.346382,872990.088656 6624832.673645 2928456.437346,161334.011387 4870837.031318 -5439043.154932,-773145.073520 -3604090.998433 -6304888.534697,2650649.554761 -5271017.400993 4288162.684381,-532244.504241 2257773.505916 6910389.710165,-2979599.399722 6663212.246265 -38017.415520,-1308651.960639 1857887.672911 -6940972.522554,2166633.127115 -5509291.383849 -4275463.899781,3173379.789984 -1808833.713073 6309333.038317,-3771613.539660 3151561.350998 5386581.041055,-5499921.535366 3752004.979343 -2998008.077889,367749.481319 -829854.949637 -7246966.023736,5728341.025812 -4267727.504536 -1506841.590084,783325.463036 376718.640086 7236717.346382,-6624832.673645 872990.088656 2928456.437346,-4870837.031318 161334.011387 -5439043.154932,3604090.998433 -773145.073520 -6304888.534697,7107890.008663 -641398.063659 1522856.641166,-2257773.505916 -532244.504241 6910389.710165,-6663212.246265 -2979599.399722 -38017.415520,-1857887.672911 -1308651.960639 -6940972.522554,5509291.383849 2166633.127115 -4275463.899781,5271017.400993 2650649.554761 4288162.684381,-3151561.350998 -3771613.539660 5386581.041055,-3752004.979343 -5499921.535366 -2998008.077889,829854.949637 367749.481319 -7246966.023736,4267727.504536 5728341.025812 -1506841.590084,1808833.713073 3173379.789984 6309333.038317
-638199.691650 -7058260.769539 1738514.263019,399490.371426 -564555.169832 7255808.916050,883836.596666 6710136.707710 2724569.595082,145293.429155 4704926.699824 -5583697.421329,-793920.295023 -3791876.540867 -6191096.604814,2595041.153108 -5150206.597586 4464875.639245,-616550.132617 2448674.713468 6838133.928516,-2975983.063876 6660136.435249 -259266.476408,-1222315.647362 1665564.791071 -7005246.407305,2216591.371625 -5625597.665006 -4094398.157683,3016473.540318 -1696110.357166 6416483.771201,-3901318.576649 3247489.311211 5235435.257033,-5423030.450086 3698469.877129 -3198244.007440,544527.451472 -958553.869396 -7219902.883036,5761277.041670 -4294140.283731 -1289673.732517,564555.169832 399490.371426 7255808.916050,-6710136.707710 883836.596666 2724569.595082,-4704926.699824 145293.429155 -5583697.421329,3791876.540867 -793920.295023 -6191096.604814,7058260.769539 -638199.691650 1738514.263019,-2448674.713468 -616550.132617 6838133.928516,-6660136.435249 -2975983.063876 -259266.476408,-1665564.791071 -1222315.647362 -7005246.407305,5625597.665006 2216591.371625 -4094398.157683,5150206.597586 2595041.153108 4464875.639245,-3247489.311211 -3901318.576649 5235435.257033,-3698469.877129 -5423030.450086 -3198244.007440,958553.869396 544527.451472 -7219902.883036,4294140.283731 5761277.041670 -1289673.732517,1696110.357166 3016473.540318 6416483.771201
-634183.378025 -7002159.281587 1952561.523274,422853.830489 -345368.068446 7268195.020831,894230.301665 6789226.207424 2518159.002985,128384.901628 4534788.353195 -5723208.993601,-814784.420760 -3976108.590989 -6071607.797067,2537587.862060 -5024416.370183 4637454.590946,-699459.001073 2637695.272220 6759556.297734,-2969659.621129 6650920.301025 -480275.519581,-1135710.348288 1471344.783309 -7063082.894116,2264021.670214 -5736965.269530 -3909553.978170,2857297.075270 -1581138.947749 6517700.416571,-4027025.967432 3340993.303047 5079443.818651,-5341410.627732 3641197.724936 -3395525.592990,720246.196597 -1087150.170459 -7186207.570435,5788816.122285 -4316742.701293 -1071312.645417,345368.068446 422853.830489 7268195.020831,-6789226.207424 894230.301665 2518159.002985,-4534788.353195 128384.901628 -5723208.993601,3976108.590989 -814784.420760 -6071607.797067,7002159.281587 -634183.378025 1952561.523274,-2637695.272220 -699459.001073 6759556.297734,-6650920.301025 -2969659.621129 -480275.519581,-1471344.783309 -1135710.348288 -7063082.894116,5736965.269530 2264021.670214 -3909553.978170,5024416.370183 2537587.862060 4637454.590946,-3340993.303047 -4027025.967432 5079443.818651,-3641197.724936 -5341410.627732 -3395525.592990,1087150.170459 720246.196597 -7186207.570435,4316742.701293 5788816.122285 -1071312.645417,1581138.947749 2857297.075270 6517700.416571
