-607959.601959 -6872464.421992 -14915.269074,-41730.053377 -4316542.295048 5372053.640795,555462.354981 1492769.315325 6702350.640722,733631.921437 6177586.035295 2974373.519419,358351.694135 6204856.221828 -3001385.957880,-286469.524538 1563882.086502 -6717995.163732,-716195.282051 -4249653.394781 -5392748.978295,2897047.564218 -5925424.800990 2015667.628838,1429047.644411 -2116304.017660 6398884.397962,-1116140.478744 3287058.766431 5952136.673019,-2820736.931609 6213223.483628 1011727.478859,-2399317.422396 4455937.775229 -4694483.692193,-175072.703727 -649122.541197 -6870779.486684,2180704.676058 -5267447.448296 -3891420.567845,4808448.857179 -3075537.428701 3866337.924705,670128.964509 57169.614626 6855788.082904,-3973321.848815 3146329.417904 4671571.185758,-5621856.633640 3863358.451586 -1041225.273197,-3035902.481926 1670354.699991 -5970764.648234,1828280.199835 -1775831.890361 -6415777.754069,5321393.234342 -3889876.969700 -2044197.085914,4316542.295048 -41730.053377 5372053.640795,-1492769.315325 555462.354981 6702350.640722,-6177586.035295 733631.921437 2974373.519419,-6204856.221828 358351.694135 -3001385.957880,-1563882.086502 -286469.524538 -6717995.163732,4249653.394781 -716195.282051 -5392748.978295,6872464.421992 -607959.601959 -14915.269074,2116304.017660 1429047.644411 6398884.397962,-3287058.766431 -1116140.478744 5952136.673019,-6213223.483628 -2820736.931609 1011727.478859,-4455937.775229 -2399317.422396 -4694483.692193,649122.541197 -175072.703727 -6870779.486684,5267447.448296 2180704.676058 -3891420.567845,5925424.800990 2897047.564218 2015667.628838,-57169.614626 670128.964509 6855788.082904,-3146329.417904 -3973321.848815 4671571.185758,-3863358.451586 -5621856.633640 -1041225.273197,-1670354.699991 -3035902.481926 -5970764.648234,1775831.890361 1828280.199835 -6415777.754069,3889876.969700 5321393.234342 -2044197.085914,3075537.428701 4808448.857179 3866337.924705
-608423.643873 -6868896.854006 212682.533366,-26178.116809 -4137290.150211 5511070.544565,575298.958638 1712480.366972 6648032.206522,742803.085279 6272211.498502 2767577.261903,349958.163942 6103066.160671 -3204522.263510,-306060.912286 1342928.519213 -6764779.276858,-732305.064796 -4424055.242939 -5248328.574033,2866750.968587 -5861881.726546 2232140.342448,1339233.326787 -1923375.404916 6478547.409660,-1197776.385531 3463966.944056 5835045.445354,-2832634.241770 6240700.035188 786062.239732,-2332613.660540 4313540.082604 -4858351.114957,-80137.802385 -853915.499733 -6850108.024946,2232705.600181 -5381103.422072 -3701603.865335,4700914.407181 -3000708.974400 4052367.132673,484590.372497 187562.555918 6869046.236340,-4097102.074498 3234065.808725 4502088.901761,-5590465.234321 3842232.055619 -1265619.008456,-2873437.829661 1556608.282045 -6080918.363014,1999658.967382 -1896702.253202 -6329454.931102,5373002.852935 -3927085.371170 -1825777.536250,4137290.150211 -26178.116809 5511070.544565,-1712480.366972 575298.958638 6648032.206522,-6272211.498502 742803.085279 2767577.261903,-6103066.160671 349958.163942 -3204522.263510,-1342928.519213 -306060.912286 -6764779.276858,4424055.242939 -732305.064796 -5248328.574033,6868896.854006 -608423.643873 212682.533366,1923375.404916 1339233.326787 6478547.409660,-3463966.944056 -1197776.385531 5835045.445354,-6240700.035188 -2832634.241770 786062.239732,-4313540.082604 -2332613.660540 -4858351.114957,853915.499733 -80137.802385 -6850108.024946,5381103.422072 2232705.600181 -3701603.865335,5861881.726546 2866750.968587 2232140.342448,-187562.555918 484590.372497 6869046.236340,-3234065.808725 -4097102.074498 4502088.901761,-3842232.055619 -5590465.234321 -1265619.008456,-1556608.282045 -2873437.829661 -6080918.363014,1896702.253202 1999658.967382 -6329454.931102,3927085.371170 5373002.852935 -1825777.536250,3000708.974400 4700914.407181 4052367.132673
-608193.075781 -6857847.873152 440047.040523,-9803.731580 -3953606.686277 5644048.530497,595467.380128 1930242.854555 6586436.908497,751563.984135 6359964.498389 2557744.228192,340724.791505 5994686.509953 -3404153.319606,-326291.558377 1120612.093516 -6804206.609617,-748374.334921 -4593596.349840 -5098184.346531,2833623.309516 -5791813.315734 2446163.654615,1248812.869079 -1727961.883272 6551117.785314,-1277342.990692 3637460.210969 5711562.073218,-2841340.457495 6261423.532958 559534.580237,-2264016.425882 4166172.702388 -5016916.620649,13988.694103 -1058200.237632 -6821988.294240,2281798.285278 -5489140.199732 -3507740.746539,4588596.315824 -2922131.828718 4233951.648847,299097.111371 318563.390946 6874787.465548,-4216044.348594 3318812.174976 4327669.835579,-5553092.553183 3816774.356059 -1488625.689699,-2708369.414911 1440462.375972 -6184450.104263,2168350.806983 -2016266.886862 -6236242.765126,5418614.727677 -3960235.251320 -1605357.958934,3953606.686277 -9803.731580 5644048.530497,-1930242.854555 595467.380128 6586436.908497,-6359964.498389 751563.984135 2557744.228192,-5994686.509953 340724.791505 -3404153.319606,-1120612.093516 -326291.558377 -6804206.609617,4593596.349840 -748374.334921 -5098184.346531,6857847.873152 -608193.075781 440047.040523,1727961.883272 1248812.869079 6551117.785314,-3637460.210969 -1277342.990692 5711562.073218,-6261423.532958 -2841340.457495 559534.580237,-4166172.702388 -2264016.425882 -5016916.620649,1058200.237632 13988.694103 -6821988.294240,5489140.199732 2281798.285278 -3507740.746539,5791813.315734 2833623.309516 2446163.654615,-318563.390946 299097.111371 6874787.465548,-3318812.174976 -4216044.348594 4327669.835579,-3816774.356059 -5553092.553183 -1488625.689699,-1440462.375972 -2708369.414911 -6184450.104263,2016266.886862 2168350.806983 -6236242.765126,3960235.251320 5418614.727677 -1605357.958934,2922131.828718 4588596.315824 4233951.648847
-607235.387032 -6839331.947276 666928.809365,7394.228581 -3765695.825345 5770842.571428,615936.611208 2145818.597938 6517631.686406,759874.773097 6440751.095781 2345104.574668,330633.134250 5879840.308565 -3600061.682030,-347145.079794 897175.706484 -6836234.882836,-764363.816643 -4758092.142247 -4942478.645044,2797729.138985 -5715283.764019 2657502.751732,1157895.072043 -1530273.590402 6616516.627575,-1354768.976110 3807340.223109 5581821.147586,-2846875.942484 6275357.974463 332393.076785,-2193622.086542 4013988.398549 -5170008.572438,107207.887822 -1261752.405301 -6786450.439274,2327953.690252 -5591426.215213 -3310042.160011,4471633.609882 -2839871.225378 4410892.726670,113853.065763 450029.147263 6873005.537304,-4330032.053857 3400454.471843 4148504.783768,-5509799.275105 3786987.754420 -1710001.201151,-2540886.531515 1322031.885461 -6281248.452129,2334179.018889 -2134384.045203 -6136241.489943,5458196.008425 -3989263.410539 -1383179.472567,3765695.825345 7394.228581 5770842.571428,-2145818.597938 615936.611208 6517631.686406,-6440751.095781 759874.773097 2345104.574668,-5879840.308565 330633.134250 -3600061.682030,-897175.706484 -347145.079794 -6836234.882836,4758092.142247 -764363.816643 -4942478.645044,6839331.947276 -607235.387032 666928.809365,1530273.590402 1157895.072043 6616516.627575,-3807340.223109 -1354768.976110 5581821.147586,-6275357.974463 -2846875.942484 332393.076785,-4013988.398549 -2193622.086542 -5170008.572438,1261752.405301 107207.887822 -6786450.439274,5591426.215213 2327953.690252 -3310042.160011,5715283.764019 2797729.138985 2657502.751732,-450029.147263 113853.065763 6873005.537304,-3400454.471843 -4330032.053857 4148504.783768,-3786987.754420 -5509799.275105 -1710001.201151,-1322031.885461 -2540886.531515 -6281248.452129,2134384.045203 2334179.018889 -6136241.489943,3989263.410539 5458196.008425 -1383179.472567,2839871.225378 4471633.609882 4410892.726670
-605518.969168 -6813371.909858 893078.890313,25415.085249 -3573766.038654 5891314.439407,636674.279502 2358971.882706 6441691.333834,767695.731048 6514485.178616 2129891.577754,319666.248872 5758657.660573 -3792034.101738,-368603.351887 672863.336222 -6860829.758658,-780233.527850 -4917363.571167 -4781379.948957,2759135.739639 -5632364.665119 2865925.802891,1066588.323621 -1330523.570542 6674672.854164,-1429986.179059 3973412.218039 5445964.135545,-2849264.675414 6282474.944196 104886.947931,-2121528.218291 3857145.484961 -5317461.373590,199422.823355 -1464347.969810 -6743532.564084,2371146.491671 -5687835.999448 -3108723.370902,4350170.072442 -2753997.040886 4582996.772568,-70938.781079 581815.455066 6863702.386224,-4438954.447836 3478881.550284 3964789.807411,-5460652.538820 3752879.688976 -1929503.319354,-2371180.469572 1201434.958124 -6371209.288562,2496970.517138 -2250912.716951 -6029558.695449,5491720.701219 -4014111.050654 -1159485.230886,3573766.038654 25415.085249 5891314.439407,-2358971.882706 636674.279502 6441691.333834,-6514485.178616 767695.731048 2129891.577754,-5758657.660573 319666.248872 -3792034.101738,-672863.336222 -368603.351887 -6860829.758658,4917363.571167 -780233.527850 -4781379.948957,6813371.909858 -605518.969168 893078.890313,1330523.570542 1066588.323621 6674672.854164,-3973412.218039 -1429986.179059 5445964.135545,-6282474.944196 -2849264.675414 104886.947931,-3857145.484961 -2121528.218291 -5317461.373590,1464347.969810 199422.823355 -6743532.564084,5687835.999448 2371146.491671 -3108723.370902,5632364.665119 2759135.739639 2865925.802891,-581815.455066 -70938.781079 6863702.386224,-3478881.550284 -4438954.447836 3964789.807411,-3752879.688976 -5460652.538820 -1929503.319354,-1201434.958124 -2371180.469572 -6371209.288562,2250912.716951 2496970.517138 -6029558.695449,4014111.050654 5491720.701219 -1159485.230886,2753997.040886 4350170.072442 4582996.772568
-603013.106411 -6779998.939444 1118249.109587,44256.379733 -3378030.108301 6005332.849955,657646.667603 2569469.726601 6358698.422636,774987.262265 6581088.570330 1912341.372019,307808.670683 5631275.579274 -3979861.754263,-390646.531469 447919.777077 -6877964.872970,-795942.791008 -5071237.324864 -4615062.695008,2717913.083410 -5543134.906204 3071204.219845,975000.486673 -1128927.531121 6725523.269590,-1502929.698130 4135485.227582 5304139.232347,-2848534.264112 6282753.625173 -122734.228255,-2047833.518425 3695807.627778 -5459115.636806,290538.602932 -1665763.454070 -6693280.696014,2411355.156257 -5778250.315996 -2904003.728754,4224354.092325 -2664583.682428 4750075.556319,-255076.574813 713776.704497 6846888.112835,-4542706.818082 3553985.256772 3776726.018650,-5405725.878459 3714462.584395 -2146891.983802,-2199444.312024 1078792.839364 -6454235.898662,2656556.037129 -2365712.763748 -5916309.222669,5519169.732182 -4034723.809574 -934520.150719,3378030.108301 44256.379733 6005332.849955,-2569469.726601 657646.667603 6358698.422636,-6581088.570330 774987.262265 1912341.372019,-5631275.579274 307808.670683 -3979861.754263,-447919.777077 -390646.531469 -6877964.872970,5071237.324864 -795942.791008 -4615062.695008,6779998.939444 -603013.106411 1118249.109587,1128927.531121 975000.486673 6725523.269590,-4135485.227582 -1502929.698130 5304139.232347,-6282753.625173 -2848534.264112 -122734.228255,-3695807.627778 -2047833.518425 -5459115.636806,1665763.454070 290538.602932 -6693280.696014,5778250.315996 2411355.156257 -2904003.728754,5543134.906204 2717913.083410 3071204.219845,-713776.704497 -255076.574813 6846888.112835,-3553985.256772 -4542706.818082 3776726.018650,-3714462.584395 -5405725.878459 -2146891.983802,-1078792.839364 -2199444.312024 -6454235.898662,2365712.763748 2656556.037129 -5916309.222669,4034723.809574 5519169.732182 -934520.150719,2664583.682428 4224354.092325 4750075.556319
-599688.166027 -6739252.510827 1342192.350650,63913.792800 -3178704.885497 6112773.598469,678818.801781 2777082.124976 6268743.219257,781710.089342 6640491.106088 1692692.684483,295046.561790 5497837.814284 -4163340.463274,-413253.060318 222590.385032 -6887621.860266,-811450.388813 -5219546.013487 -4443707.097362,2674133.620339 -5447680.635945 3273112.912668,883238.746936 -925703.629030 6769012.628734,-1573537.879814 4293372.328500 5156501.205740,-2844715.770141 6276180.884966 -350220.797100,-1972637.604069 3530143.705754 -5594818.346270,380462.457858 -1865776.181090 -6635748.742117,2448561.842127 -5862556.359410 -2696106.429702,4094338.426817 -2571710.099823 4911946.414711,-438359.800099 845766.205164 6822580.973514,-4641190.528664 3625660.659881 3584519.360810,-5345099.046601 3671753.956622 -2361929.564312,-2025872.693854 954229.794492 -6530239.064392,2812770.274330 -2478645.130311 -5796615.051165,5540530.884885 -4051051.952219 -708530.637213,3178704.885497 63913.792800 6112773.598469,-2777082.124976 678818.801781 6268743.219257,-6640491.106088 781710.089342 1692692.684483,-5497837.814284 295046.561790 -4163340.463274,-222590.385032 -413253.060318 -6887621.860266,5219546.013487 -811450.388813 -4443707.097362,6739252.510827 -599688.166027 1342192.350650,925703.629030 883238.746936 6769012.628734,-4293372.328500 -1573537.879814 5156501.205740,-6276180.884966 -2844715.770141 -350220.797100,-3530143.705754 -1972637.604069 -5594818.346270,1865776.181090 380462.457858 -6635748.742117,5862556.359410 2448561.842127 -2696106.429702,5447680.635945 2674133.620339 3273112.912668,-845766.205164 -438359.800099 6822580.973514,-3625660.659881 -4641190.528664 3584519.360810,-3671753.956622 -5345099.046601 -2361929.564312,-954229.794492 -2025872.693854 -6530239.064392,2478645.130311 2812770.274330 -5796615.051165,4051051.952219 5540530.884885 -708530.637213,2571710.099823 4094338.426817 4911946.414711
-595515.586562 -6691180.353735 1564662.834358,84381.175849 -2976011.044730 6213519.688731,700154.477699 2981582.311869 6171923.592968,787825.255925 6692630.721629 1471186.565457,281367.685389 5358494.681095 -4342270.917991,-436399.695366 -2879.187560 -6889790.370940,-826714.579695 -5362128.370492 -4267498.960627,2627872.231895 -5346095.141975 3471430.540770,791409.505619 -721072.221238 6805093.692310,-1641752.414678 4446890.848961 5003211.232655,-2837843.713588 6262751.268473 -577323.310141,-1896040.926883 3360327.601683 -5724423.012310,469103.856298 -2064164.514140 -6570998.437968,2482752.460769 -5940647.877724 -2485258.273363,3960280.042693 -2475459.661899 5068432.448316,-620589.503426 977636.349055 6790807.362283,-4734313.160298 3693806.145324 3388380.382360,-5278857.941034 3624776.350041 -2574381.124792,-1850661.598444 827872.954553 -6599137.150663,2965452.082998 -2589571.984378 -5670605.178827,5555798.846713 -4063050.395185 -481764.306725,2976011.044730 84381.175849 6213519.688731,-2981582.311869 700154.477699 6171923.592968,-6692630.721629 787825.255925 1471186.565457,-5358494.681095 281367.685389 -4342270.917991,2879.187560 -436399.695366 -6889790.370940,5362128.370492 -826714.579695 -4267498.960627,6691180.353735 -595515.586562 1564662.834358,721072.221238 791409.505619 6805093.692310,-4446890.848961 -1641752.414678 5003211.232655,-6262751.268473 -2837843.713588 -577323.310141,-3360327.601683 -1896040.926883 -5724423.012310,2064164.514140 469103.856298 -6570998.437968,5940647.877724 2482752.460769 -2485258.273363,5346095.141975 2627872.231895 3471430.540770,-977636.349055 -620589.503426 6790807.362283,-3693806.145324 -4734313.160298 3388380.382360,-3624776.350041 -5278857.941034 -2574381.124792,-827872.954553 -1850661.598444 -6599137.150663,2589571.984378 2965452.082998 -5670605.178827,4063050.395185 5555798.846713 -481764.306725,2475459.661899 3960280.042693 5068432.448316
-590467.964826 -6635838.392385 1785416.397399,105650.530394 -2770172.834686 6307461.453462,721616.320742 3182747.008990 6068344.916013,793294.224055 6737453.521005 1248066.116311,266761.463453 5213402.878988 -4516458.884251,-460061.529288 -228243.252136 -6884468.081032,-841693.185093 -5498829.436631 -4086629.485946,2579206.098320 -5238478.760666 3665939.758969,699618.252227 -515255.629660 6833727.274187,-1707518.372859 4595862.591299 4844436.728349,-2827955.981540 6242467.022873 -803792.807399,-1818144.629700 3186538.020833 -5847789.818619,556374.588835 -2260708.098685 -6499099.288861,2513916.651934 -6012425.322015 -2271689.414673,3822339.911932 -2375920.092689 5219362.711215,-801568.506731 1109238.774385 6751601.784477,-4821988.592924 3758323.571631 3188524.004922,-5207094.469055 3573557.349045 -2784014.683058,-1674008.134774 699852.195475 -6660856.183768,3114444.638962 -2698356.891460 -5538415.494083,5564975.188051 -4070678.806026 -254469.707752,2770172.834686 105650.530394 6307461.453462,-3182747.008990 721616.320742 6068344.916013,-6737453.521005 793294.224055 1248066.116311,-5213402.878988 266761.463453 -4516458.884251,228243.252136 -460061.529288 -6884468.081032,5498829.436631 -841693.185093 -4086629.485946,6635838.392385 -590467.964826 1785416.397399,515255.629660 699618.252227 6833727.274187,-4595862.591299 -1707518.372859 4844436.728349,-6242467.022874 -2827955.981540 -803792.807399,-3186538.020833 -1818144.629700 -5847789.818619,2260708.098685 556374.588835 -6499099.288861,6012425.322015 2513916.651934 -2271689.414673,5238478.760666 2579206.098320 3665939.758969,-1109238.774385 -801568.506731 6751601.784477,-3758323.571631 -4821988.592924 3188524.004922,-3573557.349045 -5207094.469055 -2784014.683058,-699852.195475 -1674008.134774 -6660856.183768,2698356.891460 3114444.638962 -5538415.494083,4070678.806026 5564975.188051 -254469.707752,2375920.092689 3822339.911932 5219362.711215
-584519.121507 -6573290.676655 2004210.768641,127712.001499 -2561417.826055 6394496.666864,743165.842651 3380356.673250 5958119.955712,798078.952684 6774913.836415 1023576.214517,251219.014858 5062725.303389 -4685715.409059,-484212.016635 -453256.344915 -6871660.694413,-856343.664401 -5629500.739711 -3901295.070307,2528214.580325 -5124938.770369 3856427.458318,607969.444052 -308477.900388 6854882.280577,-1770784.246123 4740114.046758 4680351.168139,-2815093.750556 6215338.104792 -1029381.098732,-1739050.415357 3008958.298271 -5964785.761977,642188.854393 -2455188.103776 -6420128.503409,2542047.769878 -6077795.981771 -2055633.110964,3680682.812064 -2273183.389370 5364572.393501,-981101.619894 1240424.531753 6705006.822262,-4904137.090477 3819118.409901 2985169.285613,-5129906.415939 3518129.567433 -2990601.466376,-1496110.318575 570300.006478 -6715329.922210,3259595.604066 -2804864.982802 -5400188.640530,5568068.344390 -4073901.681065 -26896.040307,2561417.826055 127712.001499 6394496.666864,-3380356.673250 743165.842651 5958119.955712,-6774913.836415 798078.952684 1023576.214517,-5062725.303389 251219.014858 -4685715.409059,453256.344915 -484212.016635 -6871660.694413,5629500.739711 -856343.664401 -3901295.070307,6573290.676655 -584519.121507 2004210.768641,308477.900388 607969.444052 6854882.280577,-4740114.046758 -1770784.246123 4680351.168139,-6215338.104792 -2815093.750556 -1029381.098732,-3008958.298271 -1739050.415357 -5964785.761977,2455188.103776 642188.854393 -6420128.503409,6077795.981771 2542047.769878 -2055633.110964,5124938.770369 2528214.580325 3856427.458318,-1240424.531753 -981101.619894 6705006.822262,-3819118.409901 -4904137.090477 2985169.285613,-3518129.567433 -5129906.415939 -2990601.466376,-570300.006478 -1496110.318575 -6715329.922210,2804864.982802 3259595.604066 -5400188.640530,4073901.681065 5568068.344390 -26896.040307,2273183.389370 3680682.812064 5364572.393501
