-616753.908145 -6972031.492187 -14914.784099,-191103.848771 -5367943.382871 4478081.039274,323777.646319 -1249226.045159 6868689.241995,686734.917423 3454077.505203 6038553.995662,727819.032345 6540369.593566 2375464.798653,427689.607100 6562046.292445 -2403543.022457,-72394.295877 3514633.130705 -6057181.822481,-538473.137836 -1170503.930986 -6884045.623808,-753606.686360 -5310864.274497 -4501731.653111,2964900.372147 -6133777.011192 1596736.783932,2083194.364217 -3642623.969132 5591900.865393,225699.500496 554063.727951 6963028.912444,-1737786.439648 4491325.153783 5069388.983824,-2887660.688928 6324904.286547 796318.862448,-2684865.607073 5195476.288490 -3851292.325138,-1227762.060562 1639175.944113 -6697409.911399,801224.721404 -2680140.054612 -6420560.633585,2457311.936009 -5751076.983563 -3148739.368294,5235256.177394 -3432172.126602 3121924.424187,2502027.366898 -1262614.935716 6403319.170149,-1402532.393472 1497600.221318 6681278.710542,-4650964.728384 3556625.535990 3825980.410657,-5720475.888277 3949091.360722 -825946.570729,-4111864.353264 2492724.639021 -5091309.872710,-584878.640554 -126355.022476 -6977987.272615,3214484.226996 -2686367.525149 -5612116.915141,5515310.176477 -3993718.652826 -1625769.914714,5367943.382871 -191103.848771 4478081.039274,1249226.045159 323777.646319 6868689.241995,-3454077.505203 686734.917423 6038553.995662,-6540369.593566 727819.032345 2375464.798653,-6562046.292445 427689.607100 -2403543.022457,-3514633.130705 -72394.295877 -6057181.822481,1170503.930986 -538473.137836 -6884045.623808,5310864.274497 -753606.686360 -4501731.653111,6972031.492187 -616753.908145 -14914.784099,3642623.969132 2083194.364217 5591900.865393,-554063.727951 225699.500496 6963028.912444,-4491325.153783 -1737786.439648 5069388.983824,-6324904.286547 -2887660.688928 796318.862448,-5195476.288490 -2684865.607073 -3851292.325138,-1639175.944113 -1227762.060562 -6697409.911399,2680140.054612 801224.721404 -6420560.633585,5751076.983563 2457311.936009 -3148739.368294,6133777.011192 2964900.372147 1596736.783932,1262614.935716 2502027.366898 6403319.170149,-1497600.221318 -1402532.393472 6681278.710542,-3556625.535990 -4650964.728384 3825980.410657,-3949091.360722 -5720475.888277 -825946.570729,-2492724.639021 -4111864.353264 -5091309.872710,126355.022476 -584878.640554 -6977987.272615,2686367.525149 3214484.226996 -5612116.915141,3993718.652826 5515310.176477 -1625769.914714,3432172.126602 5235256.177394 3121924.424187
-617546.776010 -6968536.636789 211051.989594,-178774.452399 -5220745.585591 4648918.140492,343440.286904 -1027402.036270 6904332.434157,704531.956895 3646719.809823 5922368.883525,735405.457608 6613542.736260 2161779.141633,421525.647759 6481494.742957 -2614409.499389,-89382.908057 3318515.826426 -6166623.074976,-558370.423626 -1390584.057976 -6841381.587276,-767138.226834 -5452433.581242 -4326664.258133,2940624.747400 -6083985.750819 1815851.114710,2005569.272974 -3476845.427943 5723956.367280,131123.831775 758101.171240 6946239.987840,-1805060.952877 4638149.631602 4911589.628969,-2896070.034705 6345630.140439 571419.694181,-2630546.357154 5080589.871252 -4037726.199135,-1136302.187235 1442778.726960 -6758474.743399,887202.817140 -2866554.210070 -6328042.500439,2497709.120498 -5840524.182588 -2945441.180379,5149314.136659 -3372938.272386 3322320.692691,2331225.218942 -1143041.549694 6489482.721064,-1578197.434123 1621515.303532 6612957.940155,-4749251.908154 3626863.812659 3635077.582104,-5695257.770509 3932698.160442 -1049882.185235,-3975254.487192 2397601.461968 -5243306.752061,-400928.937207 -255628.518191 -6987437.879086,3360165.187304 -2789631.352465 -5474659.078029,5554536.586448 -4022617.570448 -1405180.871977,5220745.585591 -178774.452399 4648918.140492,1027402.036270 343440.286904 6904332.434157,-3646719.809823 704531.956895 5922368.883525,-6613542.736260 735405.457608 2161779.141633,-6481494.742957 421525.647759 -2614409.499389,-3318515.826426 -89382.908057 -6166623.074976,1390584.057976 -558370.423626 -6841381.587276,5452433.581242 -767138.226834 -4326664.258133,6968536.636789 -617546.776010 211051.989594,3476845.427943 2005569.272974 5723956.367280,-758101.171240 131123.831775 6946239.987840,-4638149.631602 -1805060.952877 4911589.628969,-6345630.140439 -2896070.034705 571419.694181,-5080589.871252 -2630546.357154 -4037726.199135,-1442778.726960 -1136302.187235 -6758474.743399,2866554.210070 887202.817140 -6328042.500439,5840524.182588 2497709.120498 -2945441.180379,6083985.750819 2940624.747400 1815851.114710,1143041.549694 2331225.218942 6489482.721064,-1621515.303532 -1578197.434123 6612957.940155,-3626863.812659 -4749251.908154 3635077.582104,-3932698.160442 -5695257.770509 -1049882.185235,-2397601.461968 -3975254.487192 -5243306.752061,255628.518191 -400928.937207 -6987437.879086,2789631.352465 3360165.187304 -5474659.078029,4022617.570448 5554536.586448 -1405180.871977,3372938.272386 5149314.136659 3322320.692691
-617664.435151 -6957772.588354 436797.059927,-165602.870434 -5068160.964149 4814873.351419,363718.243534 -804596.340337 6932738.707039,722429.574468 3835485.807064 5799970.236048,742529.651058 6679784.034268 1945821.728280,414555.869119 6394226.493168 -2822535.234250,-107144.388174 3119038.396000 -6269632.291570,-578649.861625 -1609138.261258 -6791590.797242,-780479.954240 -5588281.540162 -4147070.590024,2913513.282665 -6027734.922906 2033057.230544,1926588.940760 -3307102.400055 5850005.510791,37303.618755 961761.948516 6922170.547363,-1869821.542339 4780428.463655 4748633.357627,-2901382.510698 6359767.522586 345920.187990,-2574008.830389 4960182.443970 -4219934.388643,-1044530.483654 1244488.414704 -6812498.046893,971452.596781 -3050373.481006 -6228925.914662,2535129.373276 -5924065.418941 -2739056.314490,5058268.632762 -3309798.972858 3519226.205361,2158523.682316 -1021526.803140 6568841.282777,-1751679.641260 1744506.405429 6537703.554605,-4842285.745792 3693737.872244 3440355.751320,-5664185.405123 3912083.429729 -1272715.702507,-3834944.863086 2299385.946031 -5389826.005193,-217131.535445 -385442.238758 -6989611.686468,3501915.808246 -2890631.966941 -5331484.085889,5587858.325414 -4047484.190340 -1183117.144379,5068160.964149 -165602.870434 4814873.351419,804596.340337 363718.243534 6932738.707039,-3835485.807064 722429.574468 5799970.236048,-6679784.034268 742529.651058 1945821.728280,-6394226.493168 414555.869119 -2822535.234250,-3119038.396000 -107144.388174 -6269632.291570,1609138.261258 -578649.861625 -6791590.797242,5588281.540162 -780479.954240 -4147070.590024,6957772.588354 -617664.435151 436797.059927,3307102.400055 1926588.940760 5850005.510791,-961761.948516 37303.618755 6922170.547363,-4780428.463655 -1869821.542339 4748633.357627,-6359767.522586 -2901382.510698 345920.187990,-4960182.443970 -2574008.830389 -4219934.388643,-1244488.414704 -1044530.483654 -6812498.046893,3050373.481006 971452.596781 -6228925.914662,5924065.418941 2535129.373276 -2739056.314490,6027734.922906 2913513.282665 2033057.230544,1021526.803140 2158523.682316 6568841.282777,-1744506.405429 -1751679.641260 6537703.554605,-3693737.872244 -4842285.745792 3440355.751320,-3912083.429729 -5664185.405123 -1272715.702507,-2299385.946031 -3834944.863086 -5389826.005193,385442.238758 -217131.535445 -6989611.686468,2890631.966941 3501915.808246 -5331484.085889,4047484.190340 5587858.325414 -1183117.144379,3309798.972858 5058268.632762 3519226.205361
-617074.931062 -6939752.958606 662083.249331,-151579.639668 -4910352.812635 4975772.892050,384594.209773 -581043.477767 6953878.508736,740391.659293 4020178.112994 5671485.844104,749153.705911 6739026.495094 1727819.506092,406758.442003 6300337.407408 -3027702.693857,-125674.607186 2916411.370902 -6366103.258263,-599283.247064 -1825938.755972 -6734724.432067,-793592.466866 -5718266.529345 -3963137.446498,2883622.400202 -5965070.879588 2248126.860073,1846352.823539 -3133566.358831 5969916.664590,-55665.638846 1164830.609945 6890845.629710,-1932020.748943 4918001.746125 4580690.771460,-2903621.708562 6367288.727398 120057.284570,-2515336.335734 4834370.869248 -4397727.301118,-952549.819219 1044509.093959 -6859424.283656,1053898.453641 -3231399.282777 -6123313.045182,2569559.234032 -6001599.341802 -2529800.410820,4962231.935115 -3242798.207070 3712434.288085,1984110.951468 -898189.378424 6641312.179925,-1922802.648813 1866435.435160 6455593.940902,-4929983.812522 3757154.557582 3242019.267246,-5627310.594842 3887243.802514 -1494213.419004,-3691095.288661 2198164.683266 -5530715.905713,-33678.517294 -515660.895369 -6984506.462500,3639598.448049 -2989246.453677 -5182740.144615,5615257.468957 -4068266.031797 -959811.574698,4910352.812635 -151579.639668 4975772.892050,581043.477767 384594.209773 6953878.508736,-4020178.112994 740391.659293 5671485.844104,-6739026.495094 749153.705911 1727819.506092,-6300337.407408 406758.442003 -3027702.693857,-2916411.370902 -125674.607186 -6366103.258263,1825938.755972 -599283.247064 -6734724.432067,5718266.529345 -793592.466866 -3963137.446498,6939752.958606 -617074.931062 662083.249331,3133566.358831 1846352.823539 5969916.664590,-1164830.609945 -55665.638846 6890845.629710,-4918001.746125 -1932020.748943 4580690.771460,-6367288.727398 -2903621.708562 120057.284570,-4834370.869248 -2515336.335734 -4397727.301118,-1044509.093959 -952549.819219 -6859424.283656,3231399.282777 1053898.453641 -6123313.045182,6001599.341802 2569559.234032 -2529800.410820,5965070.879588 2883622.400202 2248126.860073,898189.378424 1984110.951468 6641312.179925,-1866435.435160 -1922802.648813 6455593.940902,-3757154.557582 -4929983.812522 3242019.267246,-3887243.802514 -5627310.594842 -1494213.419004,-2198164.683266 -3691095.288661 -5530715.905713,515660.895369 -33678.517294 -6984506.462500,2989246.453677 3639598.448049 -5182740.144615,4068266.031797 5615257.468957 -959811.574698,3242798.207070 4962231.935115 3712434.288085
-615747.151452 -6914499.147821 886673.828625,-136696.922959 -4747489.890713 5131448.339474,406049.226495 -356978.649204 6967729.848918,758381.186789 4200603.698092 5537049.902357,755239.989073 6791210.665010 1508001.589546,398112.850876 6199930.329239 -3229697.560093,-144967.709915 2710848.413233 -6455936.553248,-620241.010283 -2040759.626321 -6670840.959871,-806436.006652 -5842253.126461 -3775056.266082,2851011.217881 -5896046.990667 2460833.997884,1764960.895937 -2956413.126837 6083564.653375,-147690.259367 1367091.887891 6852297.824610,-1991614.451106 5050714.273168 4407937.757703,-2902814.546927 6368173.146076 -105931.730591,-2454613.833958 4703277.939300 -4570920.061649,-860462.345917 843046.991023 -6899205.224856,1134467.459833 -3409435.499880 -6011312.813741,2600988.766320 -6073030.810585 -2317892.233109,4861321.333624 -3171984.515238 3901742.203519,1808176.434238 -773150.661145 6706819.932755,-2091393.105871 1987164.617638 6366714.650080,-5012269.660895 3817024.006098 3040276.327847,-5584691.227845 3858180.604015 -1714143.122766,-3543868.759797 2094028.038615 -5665830.650847,149238.986192 -646147.936064 -6972127.449729,3773080.122372 -3085353.728483 -5028581.324888,5636722.520468 -4084914.857686 -735498.396344,4747489.890713 -136696.922959 5131448.339474,356978.649204 406049.226495 6967729.848918,-4200603.698092 758381.186789 5537049.902357,-6791210.665010 755239.989073 1508001.589546,-6199930.329239 398112.850876 -3229697.560093,-2710848.413233 -144967.709915 -6455936.553248,2040759.626321 -620241.010283 -6670840.959871,5842253.126461 -806436.006652 -3775056.266082,6914499.147821 -615747.151452 886673.828625,2956413.126837 1764960.895937 6083564.653375,-1367091.887891 -147690.259367 6852297.824610,-5050714.273168 -1991614.451106 4407937.757703,-6368173.146076 -2902814.546927 -105931.730591,-4703277.939300 -2454613.833958 -4570920.061649,-843046.991023 -860462.345917 -6899205.224856,3409435.499880 1134467.459833 -6011312.813741,6073030.810585 2600988.766320 -2317892.233109,5896046.990667 2851011.217881 2460833.997884,773150.661145 1808176.434238 6706819.932755,-1987164.617638 -2091393.105871 6366714.650080,-3817024.006098 -5012269.660895 3040276.327847,-3858180.604015 -5584691.227845 -1714143.122766,-2094028.038615 -3543868.759797 -5665830.650847,646147.936064 149238.986192 -6972127.449729,3085353.728483 3773080.122372 -5028581.324888,4084914.857686 5636722.520468 -735498.396344,3171984.515238 4861321.333624 3901742.203519
-613650.811028 -6882040.327172 1110332.773900,-120948.483756 -4579746.235926 5281736.801042,428062.703587 -132637.484219 6974278.319911,776360.228020 4376574.104424 5396802.874667,760751.133795 6836284.702253 1286599.012488,388599.870808 6093114.962726 -3428308.954072,-165016.140368 2502566.088199 -6539039.639915,-641492.231828 -2253377.064941 -6600006.085001,-818970.460168 -5960112.270267 -3583022.933393,2815741.524943 -5820723.561747 2670955.148184,1682513.562953 -2775822.671505 6190830.882702,-238678.488804 1568330.923070 6806567.241547,-2048561.951889 5178415.696328 4230555.307264,-2898991.286526 6362407.266177 -331809.484589,-2391927.875971 4567032.217822 -4739332.699604,-768369.397887 640310.252374 -6931799.995046,1213089.469681 -3584288.686346 -5893040.792340,2629411.616462 -6138270.988311 -2103553.438491,4755659.028231 -3097410.907833 4086951.365472,1630910.554611 -646534.598147 6765296.330485,-2257280.877286 2106556.626538 6271158.313698,-5089072.940573 3873259.715071 2835338.758924,-5536391.236160 3824899.805070 -1932274.342456,-3393431.297125 1987070.025084 -5795030.502904,331430.996681 -776765.684415 -6952487.360769,3902232.674399 -3178834.642947 -4869167.411526,5652248.458425 -4097386.690385 -510412.981297,4579746.235926 -120948.483756 5281736.801042,132637.484219 428062.703587 6974278.319911,-4376574.104424 776360.228020 5396802.874667,-6836284.702253 760751.133795 1286599.012488,-6093114.962726 388599.870808 -3428308.954072,-2502566.088199 -165016.140368 -6539039.639915,2253377.064941 -641492.231828 -6600006.085001,5960112.270267 -818970.460168 -3583022.933393,6882040.327172 -613650.811028 1110332.773900,2775822.671505 1682513.562953 6190830.882702,-1568330.923070 -238678.488804 6806567.241547,-5178415.696328 -2048561.951889 4230555.307264,-6362407.266177 -2898991.286526 -331809.484589,-4567032.217822 -2391927.875971 -4739332.699604,-640310.252374 -768369.397887 -6931799.995046,3584288.686346 1213089.469681 -5893040.792340,6138270.988311 2629411.616462 -2103553.438491,5820723.561747 2815741.524943 2670955.148184,646534.598147 1630910.554611 6765296.330485,-2106556.626538 -2257280.877286 6271158.313698,-3873259.715071 -5089072.940573 2835338.758924,-3824899.805070 -5536391.236160 -1932274.342456,-1987070.025084 -3393431.297125 -5795030.502904,776765.684415 331430.996681 -6952487.360769,3178834.642947 3902232.674399 -4869167.411526,4097386.690385 5652248.458425 -510412.981297,3097410.907833 4755659.028231 4086951.365472
-610756.639295 -6842413.393640 1332825.022627,-104329.800008 -4407300.966587 5426481.081128,450612.431187 91744.198482 6973517.110488,794290.082610 4547905.636322 5250891.352615,765650.231751 6874204.419044 1063844.478105,378201.726432 5980007.734496 -3623329.655740,-185810.587368 2291783.638533 -6615326.953036,-663004.717562 -2463569.592593 -6522292.687707,-831155.531348 -6071721.391966 -3387237.578852,2777877.580378 -5739167.828558 2878269.565291,1599111.483079 -2591978.949557 6291603.456763,-328540.569701 1768333.494251 6753701.471202,-2102825.914626 5300960.737235 4048729.326759,-2892185.353709 6349984.748275 -557338.774388,-2327366.400175 4425767.948937 -4902790.329354,-676371.365691 436508.749634 -6957175.109367,1289697.121402 -3755768.297034 -5768619.093901,2654824.889964 -6197237.504425 -1887008.343378,4645371.919113 -3019134.913760 4267867.548176,1452504.531132 -518467.607702 6816680.497409,-2420299.183667 2224474.776590 6169024.553126,-5160329.395208 3925778.750253 2627421.788381,-5482480.433175 3787412.135950 -2148378.593872,-3239951.717687 1877388.281061 -5918181.924117,512708.871156 -907375.482467 -6925606.366790,4026932.850203 -3269572.198202 -4704663.746377,5661836.655777 -4105641.988710 -284791.586309,4407300.966587 -104329.800008 5426481.081128,-91744.198482 450612.431187 6973517.110488,-4547905.636322 794290.082610 5250891.352615,-6874204.419044 765650.231751 1063844.478105,-5980007.734496 378201.726432 -3623329.655740,-2291783.638533 -185810.587368 -6615326.953036,2463569.592593 -663004.717562 -6522292.687707,6071721.391966 -831155.531348 -3387237.578852,6842413.393640 -610756.639295 1332825.022627,2591978.949557 1599111.483079 6291603.456763,-1768333.494251 -328540.569701 6753701.471202,-5300960.737235 -2102825.914626 4048729.326759,-6349984.748275 -2892185.353709 -557338.774388,-4425767.948937 -2327366.400175 -4902790.329354,-436508.749634 -676371.365691 -6957175.109367,3755768.297034 1289697.121402 -5768619.093901,6197237.504425 2654824.889964 -1887008.343378,5739167.828558 2777877.580378 2878269.565291,518467.607702 1452504.531132 6816680.497409,-2224474.776590 -2420299.183667 6169024.553126,-3925778.750253 -5160329.395208 2627421.788381,-3787412.135950 -5482480.433175 -2148378.593872,-1877388.281061 -3239951.717687 -5918181.924117,907375.482467 512708.871156 -6925606.366790,3269572.198202 4026932.850203 -4704663.746377,4105641.988710 5661836.655777 -284791.586309,3019134.913760 4645371.919113 4267867.548176
-607036.363394 -6795662.933867 1553916.728650,-86838.033044 -4230338.084027 5565529.841368,473674.608134 315930.642415 6965447.012393,812131.293160 4714419.568399 5099467.907214,769900.826128 6904933.336636 839972.106815,366902.064784 5860731.660505 -3814556.318672,-207340.016208 2078722.753135 -6684719.978133,-684745.019983 -2671118.293882 -6437780.756982,-842950.745604 -6176964.563279 -3187904.373027,2737486.083270 -5651453.858770 3082559.490634,1514855.482310 -2405069.694078 6385777.289080,-417188.843717 1966886.245314 6693755.539625,-2154372.440423 5418209.337825 3862650.444676,-2882433.347352 6330906.408740 -782282.823685,-2261018.669811 4279624.887091 -5061123.324917,-584567.600993 231853.855796 -6975304.503959,1364225.932439 -3923686.885172 -5638176.256152,2677229.200882 -6249854.534636 -1668483.685674,4530591.486633 -2937218.478476 4444301.090201,1273150.180431 -389078.430281 6860918.951746,-2580284.794011 2340783.157886 6060419.881652,-5225980.963281 3974501.805002 2416743.816208,-5423034.458448 3745733.029580 -2362229.623610,-3083601.468283 1765083.936843 -6035157.704810,692885.499341 -1037837.834486 -6891512.079238,4147062.458018 -3357451.648970 -4535241.064830,5665494.911464 -4109645.654459 -58871.097691,4230338.084027 -86838.033044 5565529.841368,-315930.642415 473674.608134 6965447.012393,-4714419.568399 812131.293160 5099467.907214,-6904933.336636 769900.826128 839972.106815,-5860731.660505 366902.064784 -3814556.318672,-2078722.753135 -207340.016208 -6684719.978133,2671118.293882 -684745.019983 -6437780.756982,6176964.563279 -842950.745604 -3187904.373027,6795662.933867 -607036.363394 1553916.728650,2405069.694078 1514855.482310 6385777.289080,-1966886.245314 -417188.843717 6693755.539625,-5418209.337825 -2154372.440423 3862650.444676,-6330906.408740 -2882433.347352 -782282.823685,-4279624.887091 -2261018.669811 -5061123.324917,-231853.855796 -584567.600993 -6975304.503959,3923686.885172 1364225.932439 -5638176.256152,6249854.534636 2677229.200882 -1668483.685674,5651453.858770 2737486.083270 3082559.490634,389078.430281 1273150.180431 6860918.951746,-2340783.157886 -2580284.794011 6060419.881652,-3974501.805002 -5225980.963281 2416743.816208,-3745733.029580 -5423034.458448 -2362229.623610,-1765083.936843 -3083601.468283 -6035157.704810,1037837.834486 692885.499341 -6891512.079238,3357451.648970 4147062.458018 -4535241.064830,4109645.654459 5665494.911464 -58871.097691,2937218.478476 4530591.486633 4444301.090201
-602462.791336 -6741841.169830 1773375.515701,-68472.065423 -4049046.268005 5698737.754274,497223.865262 539686.398769 6950076.419583,829843.720890 4875942.337772 4942690.933920,773467.003356 6928442.720184 615217.182417,354686.018169 5735416.199963 -4001789.679850,-229591.660804 1863607.335925 -6747147.324021,-706678.489319 -2875807.042108 -6346557.316605,-854315.539015 -6275732.625829 -2985231.315791,2694636.053401 -5557662.488010 3283610.385967,1429846.423653 -2215286.224598 6473254.206069,-504537.833539 2163776.913296 6626791.855136,-2203171.068842 5530026.833843 3672513.811828,-2869774.948677 6305180.236593 -1006405.538983,-2192975.139333 4128748.158080 -5214167.488424,-493056.308636 26558.233478 -6986169.559607,1436614.343392 -4087860.313554 -5501847.118775,2696628.628622 -6296052.911266 -1448208.383584,4411453.619422 -2851727.929330 4616067.092834,1093039.708255 -258498.004898 6897965.657229,-2737078.186786 2455346.799220 5945457.599428,-5285975.816325 4019353.328180 2203526.180452,-5358134.659131 3699882.641548 -2573603.649563,-2924554.425365 1650261.531022 -6145837.084853,871775.491235 -1168012.552584 -6850239.524786,4262508.478088 -3442360.660054 -4361075.326064,5663237.414525 -4109367.116222 167111.224950,4049046.268005 -68472.065423 5698737.754274,-539686.398769 497223.865262 6950076.419583,-4875942.337772 829843.720890 4942690.933920,-6928442.720184 773467.003356 615217.182417,-5735416.199963 354686.018169 -4001789.679850,-1863607.335925 -229591.660804 -6747147.324021,2875807.042108 -706678.489319 -6346557.316605,6275732.625829 -854315.539015 -2985231.315791,6741841.169830 -602462.791336 1773375.515701,2215286.224598 1429846.423653 6473254.206069,-2163776.913296 -504537.833539 6626791.855136,-5530026.833843 -2203171.068842 3672513.811828,-6305180.236593 -2869774.948677 -1006405.538983,-4128748.158080 -2192975.139333 -5214167.488424,-26558.233478 -493056.308636 -6986169.559607,4087860.313554 1436614.343392 -5501847.118775,6296052.911266 2696628.628622 -1448208.383584,5557662.488010 2694636.053401 3283610.385967,258498.004898 1093039.708255 6897965.657229,-2455346.799220 -2737078.186786 5945457.599428,-4019353.328180 -5285975.816325 2203526.180452,-3699882.641548 -5358134.659131 -2573603.649563,-1650261.531022 -2924554.425365 -6145837.084853,1168012.552584 871775.491235 -6850239.524786,3442360.660054 4262508.478088 -4361075.326064,4109367.116222 5663237.414525 167111.224950,2851727.929330 4411453.619422 4616067.092834
-597009.873763 -6681007.897270 1990970.729103,-49232.521922 -3863618.668168 5825965.650100,521233.293137 762776.572569 6927421.320189,847386.611329 5032305.733274 4780724.491013,776313.464898 6944711.606564 389815.896837,341540.246614 5604197.103786 -4184834.764223,-252551.027037 1646663.272884 -6802544.788537,-728769.321704 -3077422.723622 -6248716.344353,-865209.331738 -6367923.315574 -2779430.020502,2649398.726846 -5457881.239658 3481211.162520,1344185.086851 -2022823.248211 6553943.043443,-590504.325047 2358794.555978 6552880.147962,-2249194.788445 5636284.117256 3478518.896303,-2854252.845902 6272821.393442 -1229471.764536,-2123327.334526 3973288.107407 -5361764.212280,-401934.444006 -179164.381123 -6989759.118602,1506803.767704 -4248107.960416 -5359772.693843,2713030.687779 -6335770.218723 -1226413.291339,4288098.447587 -2762733.921347 4782985.612705,912365.503669 -126859.336750 6927782.067415,-2890523.712389 2568031.826077 5824257.681297,-5340268.400589 4060261.633846 1987992.919468,-5287867.976377 3649885.848206 -2782279.597969,-2762986.700031 1533028.912372 -6250105.868363,1049195.363998 -1297758.904236 -6801831.113506,4373163.175678 -3524189.450796 -4182347.537115,5655084.712316 -4104780.391677 392918.005695,3863618.668168 -49232.521922 5825965.650100,-762776.572569 521233.293137 6927421.320189,-5032305.733274 847386.611329 4780724.491013,-6944711.606564 776313.464898 389815.896837,-5604197.103786 341540.246614 -4184834.764223,-1646663.272884 -252551.027037 -6802544.788537,3077422.723622 -728769.321704 -6248716.344353,6367923.315574 -865209.331738 -2779430.020502,6681007.897270 -597009.873763 1990970.729103,2022823.248211 1344185.086851 6553943.043443,-2358794.555978 -590504.325047 6552880.147962,-5636284.117256 -2249194.788445 3478518.896303,-6272821.393442 -2854252.845902 -1229471.764536,-3973288.107407 -2123327.334526 -5361764.212280,179164.381123 -401934.444006 -6989759.118602,4248107.960416 1506803.767704 -5359772.693843,6335770.218723 2713030.687779 -1226413.291339,5457881.239658 2649398.726846 3481211.162520,126859.336750 912365.503669 6927782.067415,-2568031.826077 -2890523.712389 5824257.681297,-4060261.633846 -5340268.400589 1987992.919468,-3649885.848206 -5287867.976377 -2782279.597969,-1533028.912372 -2762986.700031 -6250105.868363,1297758.904236 1049195.363998 -6801831.113506,3524189.450796 4373163.175678 -4182347.537115,4104780.391677 5655084.712316 392918.005695,2762733.921347 4288098.447587 4782985.612705
