-625548.329204 -7071599.839493 -14914.319511,696546.583783 3503408.287624 6124971.725058,-73407.093210 3564920.166317 -6143599.409716,2554437.698005 -4812068.657852 4542208.399727,-2677558.194132 6114107.533423 2409579.826584,120645.020223 -1301276.734089 -6982330.343161,1261517.919235 -349128.270682 6966974.211914,-5547188.261740 3703600.329471 -2437657.361790,4282928.632970 -3355358.860370 -4565858.739360,-3503408.287624 696546.583783 6124971.725058,-3564920.166317 -73407.093210 -6143599.409716,7071599.839493 -625548.329204 -14914.319511,-6114107.533423 -2677558.194132 2409579.826584,1301276.734089 120645.020223 -6982330.343161,4812068.657852 2554437.698005 4542208.399727,-3703600.329471 -5547188.261740 -2437657.361791,3355358.860370 4282928.632970 -4565858.739360,349128.270682 1261517.919235 6966974.211914
-626667.490400 -7068173.596424 209455.954403,714386.532629 3694695.642230 6009671.740880,-90113.037478 3370225.572001 -6252341.135442,2491767.119007 -4679540.739515 4711888.589747,-2707110.402925 6180985.772898 2197430.564960,212742.909090 -1500430.526395 -6940039.078975,1080527.422656 -222152.302638 7002441.758636,-5480874.285422 3658606.087690 -2647064.383045,4397837.186788 -3437511.068177 -4392070.021420,-3694695.642230 714386.532629 6009671.740880,-3370225.572001 -90113.037478 -6252341.135442,7068173.596424 -626667.490400 209455.954403,-6180985.772898 -2707110.402925 2197430.564960,1500430.526395 212742.909090 -6940039.078975,4679540.739515 2491767.119007 4711888.589747,-3658606.087690 -5480874.285422 -2647064.383045,3437511.068177 4397837.186788 -4392070.021420,222152.302638 1080527.422656 7002441.758636
-627130.042401 -7057681.447041 433615.388878,732342.216279 3882217.377727 5888329.472611,-107588.562827 3172261.648134 -6354832.700341,2427198.232107 -4542060.147494 4876827.174197,-2733677.274033 6241808.390890 1983068.496829,303760.991382 -1698497.977858 -6890818.849974,899017.321148 -94161.815028 7030875.277505,-5409300.354500 3609661.882405 -2853812.177770,4508016.278130 -3516734.908350 -4213878.092193,-3882217.377727 732342.216279 5888329.472611,-3172261.648134 -107588.562827 -6354832.700341,7057681.447041 -627130.042401 433615.388878,-6241808.390890 -2733677.274033 1983068.496829,1698497.977858 303760.991382 -6890818.849974,4542060.147494 2427198.232107 4876827.174197,-3609661.882405 -5409300.354500 -2853812.177770,3516734.908350 4508016.278130 -4213878.092193,94161.815028 899017.321148 7030875.277505
-626904.582038 -7040136.214299 657338.307241,750378.756652 4065785.537541 5761066.346908,-125830.214523 2971228.753448 -6450972.790407,2360817.143986 -4399756.511256 5036858.622911,-2757258.914678 6296501.543123 1766709.489562,393614.233325 -1895277.735382 -6834718.160573,717172.785490 34717.440515 7052246.413054,-5332556.204618 3556794.462656 -3057693.650293,4613368.220959 -3592929.796766 -4031460.588659,-4065785.537541 750378.756652 5761066.346908,-2971228.753448 -125830.214523 -6450972.790407,7040136.214299 -626904.582038 657338.307241,-6296501.543123 -2757258.914678 1766709.489562,1895277.735382 393614.233325 -6834718.160573,4399756.511256 2360817.143986 5036858.622911,-3556794.462656 -5332556.204618 -3057693.650293,3592929.796766 4613368.220959 -4031460.588659,-34717.440515 717172.785490 7052246.413054
-625960.493279 -7015557.980123 880399.440813,768460.389592 4245216.221477 5628009.760267,-144832.891705 2767330.174203 -6540666.416285,2292711.174548 -4252764.650141 5191822.387275,-2777858.733755 6344997.590177 1548571.437569,482219.606947 -2090569.296068 -6771792.310837,535178.750664 164358.022242 7066533.854713,-5250736.588427 3500034.907131 -3258504.687989,4713800.511315 -3665997.729227 -3844999.475782,-4245216.221477 768460.389592 5628009.760267,-2767330.174203 -144832.891705 -6540666.416285,7015557.980123 -625960.493279 880399.440813,-6344997.590177 -2777858.733755 1548571.437569,2090569.296068 482219.606947 -6771792.310837,4252764.650141 2292711.174548 5191822.387275,-3500034.907131 -5250736.588427 -3258504.687989,3665997.729227 4713800.511315 -3844999.475782,-164358.022242 535178.750664 7066533.854713
-624267.926659 -6983974.070318 1102574.162957,786550.469446 4420329.784995 5489292.956412,-164589.873263 2560771.916186 -6623824.998699,2222968.795643 -4101224.411414 5341563.058564,-2795483.487239 6387235.149658 1328874.036822,569496.189558 -2284173.203370 -6702103.347798,353219.726653 294630.930960 7073723.356448,-5163941.196076 3439418.547047 -3456044.365892,4809225.958179 -3735843.351545 -3654680.869069,-4420329.784995 786550.469446 5489292.956412,-2560771.916186 -164589.873263 -6623824.998699,6983974.070318 -624267.926659 1102574.162957,-6387235.149658 -2795483.487239 1328874.036822,2284173.203370 569496.189558 -6702103.347798,4101224.411414 2222968.795643 5341563.058564,-3439418.547047 -5163941.196076 -3456044.365892,3735843.351545 4809225.958179 -3654680.869069,-294630.930960 353219.726653 7073723.356448
-621797.984802 -6945419.012766 1323638.722438,804611.598361 4590951.012129 5345054.897533,-185092.762142 2351762.498840 -6700366.447783,2151679.442319 -3945280.571518 5485930.520604,-2810143.133241 6423159.223028 1107838.557214,655365.201259 -2475891.256237 -6625720.010666,171479.613633 425405.727012 7073807.749872,-5072274.467028 3374985.039914 -3650115.147281,4899562.701608 -3802374.165292 -3460694.852188,-4590951.012129 804611.598361 5345054.897533,-2351762.498840 -185092.762142 -6700366.447783,6945419.012766 -621797.984802 1323638.722438,-6423159.223028 -2810143.133241 1107838.557214,2475891.256237 655365.201259 -6625720.010666,3945280.571518 2151679.442319 5485930.520604,-3374985.039914 -5072274.467028 -3650115.147281,3802374.165292 4899562.701608 -3460694.852188,-425405.727012 171479.613633 7073807.749872
-618522.700171 -6899934.505828 1543370.475831,822605.635619 4756909.306523 5195440.129467,-206331.517074 2140512.743763 -6770215.236316,2078933.451501 -3785082.663696 5624780.096629,-2821850.868858 6452721.234020 885687.613042,739750.097722 -2665526.705310 -6542717.669947,-9858.484131 556550.668404 7066786.950839,-4975845.501159 3306778.282678 -3840523.080014,4984734.331673 -3865500.594481 -3263235.289789,-4756909.306523 822605.635619 5195440.129467,-2140512.743763 -206331.517074 -6770215.236316,6899934.505828 -618522.700171 1543370.475831,-6452721.234020 -2821850.868858 885687.613042,2665526.705310 739750.097722 -6542717.669947,3785082.663696 2078933.451501 5624780.096629,-3306778.282678 -4975845.501159 -3840523.080014,3865500.594481 4984734.331673 -3263235.289789,-556550.668404 -9858.484131 7066786.950839
-614415.114830 -6847569.369412 1761548.118645,840493.768719 4918038.867043 5040598.640873,-228294.443784 1927235.563573 -6833302.466854,2004821.936498 -3620784.835228 5757972.690239,-2830623.070707 6475879.100330 662644.931917,822576.631819 -2852884.454668 -6453178.260459,-190612.442115 687932.841015 7052667.959527,-4874767.913432 3234846.398093 -4027077.988430,5064669.948662 -3925136.117763 -3062499.635713,-4918038.867043 840493.768719 5040598.640873,-1927235.563573 -228294.443784 -6833302.466854,6847569.369412 -614415.114830 1761548.118645,-6475879.100330 -2830623.070707 662644.931917,2852884.454668 822576.631819 -6453178.260459,3620784.835228 2004821.936498 5757972.690239,-3234846.398093 -4874767.913432 -4027077.988430,3925136.117763 5064669.948662 -3062499.635713,-687932.841015 -190612.442115 7052667.959527
-609449.338587 -6788379.489777 1977951.914877,858236.574278 5074178.860948 4880685.716513,-250968.197294 1712145.749062 -6889565.932758,1929436.674352 -3452545.693186 5885374.920371,-2836479.249873 6492597.290024 438935.122389,903772.917823 -3037771.261783 -6357190.208240,-370601.297893 819418.292909 7031464.853990,-4769159.694661 3159241.700966 -4209593.660639,5139304.227721 -3981197.384685 -2858688.736760,-5074178.860948 858236.574278 4880685.716513,-1712145.749062 -250968.197294 -6889565.932758,6788379.489777 -609449.338587 1977951.914877,-6492597.290024 -2836479.249873 438935.122389,3037771.261783 903772.917823 -6357190.208240,3452545.693186 1929436.674352 5885374.920371,-3159241.700966 -4769159.694661 -4209593.660639,3981197.384685 5139304.227721 -2858688.736760,-819418.292909 -370601.297893 7031464.853990
