-634342.860296 -7171169.410426 -14913.874182,706358.368343 3552738.985665 6211389.844117,-74420.023615 3615207.132604 -6230017.392504,2590404.753704 -4879810.338681 4606336.444503,-2715241.701891 6200180.234709 2443695.394004,122369.342926 -1319630.721633 -7080615.115763,1279285.513074 -354043.033981 7065259.224698,-5625323.352270 3755787.926615 -2471772.269156,4343317.447503 -3402643.346142 -4629986.521296,-3552738.985665 706358.368343 6211389.844117,-3615207.132604 -74420.023615 -6230017.392504,7171169.410426 -634342.860296 -14913.874182,-6200180.234709 -2715241.701891 2443695.394004,1319630.721633 122369.342926 -7080615.115763,4879810.338681 2590404.753704 4606336.444503,-3755787.926615 -5625323.352270 -2471772.269156,3402643.346142 4343317.447503 -4629986.521296,354043.033981 1279285.513074 7065259.224698
-635785.877777 -7167807.911083 207893.229550,724242.383397 3742698.151113 6096954.801994,-90846.855666 3421904.677672 -6338072.166613,2527975.822303 -4748373.182066 4774882.447654,-2744334.547000 6266779.555883 2233049.746753,213770.463632 -1517423.176659 -7038686.905149,1099551.136645 -228012.097831 7100552.687675,-5559361.390066 3711402.844778 -2679749.464974,4457313.702049 -3484453.595475 -4457448.642470,-3742698.151113 724242.383397 6096954.801994,-3421904.677672 -90846.855666 -6338072.166613,7167807.911083 -635785.877777 207893.229550,-6266779.555883 -2744334.547000 2233049.746753,1517423.176659 213770.463632 -7038686.905149,4748373.182066 2527975.822303 4774882.447654,-3711402.844778 -5559361.390066 -2679749.464974,3484453.595475 4457313.702049 -4457448.642470,228012.097831 1099551.136645 7100552.687675
-636590.127148 -7157575.351821 430499.684793,742256.528750 3928997.621418 5976641.766530,-108039.968911 3225420.135739 -6440051.042472,2463711.578306 -4612111.543852 4938821.150672,-2770519.001916 6327494.403491 2020248.021359,304105.338209 -1714171.289873 -6990019.413112,919319.214287 -100975.712424 7129006.606210,-5488287.093259 3663169.743078 -2885145.348267,4566705.490810 -3563428.017133 -4280625.691294,-3928997.621418 742256.528750 5976641.766530,-3225420.135739 -108039.968911 -6440051.042472,7157575.351821 -636590.127148 430499.684793,-6327494.403491 -2770519.001916 2020248.021359,1714171.289873 304105.338209 -6990019.413112,4612111.543852 2463711.578306 4938821.150672,-3663169.743078 -5488287.093259 -2885145.348267,3563428.017133 4566705.490810 -4280625.691294,100975.712424 919319.214287 7129006.606210
-636724.750839 -7140483.827866 652690.608635,760367.098155 4111458.294420 5850566.202365,-125996.528659 3025944.322184 -6535857.321688,2397694.609405 -4471148.451052 5097994.778297,-2793795.884117 6382253.890970 1805495.691318,393293.090533 -1909683.116925 -6934658.647127,738766.208357 26946.464568 7150593.763560,-5412186.254833 3611113.261818 -3087762.626780,4671400.061716 -3639470.132306 -4099686.714160,-4111458.294420 760367.098155 5850566.202365,-3025944.322184 -125996.528659 -6535857.321688,7140483.827866 -636724.750839 652690.608635,-6382253.890970 -2793795.884117 1805495.691318,1909683.116925 393293.090533 -6934658.647127,4471148.451052 2397694.609405 5097994.778297,-3611113.261818 -5412186.254833 -3087762.626780,3639470.132306 4671400.061716 -4099686.714160,-26946.464568 738766.208357 7150593.763560
-636159.627786 -7116552.206817 874251.489912,778539.526427 4289904.850746 5718849.144811,-144712.129412 2823670.792354 -6625400.201045,2330008.615013 -4325611.791682 5252250.192452,-2814169.100300 6430992.913749 1589000.127844,481254.746989 -2103767.485897 -6872656.955815,558068.347139 155633.162129 7165293.512944,-5331149.344430 3555262.096591 -3287406.779123,4771309.508778 -3712485.849151 -3914804.797558,-4289904.850746 778539.526427 5718849.144811,-2823670.792354 -144712.129412 -6625400.201045,7116552.206817 -636159.627786 874251.489912,-6430992.913749 -2814169.100300 1589000.127844,2103767.485897 481254.746989 -6872656.955815,4325611.791682 2330008.615013 5252250.192452,-3555262.096591 -5331149.344430 -3287406.779123,3712485.849151 4771309.508778 -3914804.797558,-155633.162129 558068.347139 7165293.512944
-634865.347805 -7085806.115842 1094968.402707,796738.389592 4464165.936974 5581617.088004,-164180.821355 2618795.651151 -6708594.851051,2260738.354603 -4175634.164703 5401439.037205,-2831645.694189 6473652.194529 1370970.394256,567913.329540 -2296234.176584 -6804072.984604,377401.451523 284961.617981 7173091.795840,-5245271.439531 3495648.922905 -3483886.241767,4866350.895383 -3782383.522376 -3726156.906170,-4464165.936974 796738.389592 5581617.088004,-2618795.651151 -164180.821355 -6708594.851051,7085806.115842 -634865.347805 1094968.402707,-6473652.194529 -2831645.694189 1370970.394256,2296234.176584 567913.329540 -6804072.984604,4175634.164703 2260738.354603 5401439.037205,-3495648.922905 -5245271.439531 -3483886.241767,3782383.522376 4866350.895383 -3726156.906170,-284961.617981 377401.451523 7173091.795840
-632813.395137 -7048277.902745 1314628.219285,814927.530949 4634074.322535 5439001.867572,-184395.053426 2411517.364907 -6785362.489027,2189969.466482 -4021352.794758 5545417.878672,-2846235.701853 6510178.405039 1151617.038450,653193.886670 -2486894.112790 -6728971.625919,196940.765728 414807.684148 7173981.154429,-5154652.046851 3432310.474539 -3677012.592482,4956446.264052 -3849074.150439 -3533923.716560,-4634074.322535 814927.530949 5439001.867572,-2411517.364907 -184395.053426 -6785362.489027,7048277.902745 -632813.395137 1314628.219285,-6510178.405039 -2846235.701853 1151617.038450,2486894.112790 653193.886670 -6728971.625919,4021352.794758 2189969.466482 5545417.878672,-3432310.474539 -5154652.046851 -3677012.592482,3849074.150439 4956446.264052 -3533923.716560,-414807.684148 196940.765728 7173981.154429
-629976.121374 -7004006.608407 1533018.822178,833070.065706 4799467.075454 5291140.537873,-205345.705227 2202036.567782 -6855630.446738,2117788.416160 -3862909.372674 5684048.339746,-2857952.191741 6540524.199072 931151.883664,737023.580221 -2675559.541738 -6647423.963895,16860.786858 545045.954124 7167960.738192,-5059395.025097 3365287.459408 -3866600.730007,5041522.748934 -3912471.432245 -3338289.446591,-4799467.075454 833070.065706 5291140.537873,-2202036.567782 -205345.705227 -6855630.446738,7004006.608407 -629976.121374 1533018.822178,-6540524.199072 -2857952.191741 931151.883664,2675559.541738 737023.580221 -6647423.963895,3862909.372674 2117788.416160 5684048.339746,-3365287.459408 -5059395.025097 -3866600.730007,3912471.432245 5041522.748934 -3338289.446591,-545045.954124 16860.786858 7167960.738192
-626326.821998 -6953037.922602 1749929.315168,851128.447926 4960185.722966 5138175.243876,-227022.077404 1990555.868654 -6919332.232550,2044282.379512 -3700449.926570 5817197.229582,-2866811.207522 6564648.280122 709787.817827,819331.741118 -2862044.219083 -6559507.213636,-162664.903501 675549.881649 7155036.304667,-4959608.450959 3294624.550286 -4052469.049798,5121512.629491 -3972491.890504 -3139441.680715,-4960185.722966 851128.447926 5138175.243876,-1990555.868654 -227022.077404 -6919332.232550,6953037.922602 -626326.821998 1749929.315168,-6564648.280122 -2866811.207522 709787.817827,2862044.219083 819331.741118 -6559507.213636,3700449.926570 2044282.379512 5817197.229582,-3294624.550286 -4959608.450959 -4052469.049798,3972491.890504 5121512.629491 -3139441.680715,-675549.881649 -162664.903501 7155036.304667
-621839.791158 -6895424.134426 1965150.232907,869064.527038 5116076.410217 4980253.087772,-249411.893065 1777279.656397 -6976407.588116,1969539.138989 -3534124.681804 5944736.667743,-2872831.725983 6582515.454422 487738.581728,900049.927968 -3046163.592239 -6465304.654987,-341463.806354 806191.903493 7135220.214352,-4855404.491768 3220370.355638 -4234439.615689,5196353.389343 -4029054.979293 -2937571.191289,-5116076.410217 869064.527038 4980253.087772,-1777279.656397 -249411.893065 -6976407.588116,6895424.134426 -621839.791158 1965150.232907,-6582515.454422 -2872831.725983 487738.581728,3046163.592239 900049.927968 -6465304.654987,3534124.681804 1969539.138989 5944736.667743,-3220370.355638 -4855404.491768 -4234439.615689,4029054.979293 5196353.389343 -2937571.191289,-806191.903493 -341463.806354 7135220.214352
-616490.374336 -6831224.075670 2178473.748914,886839.605056 5266990.054747 4817525.990396,-272501.301735 1562413.904035 -7026802.539598,1893646.980518 -3364087.916624 6066544.202939,-2876035.612437 6594096.677007 265218.556281,979111.983370 -3227734.982869 -6364905.560852,-519364.670931 936843.563949 7108531.419762,-4746899.274988 3142577.385628 -4412338.327316,5265987.770200 -4082083.188495 -2732871.756105,-5266990.054747 886839.605056 4817525.990396,-1562413.904035 -272501.301735 -7026802.539598,6831224.075670 -616490.374336 2178473.748914,-6594096.677007 -2876035.612437 265218.556281,3227734.982869 979111.983370 -6364905.560852,3364087.916624 1893646.980518 6066544.202939,-3142577.385628 -4746899.274988 -4412338.327316,4082083.188495 5265987.770200 -2732871.756105,-936843.563949 -519364.670931 7108531.419762
