-634342.860296 -7171169.410426 -14913.874182,232038.717471 -2254744.628453 6822653.289451,776703.135160 5780614.227716 4210843.228757,246400.948078 5820310.747773 -4235504.045806,-624305.634760 -2174701.503324 -6838980.967986,2941434.576272 -5887522.751744 2909016.475083,89670.575219 872049.664215 7135082.531622,-2886823.859846 6425055.183761 1479519.039212,-1872053.197302 3093651.204970 -6230017.392504,1724581.046666 -4504717.881184 -5349502.842002,4137989.718220 -2492869.096933 5327928.246371,-2723583.030430 2388093.783993 6211389.844117,-5818127.272399 3965088.311490 -1508699.609203,-873540.640827 62906.556631 -7150152.534090,5275240.136944 -3926100.687952 -2936368.498139,2254744.628453 232038.717471 6822653.289451,-5780614.227716 776703.135160 4210843.228757,-5820310.747773 246400.948078 -4235504.045806,2174701.503324 -624305.634760 -6838980.967986,7171169.410426 -634342.860296 -14913.874182,-872049.664215 89670.575219 7135082.531622,-6425055.183761 -2886823.859846 1479519.039212,-3093651.204970 -1872053.197302 -6230017.392504,4504717.881184 1724581.046666 -5349502.842002,5887522.751744 2941434.576272 2909016.475083,-2388093.783993 -2723583.030430 6211389.844117,-3965088.311490 -5818127.272399 -1508699.609203,-62906.556631 -873540.640827 -7150152.534090,3926100.687952 5275240.136944 -2936368.498139,2492869.096933 4137989.718220 5327928.246371
-635785.877777 -7167807.911083 207893.229550,250455.696004 -2043058.113537 6888232.694951,789503.009257 5907805.817504 4028460.427131,235901.067738 5687180.894996 -4413378.161920,-643578.901146 -2383803.575150 -6767110.527173,2900670.223945 -5803400.770828 3111258.274963,-3033.988282 1072355.136545 7108353.153763,-2903236.738463 6464476.139479 1260797.177484,-1789628.023697 2918032.952360 -6338072.166613,1792034.411433 -4652941.021826 -5198238.646513,4000310.450137 -2397465.479158 5474514.295676,-2879150.485862 2498561.378076 6096954.801994,-5776384.747910 3937814.293960 -1725791.220514,-692678.053529 -64062.225967 -7169927.530427,5345875.466932 -3977724.683976 -2731652.911651,2043058.113537 250455.696004 6888232.694951,-5907805.817504 789503.009257 4028460.427131,-5687180.894996 235901.067738 -4413378.161920,2383803.575150 -643578.901146 -6767110.527173,7167807.911083 -635785.877777 207893.229550,-1072355.136545 -3033.988282 7108353.153763,-6464476.139479 -2903236.738463 1260797.177484,-2918032.952360 -1789628.023697 -6338072.166613,4652941.021826 1792034.411433 -5198238.646513,5803400.770828 2900670.223945 3111258.274963,-2498561.378076 -2879150.485862 6096954.801994,-3937814.293960 -5776384.747910 -1725791.220514,64062.225967 -692678.053529 -7169927.530427,3977724.683976 5345875.466932 -2731652.911651,2397465.479158 4000310.450137 5474514.295676
-636590.127148 -7157575.351821 430499.684793,269563.467792 -1829500.141165 6947175.726770,802090.556139 6029282.349582 3842189.291737,224581.854195 5548672.316790 -4587009.328304,-663150.051249 -2590554.377790 -6688757.680928,2857507.036721 -5713534.294865 3310496.299360,-94860.624150 1272039.138628 7074776.769896,-2916708.643698 6497768.164580 1040858.085384,-1706275.425571 2739275.790972 -6440051.042472,1857140.302074 -4797019.343707 -5041982.341316,3859225.584591 -2299157.012060 5615820.103576,-3031483.487182 2607311.820732 5976641.766530,-5729243.204081 3906578.012139 -1941219.062248,-511714.538107 -191761.694371 -7182839.234656,5411182.004108 -4025843.414901 -2524306.147422,1829500.141165 269563.467792 6947175.726770,-6029282.349582 802090.556139 3842189.291737,-5548672.316790 224581.854195 -4587009.328304,2590554.377790 -663150.051249 -6688757.680928,7157575.351821 -636590.127148 430499.684793,-1272039.138628 -94860.624150 7074776.769896,-6497768.164580 -2916708.643698 1040858.085384,-2739275.790972 -1706275.425571 -6440051.042472,4797019.343707 1857140.302074 -5041982.341316,5713534.294865 2857507.036721 3310496.299360,-2607311.820732 -3031483.487182 5976641.766530,-3906578.012139 -5729243.204081 -1941219.062248,191761.694371 -511714.538107 -7182839.234656,4025843.414901 5411182.004108 -2524306.147422,2299157.012060 3859225.584591 5615820.103576
-636724.750839 -7140483.827866 652690.608635,289351.511197 -1614278.010018 6999425.967416,814428.409661 6144928.091620 3652209.378846,212430.923007 5404922.000611 -4756231.625892,-682989.670451 -2794755.772678 -6603996.604938,2812011.451265 -5617999.303859 3506538.318914,-185724.690087 1470906.709099 7034385.499049,-2927253.707921 6524886.806961 819914.148053,-1622088.355699 2557546.389119 -6535857.321688,1919854.725034 -4936804.122209 -4880882.899081,3714883.061970 -2198023.434573 5751709.885582,-3180443.780490 2714226.370414 5850566.202365,-5676766.009817 3871386.512138 -2154775.768354,-330824.954975 -320070.596304 -7188875.450874,5471111.782930 -4070386.698223 -2314527.447334,1614278.010018 289351.511197 6999425.967416,-6144928.091620 814428.409661 3652209.378846,-5404922.000611 212430.923007 -4756231.625892,2794755.772678 -682989.670451 -6603996.604938,7140483.827866 -636724.750839 652690.608635,-1470906.709099 -185724.690087 7034385.499049,-6524886.806961 -2927253.707921 819914.148053,-2557546.389119 -1622088.355699 -6535857.321688,4936804.122209 1919854.725034 -4880882.899081,5617999.303859 2812011.451265 3506538.318914,-2714226.370414 -3180443.780490 5850566.202365,-3871386.512138 -5676766.009817 -2154775.768354,320070.596304 -330824.954975 -7188875.450874,4070386.698223 5471111.782930 -2314527.447334,2198023.434573 3714883.061970 5751709.885582
-636159.627786 -7116552.206817 874251.489912,309807.740149 -1397600.529618 7044933.414628,826478.970876 6254633.078861 3458703.868331,199437.303976 5256071.922061 -4920883.447823,-703067.224646 -2996212.093855 -6512907.573233,2764251.793234 -5516877.543408 3699195.228572,-275543.304294 1668763.279877 6987217.984187,-2934889.058260 6545793.671027 598178.708916,-1537159.776483 2373014.573397 -6625400.201045,1980136.562613 -5072150.475108 -4715094.003747,3567433.553131 -2094147.836026 5882053.106578,-3325896.817351 2819187.433109 5718849.144811,-5619021.611612 3832250.945974 -2366255.862496,-150183.549949 -448866.338299 -7188030.477777,5525622.275810 -4111287.595652 -2102518.489113,1397600.529618 309807.740149 7044933.414628,-6254633.078861 826478.970876 3458703.868331,-5256071.922061 199437.303976 -4920883.447823,2996212.093855 -703067.224646 -6512907.573233,7116552.206817 -636159.627786 874251.489912,-1668763.279877 -275543.304294 6987217.984187,-6545793.671027 -2934889.058260 598178.708916,-2373014.573397 -1537159.776483 -6625400.201045,5072150.475108 1980136.562613 -4715094.003747,5516877.543408 2764251.793234 3699195.228572,-2819187.433109 -3325896.817351 5718849.144811,-3832250.945974 -5619021.611612 -2366255.862496,448866.338299 -150183.549949 -7188030.477777,4111287.595652 5525622.275810 -2102518.489113,2094147.836026 3567433.553131 5882053.106578
-634865.347805 -7085806.115842 1094968.402707,330918.526442 -1179677.813253 7083654.525961,838204.396547 6358293.235877 3261859.385781,185591.409819 5102268.898993 -5080807.648584,-723351.065350 -3194730.343746 -6415576.889218,2714298.249973 -5410256.416715 3888281.232194,-364235.440193 1865414.863876 6933319.357868,-2939634.850947 6560456.433029 375865.857354,-1451582.587683 2185853.150540 -6708594.851051,2037947.657069 -5202917.495481 -4544773.909926,3417030.323044 -1987616.543704 6006724.602256,-3467711.913333 2922078.654044 5581617.088004,-5556083.489466 3789186.512002 -2575455.958706,30036.215226 -578025.102894 -7180305.113447,5574676.474506 -4148482.440527 -1888483.190492,1179677.813253 330918.526442 7083654.525961,-6358293.235877 838204.396547 3261859.385781,-5102268.898993 185591.409819 -5080807.648584,3194730.343746 -723351.065350 -6415576.889218,7085806.115842 -634865.347805 1094968.402707,-1865414.863876 -364235.440193 6933319.357868,-6560456.433029 -2939634.850947 375865.857354,-2185853.150540 -1451582.587683 -6708594.851051,5202917.495481 2037947.657069 -4544773.909926,5410256.416715 2714298.249973 3888281.232194,-2922078.654044 -3467711.913333 5581617.088004,-3789186.512002 -5556083.489466 -2575455.958706,578025.102894 30036.215226 -7180305.113447,4148482.440527 5574676.474506 -1888483.190492,1987616.543704 3417030.323044 6006724.602256
-632813.395137 -7048277.902745 1314628.219285,352668.680561 -960721.078886 7115552.257532,849566.771381 6455810.468093 3061865.820705,170885.159578 4943664.435347 -5235851.688322,-743808.522621 -3390120.366469 -6312096.811235,2662222.677922 -5298228.952663 4073614.023407,-451721.971865 2060668.249806 6872741.202053,-2941514.109648 6568848.936188 153190.215613,-1365449.483052 1996237.772964 -6785362.489027,2093252.743602 -5328968.439060 -4370085.297399,3263829.029679 -1878519.113755 6125604.695112,-3605762.320866 3022785.105312 5439001.867572,-5488029.994328 3742212.557143 -2782174.959385,209661.819430 -707421.961092 -7165706.654675,5618242.844942 -4181911.024285 -1672627.510537,960721.078886 352668.680561 7115552.257532,-6455810.468093 849566.771381 3061865.820705,-4943664.435347 170885.159578 -5235851.688322,3390120.366469 -743808.522621 -6312096.811235,7048277.902745 -632813.395137 1314628.219285,-2060668.249806 -451721.971865 6872741.202053,-6568848.936188 -2941514.109648 153190.215613,-1996237.772964 -1365449.483052 -6785362.489027,5328968.439060 2093252.743602 -4370085.297399,5298228.952663 2662222.677922 4073614.023407,-3022785.105312 -3605762.320866 5439001.867572,-3742212.557143 -5488029.994328 -2782174.959385,707421.961092 209661.819430 -7165706.654675,4181911.024285 5618242.844942 -1672627.510537,1878519.113755 3263829.029679 6125604.695112
-629976.121374 -7004006.608407 1533018.822178,375041.479788 -740942.440629 7140596.096941,860528.098895 6547092.771200 2858916.141037,155311.942842 4780414.567038 -5385867.772214,-764405.915332 -3582195.039256 -6202565.472681,2608098.572685 -5180893.685888 4255014.962512,-537925.762536 2254331.190360 6805541.502096,-2940552.752610 6570951.192997 -69633.274800,-1278852.881176 1804346.755148 -6855630.446738,2146019.526755 -5450170.851032 -4191195.120799,3107987.584738 -1766948.211125 6238579.304935,-3739925.379117 3121193.377760 5291140.537873,-5414944.294004 3691352.508422 -2986214.250414,388521.848248 -836930.994194 -7144248.890850,5656295.396236 -4211516.618148 -1455159.248376,740942.440629 375041.479788 7140596.096941,-6547092.771200 860528.098895 2858916.141037,-4780414.567038 155311.942842 -5385867.772214,3582195.039256 -764405.915332 -6202565.472681,7004006.608407 -629976.121374 1533018.822178,-2254331.190360 -537925.762536 6805541.502096,-6570951.192997 -2940552.752610 -69633.274800,-1804346.755148 -1278852.881176 -6855630.446738,5450170.851032 2146019.526755 -4191195.120799,5180893.685888 2608098.572685 4255014.962512,-3121193.377760 -3739925.379117 5291140.537873,-3691352.508422 -5414944.294004 -2986214.250414,836930.994194 388521.848248 -7144248.890850,4211516.618148 5656295.396236 -1455159.248376,1766948.211125 3107987.584738 6238579.304935
-626326.821998 -6953037.922602 1749929.315168,398018.675576 -520554.703944 7158762.090345,871050.383252 6632054.322240 2653206.204108,138866.660782 4612679.700948 -5530712.984825,-785108.604865 -3770770.451487 -6087086.796679,2552000.955793 -5058354.572240 4432309.249276,-622771.728325 2446212.593112 6731784.594905,-2936779.520838 6566749.423743 -292389.566973,-1191884.820579 1610360.911204 -6919332.232550,2196218.680694 -5566396.717577 -4008274.454574,2949665.981034 -1652999.540151 6345540.053736,-3870082.619615 3217191.719271 5138175.243876,-5336914.257681 3636633.883122 -3187377.893183,566446.153531 -966425.412997 -7115952.092390,5688813.683906 -4237246.071772 -1236287.839540,520554.703944 398018.675576 7158762.090345,-6632054.322240 871050.383252 2653206.204108,-4612679.700948 138866.660782 -5530712.984825,3770770.451487 -785108.604865 -6087086.796679,6953037.922602 -626326.821998 1749929.315168,-2446212.593112 -622771.728325 6731784.594905,-6566749.423743 -2936779.520838 -292389.566973,-1610360.911204 -1191884.820579 -6919332.232550,5566396.717577 2196218.680694 -4008274.454574,5058354.572240 2552000.955793 4432309.249276,-3217191.719271 -3870082.619615 5138175.243876,-3636633.883122 -5336914.257681 -3187377.893183,966425.412997 566446.153531 -7115952.092390,4237246.071772 5688813.683906 -1236287.839540,1652999.540151 2949665.981034 6345540.053736
-621839.791158 -6895424.134426 1965150.232907,421580.507971 -299771.159633 7170032.863684,881095.693751 6710615.566560 2444934.564321,121545.749448 4440624.450883 -5670249.419374,-805881.042551 -3955666.083161 -5965770.405310,2494006.276676 -4930720.890483 4605326.091454,-706186.903585 2636122.710484 6651541.111289,-2930225.922029 6556236.079801 -514863.722412,-1104636.863599 1414463.385536 -6976407.588116,2243823.860368 -5677522.608076 -3821498.333353,2789026.125038 -1536771.761058 6446384.365074,-3996119.875431 3310670.163051 4980253.087772,-5254032.347069 3578088.278077 -3385472.813329,743266.012260 -1095777.679602 -7080842.993730,5715782.818802 -4259049.892535 -1016224.150175,299771.159633 421580.507971 7170032.863684,-6710615.566560 881095.693751 2444934.564321,-4440624.450883 121545.749448 -5670249.419374,3955666.083161 -805881.042551 -5965770.405310,6895424.134426 -621839.791158 1965150.232907,-2636122.710484 -706186.903585 6651541.111289,-6556236.079801 -2930225.922029 -514863.722412,-1414463.385536 -1104636.863599 -6976407.588116,5677522.608076 2243823.860368 -3821498.333353,4930720.890483 2494006.276676 4605326.091453,-3310670.163051 -3996119.875431 4980253.087772,-3578088.278077 -5254032.347069 -3385472.813329,1095777.679602 743266.012260 -7080842.993730,4259049.892535 5715782.818802 -1016224.150175,1536771.761058 2789026.125038 6446384.365074
