-625548.329204 -7071599.839493 -14914.319511,-42929.843576 -4441614.948963 5528071.358364,571565.920434 1536032.959432 6896945.952073,754901.942974 6356544.213248 3060932.685933,368779.785684 6384773.059300 -3087943.972945,-294740.258620 1609298.647814 -6912589.995083,-736937.337982 -4373000.576982 -5548766.383474,2980992.462266 -6097073.226225 2074467.213467,1470467.509406 -2177632.989896 6584675.986600,-1148477.107336 3382313.868803 6124971.725058,-2902436.651413 6393240.850022 1041458.571921,-2468895.348697 4585245.992969 -4830201.051155,-180112.462041 -667955.900066 -7069826.408442,2243994.283782 -5420217.221305 -4003810.712092,4947758.959821 -3164624.653348 3978728.841003,689554.173555 58830.211515 7054835.561057,-4088431.408390 3237495.412588 4807289.019323,-5784766.532481 3975347.941755 -1070954.567356,-3124014.973099 1718887.675620 -6143599.409716,1881399.567186 -1827360.530476 -6601568.973827,5475670.718818 -4002609.857331 -2102995.145128,4441614.948963 -42929.843576 5528071.358364,-1536032.959432 571565.920434 6896945.952073,-6356544.213248 754901.942974 3060932.685933,-6384773.059300 368779.785684 -3087943.972945,-1609298.647814 -294740.258620 -6912589.995083,4373000.576982 -736937.337982 -5548766.383474,7071599.839493 -625548.329204 -14914.319511,2177632.989896 1470467.509406 6584675.986600,-3382313.868803 -1148477.107336 6124971.725058,-6393240.850022 -2902436.651413 1041458.571921,-4585245.992969 -2468895.348697 -4830201.051155,667955.900066 -180112.462041 -7069826.408442,5420217.221305 2243994.283782 -4003810.712092,6097073.226225 2980992.462266 2074467.213467,-58830.211515 689554.173555 7054835.561057,-3237495.412588 -4088431.408390 4807289.019323,-3975347.941755 -5784766.532481 -1070954.567356,-1718887.675620 -3124014.973099 -6143599.409716,1827360.530476 1881399.567186 -6601568.973827,4002609.857331 5475670.718818 -2102995.145128,3164624.653348 4947758.959821 3978728.841003
-626667.490400 -7068173.596424 209455.954403,-28006.568217 -4264997.828363 5665242.203390,591274.792372 1752613.598587 6843546.703988,764542.614922 6449898.226414 2857137.093300,361099.293342 6284539.869002 -3288278.177006,-313914.395179 1391523.448536 -6958869.709529,-753235.405856 -4544959.454483 -5406498.743188,2950630.653640 -6034836.300463 2287914.697823,1381758.071549 -1987619.818123 6663357.821352,-1228670.935737 3556893.551737 6009671.740880,-2913644.396235 6420738.291514 819017.238870,-2402771.705206 4445194.740806 -4991866.797180,-86581.055492 -869859.424087 -7049598.965801,2294807.511475 -5532579.877613 -3816760.410587,4841568.105096 -3091380.744130 4162208.652463,506662.956266 187315.058789 7068061.577386,-4210248.213290 3324432.806107 4640313.895472,-5753589.263491 3955143.509683 -1292193.291958,-2963757.480576 1607072.606332 -6252341.135442,2050231.873868 -1946735.911578 -6516601.288086,5526293.699340 -4039874.917937 -1887713.084480,4264997.828363 -28006.568217 5665242.203390,-1752613.598587 591274.792372 6843546.703988,-6449898.226414 764542.614922 2857137.093300,-6284539.869002 361099.293342 -3288278.177006,-1391523.448536 -313914.395179 -6958869.709529,4544959.454483 -753235.405856 -5406498.743188,7068173.596424 -626667.490400 209455.954403,1987619.818123 1381758.071549 6663357.821352,-3556893.551737 -1228670.935737 6009671.740880,-6420738.291514 -2913644.396235 819017.238870,-4445194.740806 -2402771.705206 -4991866.797180,869859.424087 -86581.055492 -7049598.965801,5532579.877613 2294807.511475 -3816760.410587,6034836.300463 2950630.653640 2287914.697823,-187315.058789 506662.956266 7068061.577386,-3324432.806107 -4210248.213290 4640313.895472,-3955143.509683 -5753589.263491 -1292193.291958,-1607072.606332 -2963757.480576 -6252341.135442,1946735.911578 2050231.873868 -6516601.288086,4039874.917937 5526293.699340 -1887713.084480,3091380.744130 4841568.105096 4162208.652463
-627130.042401 -7057681.447041 433615.388878,-12273.421686 -4084190.150089 5796715.541567,611337.599567 1967359.448065 6783271.939509,773813.362512 6536764.023714 2650464.520668,352606.793189 6178079.482573 -3485311.240812,-333733.110322 1172454.595521 -6998201.905709,-769527.355063 -4712330.942690 -5258818.918744,2917605.263326 -5966428.415790 2499058.262407,1292506.983788 -1795234.842334 6735343.999064,-1306881.725302 3728269.980264 5888329.472611,-2921833.887774 6441861.299622 595751.309412,-2334882.105414 4300430.543927 -5148532.269016,6153.744437 -1071308.577877 -7022334.637089,2342855.350415 -5639649.024646 -3625880.812033,4730868.051746 -3014573.601952 4341498.902211,323830.083199 316413.217039 7074188.130541,-4327485.051980 3408572.309977 4468669.015232,-5716765.271866 3930841.705868 -1512132.382946,-2801053.456149 1492956.395502 -6354832.700341,2216511.114961 -2064913.657316 -6425122.321134,5571247.392719 -4073317.735587 -1670533.318209,4084190.150089 -12273.421686 5796715.541567,-1967359.448065 611337.599567 6783271.939509,-6536764.023714 773813.362512 2650464.520668,-6178079.482573 352606.793189 -3485311.240812,-1172454.595521 -333733.110322 -6998201.905709,4712330.942690 -769527.355063 -5258818.918744,7057681.447041 -627130.042401 433615.388878,1795234.842334 1292506.983788 6735343.999064,-3728269.980264 -1306881.725302 5888329.472611,-6441861.299622 -2921833.887774 595751.309412,-4300430.543927 -2334882.105414 -5148532.269016,1071308.577877 6153.744437 -7022334.637089,5639649.024646 2342855.350415 -3625880.812033,5966428.415790 2917605.263326 2499058.262407,-316413.217039 323830.083199 7074188.130541,-3408572.309977 -4327485.051980 4468669.015232,-3930841.705868 -5716765.271866 -1512132.382946,-1492956.395502 -2801053.456149 -6354832.700341,2064913.657316 2216511.114961 -6425122.321134,4073317.735587 5571247.392719 -1670533.318209,3014573.601952 4730868.051746 4341498.902211
-626904.582038 -7040136.214299 657338.307241,4271.820076 -3899376.365062 5922359.727695,631725.798369 2180054.750188 6716181.810865,782676.324382 6617056.307910 2441123.006535,343283.824970 6065502.981632 -3678846.151661,-354181.968072 952312.054927 -7030547.836342,-785776.383544 -4874947.760640 -5105873.538975,2881976.210641 -5891906.495113 2707685.313525,1202813.318744 -1600667.923018 6800562.651985,-1383045.703049 3896262.940176 5761066.346908,-2927025.101413 6456576.033690 371885.610417,-2265314.918464 4151090.814189 -5300041.746576,98002.488941 -1272100.029670 -6988060.272984,2388112.829031 -5741304.567816 -3431362.577919,4615785.247414 -2934260.756839 4516419.466407,141240.243935 445995.316177 7073209.111980,-4440036.906184 3489809.309205 4292526.723759,-5674350.176903 3902442.846574 -1730550.881244,-2636074.688202 1376642.214384 -6450972.790407,2380077.537872 -2181764.703754 -6327222.426628,5610502.803775 -4102879.346660 -1451673.878514,3899376.365062 4271.820076 5922359.727695,-2180054.750188 631725.798369 6716181.810865,-6617056.307910 782676.324382 2441123.006535,-6065502.981632 343283.824970 -3678846.151661,-952312.054927 -354181.968072 -7030547.836342,4874947.760640 -785776.383544 -5105873.538975,7040136.214299 -626904.582038 657338.307241,1600667.923018 1202813.318744 6800562.651985,-3896262.940176 -1383045.703049 5761066.346908,-6456576.033690 -2927025.101413 371885.610417,-4151090.814189 -2265314.918464 -5300041.746576,1272100.029670 98002.488941 -6988060.272984,5741304.567816 2388112.829031 -3431362.577919,5891906.495113 2881976.210641 2707685.313525,-445995.316177 141240.243935 7073209.111980,-3489809.309205 -4440036.906184 4292526.723759,-3902442.846574 -5674350.176903 -1730550.881244,-1376642.214384 -2636074.688202 -6450972.790407,2181764.703754 2380077.537872 -6327222.426628,4102879.346660 5610502.803775 -1451673.878514,2934260.756839 4615785.247414 4516419.466407
-625960.493279 -7015557.980123 880399.440813,21629.746921 -3710744.888909 6042048.998202,652409.582320 2390485.879767 6642343.286391,791093.714834 6690696.569382 2229323.309362,333113.270322 5946927.591332 -3868689.510440,-375244.939735 731316.746296 -7055875.642581,-801945.015359 -5032647.420710 -4947814.556390,2843805.762286 -5811333.900421 2913585.820651,1112775.730754 -1404111.496881 6858948.683905,-1457101.891550 4060695.287153 5628009.760267,-2929241.155181 6464855.231136 147645.546357,-2194159.518438 3997317.826095 -5446244.730141,188877.481070 -1472030.674869 -6946809.633374,2430558.237933 -5837431.680659 -3233400.122309,4496450.252583 -2850503.818002 4686794.668276,-40922.684781 575930.695791 7065125.497837,-4547803.878258 3568041.653970 4112063.940878,-5626405.193435 3869951.635934 -1947229.443566,-2468994.677371 1258236.123582 -6540666.416285,2540774.560943 -2297160.559279 -6222998.345369,5644036.894793 -4128504.588083 -1231354.576417,3710744.888909 21629.746921 6042048.998202,-2390485.879767 652409.582320 6642343.286391,-6690696.569382 791093.714834 2229323.309362,-5946927.591332 333113.270322 -3868689.510440,-731316.746296 -375244.939735 -7055875.642581,5032647.420710 -801945.015359 -4947814.556390,7015557.980123 -625960.493279 880399.440813,1404111.496881 1112775.730754 6858948.683905,-4060695.287153 -1457101.891550 5628009.760267,-6464855.231136 -2929241.155181 147645.546357,-3997317.826095 -2194159.518438 -5446244.730141,1472030.674869 188877.481070 -6946809.633374,5837431.680659 2430558.237933 -3233400.122309,5811333.900421 2843805.762286 2913585.820651,-575930.695791 -40922.684781 7065125.497837,-3568041.653970 -4547803.878258 4112063.940878,-3869951.635934 -5626405.193435 -1947229.443566,-1258236.123582 -2468994.677371 -6540666.416285,2297160.559279 2540774.560943 -6222998.345369,4128504.588083 5644036.894793 -1231354.576417,2850503.818002 4496450.252583 4686794.668276
-624267.926659 -6983974.070318 1102574.162957,39799.341639 -3518487.903826 6155663.592052,673357.893895 2598441.567833 6561830.088115,799027.813133 6757613.178349 2015278.690715,322079.324828 5822476.552266 -4054651.722836,-396904.424673 509690.320588 -7074160.381855,-817995.100732 -5185272.407774 -4784799.103790,2803158.508924 -5724780.341371 3116552.532408,1022492.364902 -1205760.371803 6910443.830772,-1528992.204599 4221393.121633 5489292.956412,-2928508.333656 6466678.212644 -76743.134857,-2121506.220230 3839258.548710 -5586996.082169,278692.874575 -1670897.835771 -6898623.357841,2470173.200926 -5927920.913604 -3032191.419368,4372997.621153 -2763368.372819 4852453.453530,-222475.830058 706087.536581 7049945.348011,-4650691.327124 3643169.734689 3927461.984240,-5572997.091213 3833377.114522 -2161950.567118,-2299988.469347 1137846.946642 -6623824.998699,2698448.950971 -2410973.415413 -6112553.118200,5671832.646611 -4150142.116241 -1009796.776410,3518487.903826 39799.341639 6155663.592052,-2598441.567833 673357.893895 6561830.088115,-6757613.178349 799027.813133 2015278.690715,-5822476.552266 322079.324828 -4054651.722836,-509690.320588 -396904.424673 -7074160.381855,5185272.407774 -817995.100732 -4784799.103790,6983974.070318 -624267.926659 1102574.162957,1205760.371803 1022492.364902 6910443.830772,-4221393.121633 -1528992.204599 5489292.956412,-6466678.212644 -2928508.333656 -76743.134857,-3839258.548710 -2121506.220230 -5586996.082169,1670897.835771 278692.874575 -6898623.357841,5927920.913604 2470173.200926 -3032191.419368,5724780.341371 2803158.508924 3116552.532408,-706087.536581 -222475.830058 7049945.348011,-3643169.734689 -4650691.327124 3927461.984240,-3833377.114522 -5572997.091213 -2161950.567118,-1137846.946642 -2299988.469347 -6623824.998699,2410973.415413 2698448.950971 -6112553.118200,4150142.116241 5671832.646611 -1009796.776410,2763368.372819 4372997.621153 4852453.453530
-621797.984802 -6945419.012766 1323638.722438,58777.897921 -3322801.157627 6263089.865433,694538.506401 2803713.104381 6474722.622864,806441.149346 6817741.446218 1799204.695385,310167.644826 5692278.976449 -4236547.185929,-419141.249337 287654.948657 -7085384.049633,-833887.963998 -5332670.330451 -4616989.345200,2760101.167321 -5632321.861001 3316381.189182,932060.723846 -1005811.553261 6954996.714829,-1598661.421704 4378186.003214 5345054.897533,-2924855.917832 6462030.966142 -301054.576317,-2047446.095805 3677064.538630 -5722156.163323,367364.729261 -1868499.466066 -6843548.930066,2506942.571259 -6012668.368598 -2827937.806482,4245565.692404 -2672924.015182 5013229.560514,-403237.496925 836332.992796 7027683.798762,-4748609.894286 3715096.687751 3738906.387406,-5514198.033893 3792732.769289 -2374498.811781,-2129232.448734 1015586.215349 -6700366.447783,2852950.931203 -2523076.331033 -5995995.992818,5693878.991529 -4167744.587760 -787223.168946,3322801.157627 58777.897921 6263089.865433,-2803713.104381 694538.506401 6474722.622864,-6817741.446218 806441.149346 1799204.695385,-5692278.976449 310167.644826 -4236547.185929,-287654.948657 -419141.249337 -7085384.049633,5332670.330451 -833887.963998 -4616989.345200,6945419.012766 -621797.984802 1323638.722438,1005811.553261 932060.723846 6954996.714829,-4378186.003214 -1598661.421704 5345054.897533,-6462030.966142 -2924855.917832 -301054.576317,-3677064.538630 -2047446.095805 -5722156.163323,1868499.466066 367364.729261 -6843548.930066,6012668.368598 2506942.571259 -2827937.806482,5632321.861001 2760101.167321 3316381.189182,-836332.992796 -403237.496925 7027683.798762,-3715096.687751 -4748609.894286 3738906.387406,-3792732.769289 -5514198.033893 -2374498.811781,-1015586.215349 -2129232.448734 -6700366.447783,2523076.331033 2852950.931203 -5995995.992818,4167744.587760 5693878.991529 -787223.168946,2672924.015182 4245565.692404 5013229.560514
-618522.700171 -6899934.505828 1543370.475831,78561.053239 -3123883.759442 6364220.400172,715918.041506 3006094.557735 6381107.906914,813296.494861 6871023.702256 1581318.928739,297365.315283 5556469.707540 -4414194.469952,-441934.694162 65433.098873 -7089535.595122,-849584.407757 -5474694.090917 -4444552.321224,2714702.552730 -5534040.730123 3512870.732144,841577.581079 -804464.034199 6992562.892243,-1666057.275519 4530907.120757 5195440.129467,-2918316.201410 6450906.137138 -525063.046533,-1972070.910897 3510891.762899 -5851590.962667,454811.103497 -2064634.351540 -6781640.636139,2540854.493932 -6091575.797561 -2620843.783160,4114296.464887 -2579244.235041 5168961.684946,-583027.355346 966533.328558 6998363.048766,-4841475.627506 3783728.467178 3546586.713034,-5450085.526604 3748036.472195 -2584661.019513,-1956904.171760 891568.036494 -6770215.236316,3004134.351439 -2633343.345052 -5873442.324513,5710170.860319 -4181268.670704 -563857.541049,3123883.759442 78561.053239 6364220.400172,-3006094.557735 715918.041506 6381107.906914,-6871023.702256 813296.494861 1581318.928739,-5556469.707540 297365.315283 -4414194.469952,-65433.098873 -441934.694162 -7089535.595122,5474694.090917 -849584.407757 -4444552.321224,6899934.505828 -618522.700171 1543370.475831,804464.034199 841577.581079 6992562.892243,-4530907.120757 -1666057.275519 5195440.129467,-6450906.137138 -2918316.201410 -525063.046533,-3510891.762899 -1972070.910897 -5851590.962667,2064634.351540 454811.103497 -6781640.636139,6091575.797561 2540854.493932 -2620843.783160,5534040.730123 2714702.552730 3512870.732144,-966533.328558 -583027.355346 6998363.048766,-3783728.467178 -4841475.627506 3546586.713034,-3748036.472195 -5450085.526604 -2584661.019513,-891568.036494 -1956904.171760 -6770215.236316,2633343.345052 3004134.351439 -5873442.324513,4181268.670704 5710170.860319 -563857.541049,2579244.235041 4114296.464887 5168961.684946
-614415.114830 -6847569.369412 1761548.118645,99142.767554 -2921937.972741 6458954.105824,737462.021478 3205382.982176 6281079.484182,819556.950186 6917409.350869 1361840.831591,283660.904247 5415189.170538 -4587416.495103,-465262.509581 -156752.680065 -7086610.930889,-865044.790305 -5611202.038233 -4267659.788892,2667033.463202 -5430025.376955 3705823.508418,751138.873008 -601918.600203 7023104.894228,-1731130.478088 4679393.480018 5040598.640873,-2908924.408959 6433303.054395 -748543.173499,-1895473.001594 3340900.450833 -5975172.221959,540952.124866 -2259102.312460 -6712959.516791,2571900.379623 -6164550.730304 -2411116.805915,3979335.424366 -2482406.370874 5319493.639099,-761666.618489 1096554.054413 6962012.338667,-4929210.047111 3848973.979265 3350696.361342,-5380742.300760 3699310.496906 -2792226.530708,-1783182.179023 765908.993926 -6833302.466854,3151856.822309 -2741649.624642 -5745013.470866,5720709.162136 -4190675.133805 -339924.545324,2921937.972741 99142.767554 6458954.105824,-3205382.982176 737462.021478 6281079.484182,-6917409.350869 819556.950186 1361840.831591,-5415189.170538 283660.904247 -4587416.495103,156752.680065 -465262.509581 -7086610.930889,5611202.038233 -865044.790305 -4267659.788892,6847569.369412 -614415.114830 1761548.118645,601918.600203 751138.873008 7023104.894228,-4679393.480018 -1731130.478088 5040598.640873,-6433303.054395 -2908924.408959 -748543.173499,-3340900.450833 -1895473.001594 -5975172.221959,2259102.312460 540952.124866 -6712959.516791,6164550.730304 2571900.379623 -2411116.805915,5430025.376955 2667033.463202 3705823.508418,-1096554.054413 -761666.618489 6962012.338667,-3848973.979265 -4929210.047111 3350696.361342,-3699310.496906 -5380742.300760 -2792226.530708,-765908.993926 -1783182.179023 -6833302.466854,2741649.624642 3151856.822309 -5745013.470866,4190675.133805 5720709.162136 -339924.545324,2482406.370874 3979335.424366 5319493.639099
-609449.338587 -6788379.489777 1977951.914877,120515.315865 -2717169.005758 6547196.315408,759134.917262 3401378.624796 6174737.337997,825186.013515 6956854.923136 1140991.452867,269044.497640 5268583.217181 -4756040.703236,-489100.937275 -378679.977235 -7076612.936422,-880229.090214 -5742058.118788 -4086488.056133,2617166.579215 -5320370.301630 3895045.472193,660839.597547 -398377.629250 7046592.261659,-1793834.754692 4823486.084066 4880685.716513,-2896718.629434 6409227.739543 -971270.178119,-1817745.163418 3167254.935357 -6092777.554011,625710.061764 -2451704.405554 -6637573.313515,2600074.891323 -6231506.589662 -2198967.079366,3840831.377357 -2382491.544446 5464674.505317,-938978.220294 1226260.065980 6918667.924111,-5011740.216260 3910745.201764 3151432.374053,-5306256.204742 3646581.514066 -2996987.397271,-1608245.812316 638728.040132 -6889565.932758,3295979.852164 -2847871.606636 -5610836.680421,5725500.769429 -4195928.915000 -115649.467676,2717169.005758 120515.315865 6547196.315408,-3401378.624796 759134.917262 6174737.337997,-6956854.923136 825186.013515 1140991.452867,-5268583.217181 269044.497640 -4756040.703236,378679.977235 -489100.937275 -7076612.936422,5742058.118788 -880229.090214 -4086488.056133,6788379.489777 -609449.338587 1977951.914877,398377.629250 660839.597547 7046592.261659,-4823486.084066 -1793834.754692 4880685.716513,-6409227.739543 -2896718.629434 -971270.178119,-3167254.935357 -1817745.163418 -6092777.554011,2451704.405554 625710.061764 -6637573.313515,6231506.589662 2600074.891323 -2198967.079366,5320370.301630 2617166.579215 3895045.472193,-1226260.065980 -938978.220294 6918667.924111,-3910745.201764 -5011740.216260 3151432.374053,-3646581.514066 -5306256.204742 -2996987.397271,-638728.040132 -1608245.812316 -6889565.932758,2847871.606636 3295979.852164 -5610836.680421,4195928.915000 5725500.769429 -115649.467676,2382491.544446 3840831.377357 5464674.505317
