-616753.908145 -6972031.492187 -14914.784099,-42330.010491 -4379078.580102 5450062.212055,563514.081559 1514401.203195 6799648.255947,744266.848537 6267064.710134 3017652.771982,363565.752143 6294814.229075 -3044664.622360,-290604.824000 1586590.422413 -6815292.533806,-726566.241449 -4311326.962137 -5470757.390009,2939019.756429 -6011248.540589 2045067.171758,1449757.548531 -2146968.593703 6491780.078142,-1132308.868447 3334686.324857 6038553.995662,-2861586.547220 6303231.601804 1026592.895532,-2434106.269051 4520591.785093 -4762342.020407,-177592.517411 -658539.216176 -6970302.942623,2212349.417885 -5343832.063877 -3947615.268351,4878103.644245 -3120080.925131 3922533.019522,679841.553600 57999.850027 6955311.823012,-4030876.543373 3191912.278587 4739429.756366,-5703311.072587 3919352.861637 -1056089.771108,-3079958.724111 1694621.266034 -6057181.822481,1854839.978699 -1801596.198579 -6508673.245850,5398531.564271 -3946243.081468 -2073595.849753,4379078.580102 -42330.010491 5450062.212055,-1514401.203195 563514.081559 6799648.255947,-6267064.710134 744266.848537 3017652.771982,-6294814.229075 363565.752143 -3044664.622360,-1586590.422413 -290604.824000 -6815292.533806,4311326.962137 -726566.241449 -5470757.390009,6972031.492187 -616753.908145 -14914.784099,2146968.593703 1449757.548531 6491780.078142,-3334686.324857 -1132308.868447 6038553.995662,-6303231.601804 -2861586.547220 1026592.895532,-4520591.785093 -2434106.269051 -4762342.020407,658539.216176 -177592.517411 -6970302.942623,5343832.063877 2212349.417885 -3947615.268351,6011248.540589 2939019.756429 2045067.171758,-57999.850027 679841.553600 6955311.823012,-3191912.278587 -4030876.543373 4739429.756366,-3919352.861637 -5703311.072587 -1056089.771108,-1694621.266034 -3079958.724111 -6057181.822481,1801596.198579 1854839.978699 -6508673.245850,3946243.081468 5398531.564271 -2073595.849753,3120080.925131 4878103.644245 3922533.019522
-617546.776010 -6968536.636789 211051.989594,-27094.304910 -4201158.751040 5588147.145323,583285.722309 1732530.794333 6745795.385070,753673.298661 6361048.896224 2812373.371134,355530.504926 6193812.117525 -3246385.458271,-309985.947493 1367243.063688 -6861822.892450,-742769.837962 -4484495.203588 -5327425.630690,2908692.691593 -5948365.513568 2260011.422364,1360502.513559 -1955513.110256 6570948.343907,-1213217.332463 3510417.974239 5922368.883525,-2873137.966291 6330718.787555 802557.018746,-2367697.582398 4379379.772896 -4925097.713430,-83366.616837 -861872.292810 -6949856.942616,2263752.271138 -5456834.530219 -3759197.102784,4771250.020515 -3046052.095726 4107274.557481,495640.840855 187428.815886 6968554.859933,-4153666.265985 3279244.053246 4571215.183162,-5672030.159762 3898691.130690 -1278889.322316,-2918610.462574 1581850.044172 -6166623.074976,2024932.872682 -1921710.785712 -6423036.172096,5449644.725954 -3983478.903899 -1856762.121480,4201158.751040 -27094.304910 5588147.145323,-1732530.794333 583285.722309 6745795.385070,-6361048.896224 753673.298661 2812373.371134,-6193812.117525 355530.504926 -3246385.458271,-1367243.063688 -309985.947493 -6861822.892450,4484495.203588 -742769.837962 -5327425.630690,6968536.636789 -617546.776010 211051.989594,1955513.110256 1360502.513559 6570948.343907,-3510417.974239 -1213217.332463 5922368.883525,-6330718.787555 -2873137.966291 802557.018746,-4379379.772896 -2367697.582398 -4925097.713430,861872.292810 -83366.616837 -6949856.942616,5456834.530219 2263752.271138 -3759197.102784,5948365.513568 2908692.691593 2260011.422364,-187428.815886 495640.840855 6968554.859933,-3279244.053246 -4153666.265985 4571215.183162,-3898691.130690 -5672030.159762 -1278889.322316,-1581850.044172 -2918610.462574 -6166623.074976,1921710.785712 2024932.872682 -6423036.172096,3983478.903899 5449644.725954 -1856762.121480,3046052.095726 4771250.020515 4107274.557481
-617664.435151 -6957772.588354 436797.059927,-11042.501213 -4018930.468606 5720367.597982,603400.558860 1948770.040603 6684870.583029,762690.117958 6448356.922611 2604138.689932,346669.585546 6086405.444086 -3444705.405798,-330009.132073 1146568.070550 -6901205.490675,-758950.549495 -4652942.392704 -5178529.124686,2875620.114963 -5879138.099867 2472580.693124,1270674.290152 -1761630.341826 6643226.750293,-1292100.539598 3682842.932007 5799970.236048,-2881586.573903 6351646.316779 577677.909425,-2299460.559679 4233329.085197 -5082705.631966,10056.888022 -1064724.791303 -6922172.739304,2312319.837386 -5564384.212799 -3566843.307909,4659752.890980 -2968369.212311 4287701.807450,311492.045662 317468.576591 6974494.169541,-4271749.840723 3363684.018581 4398200.108115,-5634938.832156 3873817.546463 -1500346.599243,-2754738.680402 1466729.435969 -6269632.291570,2192407.252434 -2040574.964663 -6330702.775450,5494927.920452 -4016776.915099 -1637980.509135,4018930.468606 -11042.501213 5720367.597982,-1948770.040603 603400.558860 6684870.583029,-6448356.922611 762690.117958 2604138.689932,-6086405.444086 346669.585546 -3444705.405798,-1146568.070550 -330009.132073 -6901205.490675,4652942.392704 -758950.549495 -5178529.124686,6957772.588354 -617664.435151 436797.059927,1761630.341826 1270674.290152 6643226.750293,-3682842.932007 -1292100.539598 5799970.236048,-6351646.316779 -2881586.573903 577677.909425,-4233329.085197 -2299460.559679 -5082705.631966,1064724.791303 10056.888022 -6922172.739304,5564384.212799 2312319.837386 -3566843.307909,5879138.099867 2875620.114963 2472580.693124,-317468.576591 311492.045662 6974494.169541,-3363684.018581 -4271749.840723 4398200.108115,-3873817.546463 -5634938.832156 -1500346.599243,-1466729.435969 -2754738.680402 -6269632.291570,2040574.964663 2192407.252434 -6330702.775450,4016776.915099 5494927.920452 -1637980.509135,2968369.212311 4659752.890980 4287701.807450
-617074.931062 -6939752.958606 662083.249331,5827.102530 -3832587.601771 5846585.440682,623828.850880 2162892.331049 6616937.279146,771278.471098 6528899.303808 2393167.466543,336964.528655 5972711.069085 -3639417.559646,-350659.002186 924796.506493 -6933399.862829,-775070.367034 -4816492.876223 -5024222.103517,2839864.196538 -5803626.727811 2682551.634795,1180376.662068 -1565519.957536 6708540.018564,-1368891.070799 3851772.203238 5671485.844104,-2886952.542829 6365979.288360 352191.885992,-2229487.447529 4082584.552945 -5235002.345242,102583.976025 -1266883.205719 -6887278.769647,2358025.184389 -5666355.455059 -3370754.358855,4543744.791016 -2887093.518764 4463625.627651,127589.147459 447983.179574 6973123.574226,-4385016.637933 3445122.983854 4220565.800293,-5592095.160776 3844733.416945 -1720229.434938,-2588523.638680 1349368.283017 -6366103.258263,2357095.164161 -2158053.527184 -6231768.184687,5534350.289221 -4046076.085745 -1417480.214575,3832587.601771 5827.102530 5846585.440682,-2162892.331049 623828.850880 6616937.279146,-6528899.303808 771278.471098 2393167.466543,-5972711.069085 336964.528655 -3639417.559646,-924796.506493 -350659.002186 -6933399.862829,4816492.876223 -775070.367034 -5024222.103517,6939752.958606 -617074.931062 662083.249331,1565519.957536 1180376.662068 6708540.018564,-3851772.203238 -1368891.070799 5671485.844104,-6365979.288360 -2886952.542829 352191.885992,-4082584.552945 -2229487.447529 -5235002.345242,1266883.205719 102583.976025 -6887278.769647,5666355.455059 2358025.184389 -3370754.358855,5803626.727811 2839864.196538 2682551.634795,-447983.179574 127589.147459 6973123.574226,-3445122.983854 -4385016.637933 4220565.800293,-3844733.416945 -5592095.160776 -1720229.434938,-1349368.283017 -2588523.638680 -6366103.258263,2158053.527184 2357095.164161 -6231768.184687,4046076.085745 5534350.289221 -1417480.214575,2887093.518764 4543744.791016 4463625.627651
-615747.151452 -6914499.147821 886673.828625,23514.491523 -3642328.264396 5966668.864548,644539.545642 2374673.346442 6542066.215689,779399.620964 6602593.839256 2179681.350945,326398.286653 5852852.437798 -3830318.905827,-371918.517178 702160.449916 -6958372.935712,-791090.591284 -4974976.143931 -4864664.508558,2801489.636895 -5721898.724152 2889703.661507,1089712.996700 -1367384.361776 6766820.140890,-1443524.475534 4017020.107173 5537049.902357,-2889259.414624 6373689.861933 126335.875887,-2157871.594084 3927296.199489 -5381830.034784,194122.469957 -1468134.299338 -6845210.882631,2400844.860565 -5762628.264837 -3171134.753516,4423362.676759 -2802290.608639 4634861.660713,-55874.729777 578835.329551 6964444.499563,-4493361.509750 3523454.428832 4038498.433857,-5543563.222923 3811444.748767 -1938307.409962,-2420147.446626 1229878.487102 -6455936.553248,2518832.037349 -2274011.914186 -6126334.379704,5567887.361347 -4071319.474288 -1195492.341512,3642328.264396 23514.491523 5966668.864548,-2374673.346442 644539.545642 6542066.215689,-6602593.839256 779399.620964 2179681.350945,-5852852.437798 326398.286653 -3830318.905827,-702160.449916 -371918.517178 -6958372.935712,4974976.143931 -791090.591284 -4864664.508558,6914499.147821 -615747.151452 886673.828625,1367384.361776 1089712.996700 6766820.140890,-4017020.107173 -1443524.475534 5537049.902357,-6373689.861933 -2889259.414624 126335.875887,-3927296.199489 -2157871.594084 -5381830.034784,1468134.299338 194122.469957 -6845210.882631,5762628.264837 2400844.860565 -3171134.753516,5721898.724152 2801489.636895 2889703.661507,-578835.329551 -55874.729777 6964444.499563,-3523454.428832 -4493361.509750 4038498.433857,-3811444.748767 -5543563.222923 -1938307.409962,-1229878.487102 -2420147.446626 -6455936.553248,2274011.914186 2518832.037349 -6126334.379704,4071319.474288 5567887.361347 -1195492.341512,2802290.608639 4423362.676759 4634861.660713
-613650.811028 -6882040.327172 1110332.773900,42017.960026 -3448354.598098 6080492.513176,665500.293272 2583891.303235 6460335.379249,787014.923889 6669365.713198 1963904.666779,314955.205307 5726959.439201 -4017210.531017,-393768.993142 478892.751871 -6976099.058619,-806971.837942 -5128227.023843 -4700021.833758,2760563.635170 -5634028.216403 3093819.187565,998786.143980 -1167428.471036 6818006.446249,-1515939.372258 4178404.469986 5396802.874667,-2888534.118820 6374757.266176 -99652.841507,-2084707.374363 3767619.058579 -5523036.649295,284582.143101 -1668265.323075 -6796012.306681,2440758.966603 -5853088.435888 -2968192.801289,4298747.790902 -2714030.319004 4801230.525660,-238707.525849 709886.532198 6948465.972946,-4596684.935108 3598574.590605 3852188.893895,-5489413.053093 3773962.196398 -2154352.098822,-2249793.877214 1108374.874507 -6539039.639915,2677456.876500 -2388316.339478 -6014510.095963,5595521.115908 -4092454.253419 -972249.648093,3448354.598098 42017.960026 6080492.513176,-2583891.303235 665500.293272 6460335.379249,-6669365.713198 787014.923889 1963904.666779,-5726959.439201 314955.205307 -4017210.531017,-478892.751871 -393768.993142 -6976099.058619,5128227.023843 -806971.837942 -4700021.833758,6882040.327172 -613650.811028 1110332.773900,1167428.471036 998786.143980 6818006.446249,-4178404.469986 -1515939.372258 5396802.874667,-6374757.266176 -2888534.118820 -99652.841507,-3767619.058579 -2084707.374363 -5523036.649295,1668265.323075 284582.143101 -6796012.306681,5853088.435888 2440758.966603 -2968192.801289,5634028.216403 2760563.635170 3093819.187565,-709886.532198 -238707.525849 6948465.972946,-3598574.590605 -4596684.935108 3852188.893895,-3773962.196398 -5489413.053093 -2154352.098822,-1108374.874507 -2249793.877214 -6539039.639915,2388316.339478 2677456.876500 -6014510.095963,4092454.253419 5595521.115908 -972249.648093,2714030.319004 4298747.790902 4801230.525660
-610756.639295 -6842413.393640 1332825.022627,61334.030172 -3250872.551999 6187937.607643,686677.531875 2790327.176551 6371829.924868,794086.018828 6729147.563101 1746064.169816,302621.171188 5595168.248315 -4199897.826665,-416190.104081 255226.804120 -6986560.026602,-822674.189266 -5276085.849266 -4530464.961976,2717155.684939 -5540096.110220 3294683.860442,907698.294290 -965859.521301 6862045.659079,-1586077.428647 4335746.856374 5250891.352615,-2884806.800335 6369167.883780 -325536.892237,-2010089.998060 3603713.051875 -5658476.053042,373874.782201 -1867064.238829 -6739733.610299,2477751.054105 -5937627.733756 -2762140.406848,4170045.440864 -2622386.751024 4962558.003947,-420718.435478 840997.239434 6925204.614948,-4694893.055483 3670382.679190 3661832.576569,-5429720.474476 3732301.169689 -2368137.313546,-2077648.144632 984975.130314 -6615326.953036,2832812.383677 -2500833.986283 -5896410.722129,5617239.917028 -4109431.895644 -747986.297045,3250872.551999 61334.030172 6187937.607643,-2790327.176551 686677.531875 6371829.924868,-6729147.563101 794086.018828 1746064.169816,-5595168.248315 302621.171188 -4199897.826665,-255226.804120 -416190.104081 -6986560.026602,5276085.849266 -822674.189266 -4530464.961976,6842413.393640 -610756.639295 1332825.022627,965859.521301 907698.294290 6862045.659079,-4335746.856374 -1586077.428647 5250891.352615,-6369167.883780 -2884806.800335 -325536.892237,-3603713.051875 -2010089.998060 -5658476.053042,1867064.238829 373874.782201 -6739733.610299,5937627.733756 2477751.054105 -2762140.406848,5540096.110220 2717155.684939 3294683.860442,-840997.239434 -420718.435478 6925204.614948,-3670382.679190 -4694893.055483 3661832.576569,-3732301.169689 -5429720.474476 -2368137.313546,-984975.130314 -2077648.144632 -6615326.953036,2500833.986283 2832812.383677 -5896410.722129,4109431.895644 5617239.917028 -747986.297045,2622386.751024 4170045.440864 4962558.003947
-607036.363394 -6795662.933867 1553916.728650,81457.483960 -3050091.658776 6288892.064485,708036.508967 2993764.939298 6276642.092942,800574.823776 6781879.562122 1526388.803322,289383.582698 5457621.171951 -4378190.687672,-439159.910335 31396.296428 -6989745.096961,-838157.203692 -5418398.643572 -4356169.995054,2671337.537496 -5440189.975881 3492086.789694,816550.881889 -762886.839356 6898891.950656,-1653883.453114 4488872.756912 5099467.907214,-2878110.830235 6356915.243045 -551079.065077,-1934115.435762 3435742.797033 -5788008.167687,461914.287214 -2064319.938888 -6676432.655898,2511808.187647 -6016144.005668 -2553192.849194,4037404.857095 -2527438.153380 5118675.219408,-601718.112284 972026.998330 6894684.623403,-4787897.806320 3738780.960344 3467629.183764,-5364567.036657 3686481.771958 -2579439.344095,-1903896.719743 859799.655311 -6684719.978133,2984745.142148 -2611433.132862 -5772158.190916,5633038.560546 -4122208.190982 -522937.603722,3050091.658776 81457.483960 6288892.064485,-2993764.939298 708036.508967 6276642.092942,-6781879.562122 800574.823776 1526388.803322,-5457621.171951 289383.582698 -4378190.687672,-31396.296428 -439159.910335 -6989745.096961,5418398.643572 -838157.203692 -4356169.995054,6795662.933867 -607036.363394 1553916.728650,762886.839356 816550.881889 6898891.950656,-4488872.756912 -1653883.453114 5099467.907214,-6356915.243045 -2878110.830235 -551079.065077,-3435742.797033 -1934115.435762 -5788008.167687,2064319.938888 461914.287214 -6676432.655898,6016144.005668 2511808.187647 -2553192.849194,5440189.975881 2671337.537496 3492086.789694,-972026.998330 -601718.112284 6894684.623403,-3738780.960344 -4787897.806320 3467629.183764,-3686481.771958 -5364567.036657 -2579439.344095,-859799.655311 -1903896.719743 -6684719.978133,2611433.132862 2984745.142148 -5772158.190916,4122208.190982 5633038.560546 -522937.603722,2527438.153380 4037404.857095 5118675.219408
-602462.791336 -6741841.169830 1773375.515701,102381.342305 -2846224.807761 6383250.606590,729541.337558 3193991.789400 6174871.118908,806443.628133 6827509.481376 1305109.450670,275231.406099 5314466.483413 -4551903.705466,-462654.876759 -192365.020984 -6985650.998973,-853379.997947 -5555017.288070 -4177318.077718,2623183.078117 -5334403.968596 3685820.771522,725444.467867 -558721.628875 6928506.983213,-1719305.425424 4637611.792343 4942690.933920,-2868482.719283 6338000.043295 -776042.568402,-1856880.286067 3263877.443749 -5911499.107498,548616.749009 -2259822.467058 -6606174.546845,2542920.919145 -6088541.318743 -2341568.556201,3900979.005780 -2429266.867091 5269418.811944,-781518.863811 1102834.600596 6856937.750203,-4875616.991045 3803674.900212 3269782.512448,-5294039.890743 3636528.814328 -2788037.195313,-1728727.125992 732971.457210 -6747147.324021,3133105.764154 -2719983.313329 -5641880.863160,5642918.253596 -4130743.341019 -297339.782393,2846224.807761 102381.342305 6383250.606590,-3193991.789400 729541.337558 6174871.118908,-6827509.481376 806443.628133 1305109.450670,-5314466.483413 275231.406099 -4551903.705466,192365.020984 -462654.876759 -6985650.998973,5555017.288070 -853379.997947 -4177318.077718,6741841.169830 -602462.791336 1773375.515701,558721.628875 725444.467867 6928506.983213,-4637611.792343 -1719305.425424 4942690.933920,-6338000.043295 -2868482.719283 -776042.568402,-3263877.443749 -1856880.286067 -5911499.107498,2259822.467058 548616.749009 -6606174.546845,6088541.318743 2542920.919145 -2341568.556201,5334403.968596 2623183.078117 3685820.771522,-1102834.600596 -781518.863811 6856937.750203,-3803674.900212 -4875616.991045 3269782.512448,-3636528.814328 -5294039.890743 -2788037.195313,-732971.457210 -1728727.125992 -6747147.324021,2719983.313329 3133105.764154 -5641880.863160,4130743.341019 5642918.253596 -297339.782393,2429266.867091 3900979.005780 5269418.811944
-597009.873763 -6681007.897270 1990970.729103,124096.857966 -2639488.015205 6470914.866958,751155.048305 3390798.375928 6066623.135749,811655.166050 6865992.745469 1082458.685501,260155.211946 5165858.252304 -4720856.355301,-486649.896280 -415823.575873 -6974281.936847,-868301.316591 -5685799.686341 -3994095.215450,2572768.217168 -5222838.733041 3875682.508709,634478.629671 -353576.750986 6950859.946775,-1782294.534399 4781797.910290 4780724.491013,-2855962.046215 6312430.163431 -1000191.286294,-1778481.655053 3088290.499038 -6028821.307888,633900.527759 -2453363.239329 -6529031.567692,2571083.274266 -6154730.084772 -2127488.874914,3760924.406666 -2327959.252382 5414631.104826,-959934.845642 1233278.234264 6812003.270834,-4957974.358209 3864973.294313 3068500.238968,-5218231.669561 3582471.808322 -2993712.820123,-1552327.739315 604616.031276 -6802544.788537,3277749.040854 -2826355.471660 -5505713.405159,5646886.598213 -4135002.031926 -71429.691100,2639488.015205 124096.857966 6470914.866958,-3390798.375928 751155.048305 6066623.135749,-6865992.745469 811655.166050 1082458.685501,-5165858.252304 260155.211946 -4720856.355301,415823.575873 -486649.896280 -6974281.936847,5685799.686341 -868301.316591 -3994095.215450,6681007.897270 -597009.873763 1990970.729103,353576.750986 634478.629671 6950859.946775,-4781797.910290 -1782294.534399 4780724.491013,-6312430.163431 -2855962.046215 -1000191.286294,-3088290.499038 -1778481.655053 -6028821.307888,2453363.239329 633900.527759 -6529031.567692,6154730.084772 2571083.274266 -2127488.874914,5222838.733041 2572768.217168 3875682.508709,-1233278.234264 -959934.845642 6812003.270834,-3864973.294313 -4957974.358209 3068500.238968,-3582471.808322 -5218231.669561 -2993712.820123,-604616.031276 -1552327.739315 -6802544.788537,2826355.471660 3277749.040854 -5505713.405159,4135002.031926 5646886.598213 -71429.691100,2327959.252382 3760924.406666 5414631.104826
