-643137.496851 -7270740.154446 -14913.447062,-199271.221686 -5597892.000208 4670465.145377,337660.102299 -1302759.756526 7163544.278507,716170.266217 3602069.602702 6297808.336694,759023.452710 6820518.253447 2477811.478811,446074.325721 6843328.569200 -2505887.720896,-75433.081585 3665494.032415 -6316435.754380,-561524.192813 -1220775.477872 -7178899.939210,-785872.156030 -5538685.731829 -4694114.970073,3091933.594205 -6396507.793655 1665744.327945,2172456.691198 -3798678.381718 5832008.896957,235378.129129 577810.540791 7261931.202125,-1812218.066593 4683739.226376 5287105.482019,-3011331.321725 6595870.608397 831057.339351,-2799954.806612 5418312.550672 -4015745.760962,-1280415.592319 1709590.931386 -6984225.190143,835687.856262 -2795176.651033 -6695454.870922,2562720.225968 -5997633.364326 -3283044.018602,5459517.811272 -3579164.960745 3256230.634335,2609241.937103 -1316708.406339 6678213.894778,-1462627.724108 1561781.230144 6968094.596478,-4850176.369238 3708991.916464 3990434.989199,-5965569.806668 4118343.992512 -860682.459717,-4288253.553555 2599731.797447 -5309025.829714,-609954.256629 -131721.275975 -7276888.772989,3352476.979298 -2801602.154025 -5852224.529629,5751707.313618 -4164838.093088 -1694775.114971,5597892.000208 -199271.221686 4670465.145377,1302759.756526 337660.102299 7163544.278507,-3602069.602702 716170.266217 6297808.336694,-6820518.253447 759023.452710 2477811.478811,-6843328.569200 446074.325721 -2505887.720896,-3665494.032415 -75433.081585 -6316435.754380,1220775.477872 -561524.192813 -7178899.939210,5538685.731829 -785872.156030 -4694114.970073,7270740.154446 -643137.496851 -14913.447062,3798678.381718 2172456.691198 5832008.896957,-577810.540791 235378.129129 7261931.202125,-4683739.226376 -1812218.066593 5287105.482019,-6595870.608397 -3011331.321725 831057.339351,-5418312.550672 -2799954.806612 -4015745.760962,-1709590.931386 -1280415.592319 -6984225.190143,2795176.651033 835687.856262 -6695454.870922,5997633.364326 2562720.225968 -3283044.018602,6396507.793655 3091933.594205 1665744.327945,1316708.406339 2609241.937103 6678213.894778,-1561781.230144 -1462627.724108 6968094.596478,-3708991.916464 -4850176.369238 3990434.989199,-4118343.992512 -5965569.806668 -860682.459717,-2599731.797447 -4288253.553555 -5309025.829714,131721.275975 -609954.256629 -7276888.772989,2801602.154025 3352476.979298 -5852224.529629,4164838.093088 5751707.313618 -1694775.114971,3579164.960745 5459517.811272 3256230.634335
-644902.024156 -7267439.745920 206362.674121,-187950.275795 -5453891.462613 4837898.967041,356751.556219 -1085617.940898 7198665.251769,734099.472683 3790726.467139 6184218.810142,767385.017814 6892277.520113 2268637.816208,440965.105602 6764605.931436 -2712463.740906,-91584.237387 3473554.229900 -6423815.804050,-581189.659317 -1436272.536407 -7137325.474140,-799883.721983 -5677371.308318 -4522801.092416,3067399.200845 -6348349.618513 1880358.519559,2096001.151160 -3636743.644988 5961503.455803,142846.793391 777604.520674 7245707.486377,-1877525.320958 4827896.457913 5132737.061309,-3018779.470557 6616771.779240 610852.505957,-2746127.621204 5306352.470947 -4198449.065619,-1190655.401102 1517471.945278 -7044245.117258,919540.660335 -2977929.925710 -6605037.434430,2601550.878971 -6085733.733752 -3084050.003929,5375045.294163 -3521995.622654 3452564.454844,2441884.627188 -1200002.094516 6762794.556267,-1634485.659763 1683368.241520 6901396.748010,-4946072.920314 3778529.339479 3803614.494458,-5940513.601128 4103216.353087 -1079999.398612,-4154259.483335 2507230.986088 -5458049.747669,-429837.135970 -258249.022412 -7286362.631100,3494864.519939 -2903255.056086 -5717771.530203,5789725.341811 -4194021.099188 -1478809.538225,5453891.462613 -187950.275795 4837898.967041,1085617.940898 356751.556219 7198665.251769,-3790726.467139 734099.472683 6184218.810142,-6892277.520113 767385.017814 2268637.816208,-6764605.931436 440965.105602 -2712463.740906,-3473554.229900 -91584.237387 -6423815.804050,1436272.536407 -581189.659317 -7137325.474140,5677371.308318 -799883.721983 -4522801.092416,7267439.745920 -644902.024156 206362.674121,3636743.644988 2096001.151160 5961503.455803,-777604.520674 142846.793391 7245707.486377,-4827896.457913 -1877525.320958 5132737.061309,-6616771.779240 -3018779.470557 610852.505957,-5306352.470947 -2746127.621204 -4198449.065619,-1517471.945278 -1190655.401102 -7044245.117258,2977929.925710 919540.660335 -6605037.434430,6085733.733752 2601550.878971 -3084050.003929,6348349.618513 3067399.200845 1880358.519559,1200002.094516 2441884.627188 6762794.556267,-1683368.241520 -1634485.659763 6901396.748010,-3778529.339479 -4946072.920314 3803614.494458,-4103216.353087 -5940513.601128 -1079999.398612,-2507230.986088 -4154259.483335 -5458049.747669,258249.022412 -429837.135970 -7286362.631100,2903255.056086 3494864.519939 -5717771.530203,4194021.099188 5789725.341811 -1478809.538225,3521995.622654 5375045.294163 3452564.454844
-646044.906430 -7257455.142825 427447.714974,-175815.778273 -5304931.963999 5000854.150444,376467.870153 -867565.384362 7227133.213794,752172.488129 3975825.065812 6064908.991503,775341.205114 6957665.467244 2057362.690124,435093.521194 6679703.447227 -2916532.970511,-108498.366224 3278516.208702 -6525287.024650,-601265.079678 -1650373.253140 -7089193.741802,-813758.454349 -5810799.475414 -4347315.616107,3040268.905146 -6294242.875103 2093230.939905,2018337.930897 -3471133.050632 6085482.851898,51057.927511 977088.602212 7222787.577390,-1940486.390331 4967899.770432 4973617.771835,-3023375.158106 6631618.488255 390081.978573,-2690286.951128 5189293.709565 -4377278.391444,-1100654.012903 1323576.050044 -7097792.244913,1001759.938539 -3158329.152436 -6508546.271456,2637622.870202 -6168418.694292 -2882206.804018,5285890.550050 -3461209.340876 3645700.543881,2272801.587706 -1081458.804564 6841122.617542,-1804313.945131 1804158.472690 6828318.914026,-5037126.341391 3845003.161533 3613271.442636,-5910077.078927 4084199.444554 -1298316.967998,-4016878.937767 2411844.586857 -5602045.781959,-249883.053156 -385329.100255 -7289144.054835,3633618.240214 -3002870.073322 -5578053.389811,5822308.629992 -4219508.317544 -1261475.915713,5304931.963999 -175815.778273 5000854.150444,867565.384362 376467.870153 7227133.213794,-3975825.065812 752172.488129 6064908.991503,-6957665.467244 775341.205114 2057362.690124,-6679703.447227 435093.521194 -2916532.970511,-3278516.208702 -108498.366224 -6525287.024650,1650373.253140 -601265.079678 -7089193.741802,5810799.475414 -813758.454349 -4347315.616107,7257455.142825 -646044.906430 427447.714974,3471133.050632 2018337.930897 6085482.851898,-977088.602212 51057.927511 7222787.577390,-4967899.770432 -1940486.390331 4973617.771835,-6631618.488255 -3023375.158106 390081.978573,-5189293.709565 -2690286.951128 -4377278.391444,-1323576.050044 -1100654.012903 -7097792.244913,3158329.152436 1001759.938539 -6508546.271456,6168418.694292 2637622.870202 -2882206.804018,6294242.875103 3040268.905146 2093230.939905,1081458.804564 2272801.587706 6841122.617542,-1804158.472690 -1804313.945131 6828318.914026,-3845003.161533 -5037126.341391 3613271.442636,-4084199.444554 -5910077.078927 -1298316.967998,-2411844.586857 -4016878.937767 -5602045.781959,385329.100255 -249883.053156 -7289144.054835,3002870.073322 3633618.240214 -5578053.389811,4219508.317544 5822308.629992 -1261475.915713,3461209.340876 5285890.550050 3645700.543881
-646535.825185 -7240797.768067 648136.931631,-162857.501089 -5151154.328279 5159180.215967,396794.512483 -648804.789909 7248922.031875,770356.721067 4157194.619906 5939988.754941,782856.700019 7016623.864279 1844181.815182,428438.176185 6588703.550470 -3117907.333156,-126173.203696 3080561.823263 -6620757.068745,-621725.564942 -1862880.573070 -7034548.415635,-827460.219000 -5938847.617341 -4167819.524290,3010593.557706 -6234225.988996 2304164.383836,1939554.253498 -3301993.825669 6203832.880852,-39906.055843 1176076.395246 7193192.513461,-2001061.773304 5103609.833168 4809894.512386,-3025140.909868 6640385.104820 168950.232978,-2632506.556977 5067235.843818 -4552069.608521,-1010500.975739 1128079.296573 -7144817.975940,1082281.197177 -3336201.970052 -6406069.164584,2670926.539721 -6245599.231211 -2677700.366699,5192151.496569 -3396841.861890 3835460.176354,2102155.903939 -961180.170320 6913126.082927,-1971960.428828 1924031.796083 6748928.251581,-5123266.296431 3908330.763982 3419581.940842,-5874305.983294 4061287.818083 -1515433.317847,-3876250.735503 2313645.744093 -5740882.361099,-70258.185100 -512844.610240 -7285230.522564,3768619.816157 -3100339.454762 -5433197.711301,5849442.750636 -4241251.967405 -1042975.131123,5151154.328279 -162857.501089 5159180.215967,648804.789909 396794.512483 7248922.031875,-4157194.619906 770356.721067 5939988.754941,-7016623.864279 782856.700019 1844181.815182,-6588703.550470 428438.176185 -3117907.333156,-3080561.823263 -126173.203696 -6620757.068745,1862880.573070 -621725.564942 -7034548.415635,5938847.617341 -827460.219000 -4167819.524290,7240797.768067 -646535.825185 648136.931631,3301993.825669 1939554.253498 6203832.880852,-1176076.395246 -39906.055843 7193192.513461,-5103609.833168 -2001061.773304 4809894.512386,-6640385.104820 -3025140.909867 168950.232978,-5067235.843818 -2632506.556977 -4552069.608521,-1128079.296573 -1010500.975739 -7144817.975940,3336201.970052 1082281.197177 -6406069.164584,6245599.231211 2670926.539721 -2677700.366699,6234225.988996 3010593.557706 2304164.383836,961180.170320 2102155.903939 6913126.082927,-1924031.796083 -1971960.428828 6748928.251581,-3908330.763982 -5123266.296431 3419581.940842,-4061287.818083 -5874305.983294 -1515433.317847,-2313645.744093 -3876250.735503 -5740882.361099,512844.610240 -70258.185100 -7285230.522564,3100339.454762 3768619.816157 -5433197.711301,4241251.967405 5849442.750636 -1042975.131123,3396841.861890 5192151.496569 3835460.176354
-646345.151846 -7217485.369283 868225.919379,-149066.612261 -4992703.835635 5312731.005011,417715.501178 -429539.429934 7264011.706197,788618.747634 4334667.881927 5809573.177703,789896.378974 7069100.598186 1629292.684081,420978.785188 6491694.355024 -3316401.328843,-144604.985555 2879875.494620 -6710139.089110,-642545.013081 -2073598.952211 -6973439.091679,-840952.527936 -6061398.152290 -3984477.574970,2978426.173636 -6168343.104598 2512963.455845,1859737.694237 -3129476.793241 6316444.558146,-129964.307866 1374381.593414 7156949.462377,-2059214.740926 5234891.089446 4641718.479863,-3024101.957703 6643051.757103 -52337.948908,-2572861.493082 4940283.316427 -4722662.386411,-920285.173388 931159.543929 -7185279.642124,1161042.200075 -3511377.972960 -6297699.383901,2701455.125556 -6317191.349520 -2470719.187118,5093930.111092 -3328932.689613 4021667.791952,1930111.612971 -839270.120360 6978738.785176,-2137275.452565 2042868.249641 6663297.735982,-5204427.329517 3968432.154095 3222725.232938,-5833250.993506 4034479.853662 -1731147.777222,-3732516.262737 2212710.751363 -5874432.699361,108872.105769 -640677.526819 -7274625.582292,3899754.747225 -3195556.864861 -5283336.864359,5871118.503563 -4259207.696164 -823509.215045,4992703.835635 -149066.612261 5312731.005011,429539.429934 417715.501178 7264011.706197,-4334667.881927 788618.747634 5809573.177703,-7069100.598186 789896.378974 1629292.684081,-6491694.355024 420978.785188 -3316401.328843,-2879875.494620 -144604.985555 -6710139.089110,2073598.952211 -642545.013081 -6973439.091679,6061398.152290 -840952.527936 -3984477.574970,7217485.369283 -646345.151846 868225.919379,3129476.793241 1859737.694237 6316444.558146,-1374381.593414 -129964.307866 7156949.462377,-5234891.089446 -2059214.740926 4641718.479863,-6643051.757103 -3024101.957703 -52337.948908,-4940283.316427 -2572861.493082 -4722662.386411,-931159.543929 -920285.173388 -7185279.642124,3511377.972960 1161042.200075 -6297699.383901,6317191.349520 2701455.125556 -2470719.187118,6168343.104598 2978426.173636 2512963.455845,839270.120360 1930111.612971 6978738.785176,-2042868.249641 -2137275.452565 6663297.735982,-3968432.154095 -5204427.329517 3222725.232938,-4034479.853662 -5833250.993506 -1731147.777222,-2212710.751363 -3732516.262737 -5874432.699361,640677.526819 108872.105769 -7274625.582292,3195556.864861 3899754.747225 -5283336.864359,4259207.696164 5871118.503563 -823509.215045,3328932.689613 5093930.111092 4021667.791952
-645443.917348 -7187542.008079 1087510.807686,-134435.643269 -4829730.080327 5461364.812862,439213.421784 -209972.952287 7272388.386884,806924.307638 4508081.304340 5673782.437965,796425.285507 7115049.732266 1412894.379880,412696.139211 6388769.566529 -3511832.205252,-163788.474852 2676644.035848 -6793351.811018,-663696.115391 -2282334.543323 -6905921.248137,-854198.524295 -6178338.658365 -3797458.153102,2943821.930745 -6096644.015945 2719434.755479,1778976.121550 -2953736.211721 6423214.215475,-219037.631185 1571818.147625 7114091.698232,-2114911.417055 5361611.873607 4469245.031257,-3020286.269250 6639604.324913 -273577.674341,-2511428.073892 4808545.308878 -4888900.337319,-830094.750910 732996.288257 -7219140.538902,1237983.057012 -3683688.862087 -6183535.608993,2729204.825354 -6383116.138664 -2261454.133119,4991332.356081 -3257525.003244 4204151.158864,1756833.554936 -715834.764045 7037900.442608,-2300112.010367 2160548.132759 6571506.097584,-5280548.964083 4025230.001709 3022883.531833,-5786967.704848 4003777.710750 -1945261.043706,-3585819.354570 2109118.946385 -6002574.905920,287343.428220 -768708.804727 -7257338.848790,4026912.494996 -3288417.454004 -5128607.870918,5887331.963759 -4273334.576615 -603281.153785,4829730.080327 -134435.643269 5461364.812862,209972.952287 439213.421784 7272388.386884,-4508081.304340 806924.307638 5673782.437965,-7115049.732266 796425.285507 1412894.379880,-6388769.566529 412696.139211 -3511832.205252,-2676644.035848 -163788.474852 -6793351.811018,2282334.543323 -663696.115391 -6905921.248137,6178338.658365 -854198.524295 -3797458.153102,7187542.008079 -645443.917348 1087510.807686,2953736.211721 1778976.121550 6423214.215475,-1571818.147625 -219037.631185 7114091.698232,-5361611.873607 -2114911.417055 4469245.031257,-6639604.324913 -3020286.269250 -273577.674341,-4808545.308878 -2511428.073892 -4888900.337319,-732996.288257 -830094.750910 -7219140.538902,3683688.862087 1237983.057012 -6183535.608993,6383116.138664 2729204.825354 -2261454.133119,6096644.015945 2943821.930745 2719434.755479,715834.764045 1756833.554936 7037900.442608,-2160548.132759 -2300112.010367 6571506.097584,-4025230.001709 -5280548.964083 3022883.531833,-4003777.710750 -5786967.704848 -1945261.043706,-2109118.946385 -3585819.354570 -6002574.905920,768708.804727 287343.428220 -7257338.848790,3288417.454004 4026912.494996 -5128607.870918,4273334.576615 5887331.963759 -603281.153785,3257525.003244 4991332.356081 4204151.158864
-643803.993965 -7150998.023622 1305788.454724,-118958.603619 -4662386.820122 5604944.517038,461269.432263 9690.801803 7274044.385800,825238.427734 4677275.182001 5532741.707760,802408.813975 7154431.535355 1195187.386531,403572.262154 6280028.376371 -3704020.125682,-183716.903842 2471056.479959 -6870319.599644,-685150.423390 -2488895.361745 -6832056.200027,-867161.145400 -6289561.970207 -3606933.118731,2906837.983172 -6019184.179767 2923387.060560,1697357.544252 -2774929.666427 6524043.592081,-307048.527129 1768200.442540 7064658.572996,-2168120.702845 5483644.584591 4292633.541328,-3013724.378741 6630034.515663 -494564.135062,-2448283.692688 4672135.686872 -5050631.155086,-740017.011857 533770.518363 -7246369.955152,1313046.208199 -3852968.627992 -6063681.846083,2754174.669520 -6443299.911604 -2050098.267813,4884468.001920 -3182665.722459 4382741.533912,1582487.198057 -590982.334038 7090556.711040,-2460325.846423 2276952.163814 6473637.753403,-5351575.680763 4078649.825971 2820241.848544,-5735516.484471 3969187.447322 -2157575.371110,-3436306.108501 2002952.714605 -6125192.089286,464992.500301 -896818.488222 -7233385.995836,4149986.525189 -3378818.041782 -4969152.285972,5898084.398361 -4283595.273534 -382494.696925,4662386.820122 -118958.603619 5604944.517038,-9690.801803 461269.432263 7274044.385800,-4677275.182001 825238.427734 5532741.707760,-7154431.535355 802408.813975 1195187.386531,-6280028.376371 403572.262154 -3704020.125682,-2471056.479959 -183716.903842 -6870319.599644,2488895.361745 -685150.423390 -6832056.200027,6289561.970207 -867161.145400 -3606933.118731,7150998.023622 -643803.993965 1305788.454724,2774929.666427 1697357.544252 6524043.592081,-1768200.442540 -307048.527129 7064658.572996,-5483644.584591 -2168120.702845 4292633.541328,-6630034.515663 -3013724.378741 -494564.135062,-4672135.686872 -2448283.692688 -5050631.155086,-533770.518363 -740017.011857 -7246369.955152,3852968.627992 1313046.208199 -6063681.846083,6443299.911604 2754174.669520 -2050098.267813,6019184.179767 2906837.983172 2923387.060560,590982.334038 1582487.198057 7090556.711040,-2276952.163814 -2460325.846423 6473637.753403,-4078649.825971 -5351575.680763 2820241.848544,-3969187.447322 -5735516.484471 -2157575.371110,-2002952.714605 -3436306.108501 -6125192.089286,896818.488222 464992.500301 -7233385.995836,3378818.041782 4149986.525189 -4969152.285972,4283595.273534 5898084.398361 -382494.696925,3182665.722459 4884468.001920 4382741.533912
-641398.063659 -7107890.008663 1522856.641166,-102630.943889 -4490831.826734 5743337.701026,483863.286451 229247.991729 7268978.183090,843525.421720 4842093.814102 5386581.041055,807812.686294 7187212.527653 976373.397904,393590.373219 6165575.363001 -3892788.333667,-204382.006170 2263303.902438 -6940972.522554,-706878.360342 -2693091.468382 -6751911.048919,-879803.110564 -6394966.295230 -3413077.651329,2867533.455683 -5936024.634558 3124631.508007,1614970.054476 -2593217.902201 6618839.921028,-393921.277650 1963343.470959 7008695.482848,-2218814.349648 5600865.796495 4112047.256090,-3004449.410344 6614339.845329 -715092.802368,-2383506.787390 4531172.864799 -5207706.749913,-650138.347936 333664.541214 -7266943.198074,1386176.506276 -4019053.699960 -5938247.340315,2776366.575642 -6497674.260006 -1836846.669534,4773450.545388 -3104405.417187 4557273.818960,1407238.490635 -464823.066626 7136659.230495,-2617775.608154 2391961.578263 6369782.733581,-5417457.005656 4128620.028010 2614987.818204,-5678962.441557 3930718.962605 -2367894.755227,-3284124.763494 1894297.377480 -6242172.457000,641657.302600 -1024885.821815 -7202788.743550,4268874.438176 -3466657.187217 -4805116.073849,5903382.303052 -4289956.034489 -161354.163844,4490831.826734 -102630.943889 5743337.701026,-229247.991729 483863.286451 7268978.183090,-4842093.814102 843525.421720 5386581.041055,-7187212.527653 807812.686294 976373.397904,-6165575.363001 393590.373219 -3892788.333667,-2263303.902438 -204382.006170 -6940972.522554,2693091.468382 -706878.360342 -6751911.048919,6394966.295230 -879803.110564 -3413077.651329,7107890.008663 -641398.063659 1522856.641166,2593217.902201 1614970.054476 6618839.921028,-1963343.470959 -393921.277650 7008695.482848,-5600865.796495 -2218814.349648 4112047.256090,-6614339.845329 -3004449.410344 -715092.802368,-4531172.864799 -2383506.787390 -5207706.749913,-333664.541214 -650138.347936 -7266943.198074,4019053.699960 1386176.506276 -5938247.340315,6497674.260006 2776366.575642 -1836846.669534,5936024.634558 2867533.455683 3124631.508007,464823.066626 1407238.490635 7136659.230495,-2391961.578263 -2617775.608154 6369782.733581,-4128620.028010 -5417457.005656 2614987.818204,-3930718.962605 -5678962.441557 -2367894.755227,-1894297.377480 -3284124.763494 -6242172.457000,1024885.821815 641657.302600 -7202788.743550,3466657.187217 4268874.438176 -4805116.073849,4289956.034489 5903382.303052 -161354.163844,3104405.417187 4773450.545388 4557273.818960
-638199.691650 -7058260.769539 1738514.263019,-85449.591902 -4315226.730468 5876416.773339,506973.350735 448494.965513 7257194.428475,861748.953703 5002385.651239 5235435.257033,812603.031551 7213365.508518 756655.125506,382734.944114 6045520.381956 -4077963.314104,-225774.006523 2053579.244398 -7005246.407305,-728849.262554 -2894735.142041 -6665558.627767,-892086.997048 -6494455.312677 -3216070.090426,2825969.344975 -5847231.957942 3322981.772059,1531901.723424 -2408764.681323 6707516.010391,-479582.007147 2157063.009036 6946253.829265,-2266966.953510 5713156.394959 3927653.142242,-2992497.001417 6592523.657701 -934959.621723,-2317176.732116 4385779.704496 -5359983.378734,-560544.154325 132861.820686 -7280841.613173,1457321.246236 -4181783.109760 -5807346.483221,2795785.307953 -6546176.143560 -1621896.249339,4658397.075245 -3022798.289376 4727586.713444,1231253.699536 -337469.110040 7176165.666688,-2772322.967901 2505458.256496 6260036.602721,-5478147.535811 4175071.996395 2407311.523184,-5617375.333356 3888386.021806 -2576025.117457,-3129425.544282 1783241.134274 -6353409.410534,817177.222129 -1152789.361944 -7165574.840834,4383478.049879 -3551835.313775 -4636649.480015,5903237.370692 -4292386.762864 59935.750572,4315226.730468 -85449.591902 5876416.773339,-448494.965513 506973.350735 7257194.428475,-5002385.651239 861748.953703 5235435.257033,-7213365.508518 812603.031551 756655.125506,-6045520.381956 382734.944114 -4077963.314104,-2053579.244398 -225774.006523 -7005246.407305,2894735.142041 -728849.262554 -6665558.627767,6494455.312677 -892086.997048 -3216070.090426,7058260.769539 -638199.691650 1738514.263019,2408764.681323 1531901.723424 6707516.010391,-2157063.009036 -479582.007147 6946253.829265,-5713156.394959 -2266966.953510 3927653.142242,-6592523.657701 -2992497.001417 -934959.621723,-4385779.704496 -2317176.732116 -5359983.378734,-132861.820686 -560544.154325 -7280841.613173,4181783.109760 1457321.246236 -5807346.483221,6546176.143560 2795785.307953 -1621896.249339,5847231.957942 2825969.344975 3322981.772059,337469.110040 1231253.699536 7176165.666688,-2505458.256496 -2772322.967901 6260036.602721,-4175071.996395 -5478147.535811 2407311.523184,-3888386.021806 -5617375.333356 -2576025.117457,-1783241.134274 -3129425.544282 -6353409.410534,1152789.361944 817177.222129 -7165574.840834,3551835.313775 4383478.049879 -4636649.480015,4292386.762864 5903237.370692 59935.750572,3022798.289376 4658397.075245 4727586.713444
-634183.378025 -7002159.281587 1952561.523274,-67412.971987 -4135736.862074 6004059.081812,530576.624763 667228.448722 7238703.937297,879872.090597 5158003.441019 5079443.818651,816746.445062 7232869.579946 536236.105134,370991.735579 5919978.452254 -4259374.950759,-247881.621304 1842077.134215 -7063082.894116,-751031.417150 -3093641.051936 -6573077.440824,-903975.299529 -6587938.269876 -3016091.772699,2782208.437397 -5752878.209630 3518254.239717,1448240.507554 -2221736.633033 6789990.319321,-563958.745313 2349175.791261 6877390.974888,-2312555.961175 5820401.703918 3739621.732645,-2977905.242396 6564595.128806 -1153961.206660,-2249373.743247 4236083.402380 -5507321.771148,-471318.749981 -68453.187838 -7288052.599332,1526430.202266 -4340998.650704 -5671098.715375,2812438.451698 -6588747.966311 -1405445.566286,4539428.144553 -2937902.135901 4893522.862902,1054699.251882 -209034.424411 7209039.747282,-2923832.747174 2617324.846279 6144500.376110,-5533606.970677 4217940.195047 2197405.313526,-5550829.478459 3842206.259784 -2781774.486079,-2972360.511403 1669874.989726 -6458801.635387,991393.196092 -1280407.090273 -7121778.042900,4493703.477617 -3634254.822512 -4463906.898487,5897666.466726 -4290861.070252 281170.170802,4135736.862074 -67412.971987 6004059.081812,-667228.448722 530576.624763 7238703.937297,-5158003.441019 879872.090597 5079443.818651,-7232869.579946 816746.445062 536236.105134,-5919978.452254 370991.735579 -4259374.950759,-1842077.134215 -247881.621304 -7063082.894116,3093641.051936 -751031.417150 -6573077.440824,6587938.269876 -903975.299529 -3016091.772699,7002159.281587 -634183.378025 1952561.523274,2221736.633033 1448240.507554 6789990.319321,-2349175.791261 -563958.745313 6877390.974888,-5820401.703918 -2312555.961175 3739621.732645,-6564595.128806 -2977905.242396 -1153961.206660,-4236083.402380 -2249373.743247 -5507321.771148,68453.187838 -471318.749981 -7288052.599332,4340998.650704 1526430.202266 -5671098.715375,6588747.966311 2812438.451698 -1405445.566286,5752878.209630 2782208.437397 3518254.239717,209034.424411 1054699.251882 7209039.747282,-2617324.846279 -2923832.747174 6144500.376110,-4217940.195047 -5533606.970677 2197405.313526,-3842206.259784 -5550829.478459 -2781774.486079,-1669874.989726 -2972360.511403 -6458801.635387,1280407.090273 991393.196092 -7121778.042900,3634254.822512 4493703.477617 -4463906.898487,4290861.070252 5897666.466726 281170.170802,2937902.135901 4539428.144553 4893522.862902
