-0.121097 -95.055183,59.900058 78.755107,-60.019052 91.179640,39.989112 -62.038857,19.960339 113.650109,-79.460942 -84.703090,79.421930 -15.469562,-20.187454 146.270801,-40.173201 -38.076082,59.900058 168.755107,-60.019052 -178.820360,-0.121097 -5.055183,19.960339 -156.349891,-79.460942 5.296910,39.989112 27.961143,-20.187454 -123.729199,-40.173201 51.923918,79.421930 74.530438
3.523138 -95.077841,56.300571 79.317249,-63.596522 91.942465,43.612427 -61.880725,16.319061 113.651610,-76.023274 -79.860364,82.717409 -5.979279,-23.821104 146.284556,-36.555798 -37.958041,56.300571 169.317249,-63.596522 -178.057535,3.523138 -5.077841,16.319061 -156.348390,-76.023274 10.139636,43.612427 28.119275,-23.821104 -123.715444,-36.555798 52.041959,82.717409 84.020721
7.167451 -95.098692,52.694325 79.739542,-67.162375 92.995938,47.231594 -61.670415,12.676407 113.643946,-72.519540 -77.011094,85.497288 17.072175,-27.451713 146.313379,-32.934245 -37.872775,52.694325 169.739542,-67.162375 -177.004062,7.167451 -5.098692,12.676407 -156.356054,-72.519540 12.988906,47.231594 28.329585,-27.451713 -123.686621,-32.934245 52.127225,85.497288 107.072175
10.811418 -95.115843,49.082399 80.059282,-70.711778 94.500122,50.846125 -61.392806,9.032780 113.629460,-68.981722 -75.173905,86.312350 68.045803,-31.078954 146.361039,-29.308851 -37.813751,49.082399 170.059282,-70.711778 -175.499878,10.811418 -5.115843,9.032780 -156.370540,-68.981722 14.826095,50.846125 28.607194,-31.078954 -123.638961,-29.308851 52.186249,86.312350 158.045803
14.454621 -95.127275,45.465538 80.301834,-74.235377 96.755602,54.455387 -61.026781,5.388591 113.610260,-65.423484 -73.916059,84.254848 105.486989,-34.702511 146.432153,-25.679926 -37.775804,45.465538 170.301834,-74.235377 -173.244398,14.454621 -5.127275,5.388591 -156.389740,-65.423484 16.083941,54.455387 28.973219,-34.702511 -123.567847,-25.679926 52.224196,84.254848 -164.513011
18.096653 -95.130777,41.844291 80.485068,-77.712902 100.395165,58.058497 -60.541872,1.744263 113.588295,-61.851522 -73.019237,81.139673 120.029778,-38.322078 146.532497,-22.047790 -37.754764,41.844291 170.485068,-77.712902 -169.604835,18.096653 -5.130777,1.744263 -156.411705,-61.851522 16.980763,58.058497 29.458128,-38.322078 -123.467503,-22.047790 52.245236,81.139673 -149.970222
21.737117 -95.123854,38.219102 80.621969,-81.092428 106.979233,61.654131 -59.892387,-1.899781 113.565424,-58.269449 -72.361901,77.748032 126.698196,-41.937340 146.669459,-18.412780 -37.747191,38.219102 170.621969,-81.092428 -163.020767,21.737117 -5.123854,-1.899781 -156.434576,-58.269449 17.638099,61.654131 30.107613,-41.937340 -123.330541,-18.412780 52.252809,77.748032 -143.301804
25.375632 -95.103625,34.590354 80.722222,-84.202570 121.245545,65.240173 -59.006531,-5.543115 113.543476,-54.679361 -71.871158,74.256824 130.369861,-45.547960 146.852698,-14.775251 -37.750183,34.590354 170.722222,-84.202570 -148.754455,25.375632 -5.103625,-5.543115 -156.456524,-54.679361 18.128842,65.240173 30.993469,-45.547960 -123.147302,-14.775251 52.249817,74.256824 -139.630139
29.011830 -95.066674,30.958401 80.793231,-86.291925 157.870373,68.813020 -57.764765,-9.185320 113.524309,-51.082551 -71.500673,70.719207 132.639646,-49.153542 147.095154,-11.135577 -37.761231,30.958401 170.793231,-86.291925 -112.129627,29.011830 -5.066674,-9.185320 -156.475691,-51.082551 18.499327,68.813020 32.235235,-49.153542 -122.904846,-11.135577 52.238769,70.719207 -137.360354
32.645357 -95.008865,27.323590 80.840784,-85.555300 -150.923417,72.366050 -55.952752,-12.825984 113.509873,-47.479864 -71.219576,67.155852 134.150879,-52.753586 147.414626,-7.494147 -37.778115,27.323590 170.840784,-85.555300 -60.923417,32.645357 -5.008865,-12.825984 -156.490127,-47.479864 18.780424,72.366050 34.047248,-52.753586 -122.585374,-7.494147 52.221885,67.155852 -135.849121
36.275865 -94.925082,23.686271 80.869504,-82.814644 -127.318258,75.885841 -53.146658,-16.464710 113.502275,-43.871888 -71.006492,63.576289 135.208043,-56.347401 147.836359,-3.851366 -37.798808,23.686271 170.869504,-82.814644 -37.318258,36.275865 -4.925082,-16.464710 -156.497725,-43.871888 18.993508,75.885841 36.853342,-56.347401 -122.163641,-3.851366 52.201192,63.576289 -134.791957
39.903006 -94.808851,20.046805 80.883166,-79.541266 -117.624744,79.341153 -48.388306,-20.101114 113.503856,-40.259067 -70.846124,59.985458 135.972865,-59.933965 148.397432,-0.207650 -37.821413,20.046805 170.883166,-79.541266 -27.624744,39.903006 -4.808851,-20.101114 -156.496144,-40.259067 19.153876,79.341153 41.611694,-59.933965 -121.602568,-0.207650 52.178587,59.985458 -134.027135
43.526414 -94.651811,16.405565 80.884916,-76.105880 -112.713286,82.642588 -39.070363,-23.734832 113.517293,-36.641766 -70.727211,56.386148 136.538922,-63.511672 149.154666,3.436579 -37.844091,16.405565 170.884916,-76.105880 -22.713286,43.526414 -4.651811,-23.734832 -156.482707,-36.641766 19.272789,82.642588 50.929637,-63.511672 -120.845334,3.436579 52.155909,56.386148 -133.461078
