-0.121097 -95.055183,71.724889 -84.124373,35.990539 82.347443,-36.185226 87.576043,-71.797342 -106.018114,23.972333 -63.453144,83.037005 84.129195,11.930439 114.194819,-60.019052 121.179640,-48.132352 -69.051465,47.972066 -31.066285,59.900058 138.755107,-12.167161 145.725464,-83.058381 175.882403,-24.192933 -36.658643,71.724889 5.875627,35.990539 172.347443,-36.185226 177.576043,-71.797342 -16.018114,-0.121097 -5.055183,83.037005 174.129195,11.930439 -155.805181,-60.019052 -148.820360,-48.132352 20.948535,23.972333 26.546856,59.900058 -131.244893,-12.167161 -124.274536,-83.058381 -94.117597,-24.192933 53.341357,47.972066 58.933715
3.523138 -95.077841,75.252239 -81.546304,32.359781 82.428970,-39.803069 87.690378,-68.254549 -104.325028,27.609467 -63.423088,79.769155 94.414497,8.286663 114.179202,-63.596522 121.942465,-44.525297 -68.827349,51.585575 -30.772536,56.300571 139.317249,-15.806266 145.716462,-85.716742 -158.627164,-20.559579 -36.643500,75.252239 8.453696,32.359781 172.428970,-39.803069 177.690378,-68.254549 -14.325028,3.523138 -5.077841,79.769155 -175.585503,8.286663 -155.820798,-63.596522 -148.057535,-44.525297 21.172651,27.609467 26.576912,56.300571 -130.682751,-15.806266 -124.283538,-85.716742 -68.627164,-20.559579 53.356500,51.585575 59.227464
7.167451 -95.098692,78.723140 -77.259338,28.726031 82.484968,-43.416473 87.844964,-64.693091 -103.154650,31.244066 -63.373872,76.326196 99.545542,4.642411 114.159281,-67.162375 122.995938,-40.913325 -68.658372,55.193661 -30.385040,52.694325 139.739542,-19.443119 145.716194,-86.208643 -106.339700,-16.923494 -36.640579,78.723140 12.740662,28.726031 172.484968,-43.416473 177.844964,-64.693091 -13.154650,7.167451 -5.098692,76.326196 -170.454458,4.642411 -155.840719,-67.162375 -147.004062,-40.913325 21.341628,31.244066 26.626128,52.694325 -130.260458,-19.443119 -124.283806,-86.208643 -16.339700,-16.923494 53.359421,55.193661 59.614960
10.811418 -95.115843,82.065117 -69.123212,25.089638 82.520465,-47.025082 88.050655,-61.118830 -102.314701,34.875780 -63.300791,72.812221 102.527448,0.998106 114.136981,-70.711778 124.500122,-37.296810 -68.532653,58.795368 -29.870802,49.082399 140.059282,-23.077349 145.727268,-83.977654 -72.182820,-13.285040 -36.647155,82.065117 20.876788,25.089638 172.520465,-47.025082 178.050655,-61.118830 -12.314701,10.811418 -5.115843,72.812221 -167.472552,0.998106 -155.863019,-70.711778 -145.499878,-37.296810 21.467347,34.875780 26.699209,49.082399 -129.940718,-23.077349 -124.272732,-83.977654 17.817180,-13.285040 53.352845,58.795368 60.129198
14.454621 -95.127275,85.014183 -50.218526,21.450956 82.539533,-50.628466 88.322147,-57.534979 -101.696314,38.504261 -63.197950,69.262432 104.435007,-2.645826 114.114150,-74.235377 126.755602,-33.676082 -68.441262,62.389245 -29.179907,45.465538 140.301834,-26.708608 145.752722,-80.832760 -58.867742,-9.644598 -36.660848,85.014183 39.781474,21.450956 172.539533,-50.628466 178.322147,-57.534979 -11.696314,14.454621 -5.127275,69.262432 -165.564993,-2.645826 -155.885850,-74.235377 -143.244398,-33.676082 21.558738,38.504261 26.802050,45.465538 -129.698166,-26.708608 -124.247278,-80.832760 31.132258,-9.644598 53.339152,62.389245 60.820093
18.096653 -95.130777,86.416414 -4.029163,17.810355 82.545537,-54.226057 88.679897,-53.943428 -101.233343,42.129155 -63.057793,65.691630 105.734097,-6.288963 114.092618,-77.712902 130.395165,-30.051449 -68.377323,65.972946 -28.233071,41.844291 140.485068,-30.336565 145.796182,-77.442008 -52.618090,-6.002565 -36.679528,86.416414 85.970837,17.810355 172.545537,-54.226057 178.679897,-53.943428 -11.233343,18.096653 -5.130777,65.691630 -164.265903,-6.288963 -155.907382,-77.712902 -139.604835,-30.051449 21.622677,42.129155 26.942207,41.844291 -129.514932,-30.336565 -124.203818,-77.442008 37.381910,-6.002565 53.320472,65.972946 61.766929
21.737117 -95.123854,84.812592 39.872392,14.168217 82.541326,-57.817052 89.153318,-50.345356 -100.883296,45.750073 -62.870416,62.107012 106.656906,-9.930886 114.074257,-81.092428 136.979233,-26.423221 -68.335428,69.542418 -26.896470,38.219102 140.621969,-33.960902 145.862066,-73.959633 -49.125030,-2.359351 -36.701229,84.812592 129.872392,14.168217 172.541326,-57.817052 179.153318,-50.345356 -10.883296,21.737117 -5.123854,62.107012 -163.343094,-9.930886 -155.925743,-81.092428 -133.020767,-26.423221 21.664572,45.750073 27.129584,38.219102 -129.378031,-33.960902 -124.137934,-73.959633 40.874970,-2.359351 53.298771,69.542418 63.103530
25.375632 -95.103625,81.810693 57.420758,10.524939 82.529367,-61.400229 89.786326,-46.741544 -100.617628,49.366569 -62.622521,58.512449 107.331534,-13.571185 114.061043,-84.202570 151.245545,-22.791716 -68.311227,73.090077 -24.925848,34.590354 140.722222,-37.581310 145.955885,-70.433481 -46.945196,1.284627 -36.724084,81.810693 147.420758,10.524939 172.529367,-61.400229 179.786326,-46.741544 -10.617628,25.375632 -5.103625,58.512449 -162.668466,-13.571185 -155.938957,-84.202570 -118.754455,-22.791716 21.688773,49.366569 27.377479,34.590354 -129.277778,-37.581310 -124.044115,-70.433481 43.054804,1.284627 53.275916,73.090077 65.074152
29.011830 -95.066674,78.453443 65.107823,6.880930 82.511855,-64.973624 90.647563,-43.132543 -100.416427,52.978078 -62.295758,54.910197 107.834276,-17.209466 114.055124,-86.291925 -172.129627,-19.157267 -68.301148,76.600171 -21.826485,30.958401 140.793231,-41.197480 146.084650,-66.882529 -45.484783,4.928943 -36.746265,78.453443 155.107823,6.880930 172.511855,-64.973624 -179.352437,-43.132543 -10.416427,29.011830 -5.066674,54.910197 -162.165724,-17.209466 -155.944876,-86.291925 -82.129627,-19.157267 21.698852,52.978078 27.704242,30.958401 -129.206769,-41.197480 -123.915350,-66.882529 44.515217,4.928943 53.253735,76.600171 68.173515
32.645357 -95.008865,74.976453 69.210366,3.236607 82.490793,-68.533876 91.850556,-39.518778 -100.265359,56.583837 -61.864016,51.301655 108.213373,-20.845350 114.058902,-85.555300 -120.923417,-15.520224 -68.302192,80.034713 -16.442036,27.323590 140.840784,-44.809080 146.257486,-63.315625 -44.458784,8.573172 -36.765919,74.976453 159.210366,3.236607 172.490793,-68.533876 -178.149444,-39.518778 -10.265359,32.645357 -5.008865,51.301655 -161.786627,-20.845350 -155.941098,-85.555300 -30.923417,-15.520224 21.697808,56.583837 28.135984,27.323590 -129.159216,-44.809080 -123.742514,-63.315625 45.541216,8.573172 53.234081,80.034713 73.557964
36.275865 -94.925082,71.446076 71.697364,-0.407604 82.468072,-72.074817 93.597100,-35.900600 -100.153811,60.182733 -61.288790,47.687750 108.500816,-24.478474 114.075135,-82.814644 -97.318258,-11.880957 -68.311780,83.278956 -5.483314,23.686271 140.869504,-48.415730 146.486556,-59.737374 -43.714276,12.216893 -36.781111,71.446076 161.697364,-0.407604 172.468072,-72.074817 -176.402900,-35.900600 -10.153811,36.275865 -4.925082,47.687750 -161.499184,-24.478474 -155.924865,-82.814644 -7.318258,-11.880957 21.688220,60.182733 28.711210,23.686271 -129.130496,-48.415730 -123.513444,-59.737374 46.285724,12.216893 53.218889,83.278956 84.516686
39.903006 -94.808851,67.886990 73.332202,-4.051280 82.445524,-75.584041 96.281575,-32.278329 -100.073733,63.773031 -60.510787,44.069139 108.718681,-28.108498 114.107067,-79.541266 -87.624744,-8.239854 -68.327639,85.860816 22.041419,20.046805 140.883166,-52.016957 146.788497,-56.150378 -43.162093,15.859692 -36.789760,67.886990 163.332202,-4.051280 172.445524,-75.584041 -173.718425,-32.278329 -10.073733,39.903006 -4.808851,44.069139 -161.281319,-28.108498 -155.892933,-79.541266 2.375256,-8.239854 21.672361,63.773031 29.489213,20.046805 -129.116834,-52.016957 -123.211503,-56.150378 46.837907,15.859692 53.210240,85.860816 112.041419
43.526414 -94.651811,64.310243 74.466021,-7.693998 82.424989,-79.033093 100.781071,-28.652273 -100.018873,67.351860 -59.433755,40.446323 108.882712,-31.735095 114.158601,-76.105880 -82.713286,-4.597316 -68.347710,86.104078 75.176595,16.405565 140.884916,-55.612116 147.186746,-52.556199 -42.746799,19.501165 -36.789554,64.310243 164.466021,-7.693998 172.424989,-79.033093 -169.218929,-28.652273 -10.018873,43.526414 -4.651811,40.446323 -161.117288,-31.735095 -155.841399,-76.105880 7.286714,-4.597316 21.652290,67.351860 30.566245,16.405565 -129.115084,-55.612116 -122.813254,-52.556199 47.253201,19.501165 53.210446,86.104078 165.176595
47.145685 -94.442896,60.721442 75.281490,-11.335342 82.408372,-82.342562 109.428619,-25.022742 -99.984271,70.914111 -57.890664,36.819718 109.004471,-35.357953 114.234537,-72.603231 -79.831416,-0.953757 -68.370074,83.730406 106.967731,12.762939 140.877441,-59.200271 147.715467,-48.955835 -42.432124,23.140922 -36.777866,60.721442 165.281490,-11.335342 172.408372,-82.342562 -160.571381,-25.022742 -9.984271,47.145685 -4.442896,36.819718 -160.995529,-35.357953 -155.765463,-72.603231 10.168584,-0.953757 21.629926,70.914111 32.109336,12.762939 -129.122559,-59.200271 -122.284533,-48.955835 47.567876,23.140922 53.222134,83.730406 -163.032269
50.760332 -94.167102,57.123705 75.882665,-14.974909 82.397706,-85.216240 129.836200,-21.390061 -99.965906,74.449873 -55.565323,33.189692 109.092666,-38.976764 114.340906,-69.066024 -77.976445,2.690401 -68.392886,80.537957 119.384784,9.119330 140.863091,-62.779965 148.426526,-45.349965 -42.193327,26.778586 -36.751625,57.123705 165.882665,-14.974909 172.397706,-85.216240 -140.163800,-21.390061 -9.965906,50.760332 -4.167102,33.189692 -160.907334,-38.976764 -155.659094,-69.066024 12.023555,2.690401 21.607114,74.449873 34.434677,9.119330 -129.136909,-62.779965 -121.573474,-45.349965 47.806673,26.778586 53.248375,80.537957 -150.615216
54.369728 -93.803484,53.518892 76.333070,-18.612309 82.395226,-86.394153 177.951161,-17.754568 -99.960447,77.937485 -51.784669,29.556596 109.154013,-42.591212 114.485448,-65.508176 -76.707904,6.334734 -68.414314,77.121209 125.303433,5.475150 140.843980,-66.348798 149.402651,-41.739081 -42.012927,30.413795 -36.707165,53.518892 166.333070,-18.612309 172.395226,-86.394153 -92.048839,-17.754568 -9.960447,54.369728 -3.803484,29.556596 -160.845987,-42.591212 -155.514552,-65.508176 13.292096,6.334734 21.585686,77.937485 38.215331,5.475150 -129.156020,-66.348798 -120.597349,-41.739081 47.987073,30.413795 53.292835,77.121209 -144.696567
57.972998 -93.321852,49.908189 76.673667,-22.247170 82.403458,-84.616182 -140.670025,-14.116623 -99.965074,81.320597 -44.862706,25.920776 109.193806,-46.200952 114.678330,-61.936489 -75.804175,9.978817 -68.432483,73.619121 128.645302,1.830820 140.822059,-69.902562 150.784221,-38.123574 -41.878200,34.046198 -36.640008,49.908189 166.673667,-22.247170 172.403458,-84.616182 -50.670025,-14.116623 -9.965074,57.972998 -3.321852,25.920776 -160.806194,-46.200952 -155.321670,-61.936489 14.195825,9.978817 21.567517,81.320597 45.137294,1.830820 -129.177941,-69.902562 -119.215779,-38.123574 48.121800,34.046198 53.359992,73.619121 -141.354698
61.568829 -92.676975,46.292402 76.932061,-25.879138 82.425331,-81.583279 -124.333835,-10.476601 -99.977336,84.408454 -29.582976,22.282585 109.216309,-49.805573 114.933231,-58.354628 -75.142133,13.622231 -68.445408,70.075783 130.744278,-1.813236 140.799188,-73.433282 152.829225,-34.503780 -41.779634,37.675449 -36.544564,46.292402 166.932061,-25.879138 172.425331,-81.583279 -34.333835,-10.476601 -9.977336,61.568829 -2.676975,22.282585 -160.783691,-49.805573 -155.066769,-58.354628 14.857867,13.622231 21.554592,84.408454 60.417024,-1.813236 -129.200812,-73.433282 -117.170775,-34.503780 48.220366,37.675449 53.455436,70.075783 -139.255722
65.155133 -91.797867,42.672115 77.127560,-29.507878 82.464319,-78.227716 -117.039244,-6.834896 -99.995055,86.354630 9.618148,18.642389 109.225031,-53.404548 115.269068,-54.764714 -74.648048,17.264566 -68.450930,66.508972 132.156457,-5.456591 140.777197,-76.924180 156.065060,-30.880013 -41.709944,41.301195 -36.413708,42.672115 167.127560,-29.507878 172.464319,-78.227716 -27.039244,-6.834896 -9.995055,65.155133 -1.797867,18.642389 -160.774969,-53.404548 -154.730932,-54.764714 15.351952,17.264566 21.549070,86.354630 99.618148,-5.456591 -129.222803,-76.924180 -113.934940,-30.880013 48.290056,41.301195 53.586292,66.508972 -137.843543
