-0.121097 -95.055183,39.989112 -92.038857,79.421930 -75.469562,59.900058 78.755107,19.960339 83.650109,-20.187454 86.270801,-60.019052 91.179640,-79.460942 -114.703090,-40.173201 -98.076082,13.269173 -64.202055,53.281501 -60.234965,85.118616 67.836185,46.643028 111.152421,6.574505 114.539162,-33.523770 117.328369,-73.092472 126.832990,-66.583138 -73.355553,-26.861205 -66.863853,26.645556 -33.248300,66.489447 -26.777126,73.025457 133.122415,33.322540 142.594531,-6.815005 145.380887,-46.807508 148.774357,-85.128009 -167.810957,-53.424185 -39.885445,-13.504619 -35.908727,39.989112 -2.038857,79.421930 14.530438,59.900058 168.755107,19.960339 173.650109,-20.187454 176.270801,-60.019052 -178.820360,-79.460942 -24.703090,-40.173201 -8.076082,-0.121097 -5.055183,53.281501 29.765035,85.118616 157.836185,46.643028 -158.847579,6.574505 -155.460838,-33.523770 -152.671631,-73.092472 -143.167010,-66.583138 16.644447,-26.861205 23.136147,13.269173 25.797945,66.489447 63.222874,73.025457 -136.877585,33.322540 -127.405469,-6.815005 -124.619113,-46.807508 -121.225643,-85.128009 -77.810957,-53.424185 50.114555,-13.504619 54.091273,26.645556 56.751700
3.523138 -95.077841,43.612427 -91.880725,82.717409 -65.979279,56.300571 79.317249,16.319061 83.651610,-23.821104 86.284556,-63.596522 91.942465,-76.023274 -109.860364,-36.555798 -97.958041,16.911630 -64.208395,56.886732 -59.792861,82.200327 87.517499,43.023156 111.353336,2.930175 114.517889,-37.144669 117.418480,-76.588425 129.916418,-63.015140 -72.357925,-23.230078 -66.837720,30.280862 -33.204579,70.056358 -25.367799,69.477295 135.078114,29.689549 142.656759,-10.456718 145.363144,-50.411221 149.041369,-86.407250 -120.621657,-49.825243 -39.549100,-9.864286 -35.922054,43.612427 -1.880725,82.717409 24.020721,56.300571 169.317249,16.319061 173.651610,-23.821104 176.284556,-63.596522 -178.057535,-76.023274 -19.860364,-36.555798 -7.958041,3.523138 -5.077841,56.886732 30.207139,82.200327 177.517499,43.023156 -158.646664,2.930175 -155.482111,-37.144669 -152.581520,-76.588425 -140.083582,-63.015140 17.642075,-23.230078 23.162280,16.911630 25.791605,70.056358 64.632201,69.477295 -134.921886,29.689549 -127.343241,-10.456718 -124.636856,-50.411221 -120.958631,-86.407250 -30.621657,-49.825243 50.450900,-9.864286 54.077946,30.280862 56.795421
7.167451 -95.098692,47.231594 -91.670415,85.497288 -42.927825,52.694325 79.739542,12.676407 83.643946,-27.451713 86.313379,-67.162375 92.995938,-72.519540 -107.011094,-32.934245 -97.872775,20.552647 -64.205160,60.484982 -59.203244,78.867059 95.908798,39.399206 111.504116,-0.714008 114.495112,-40.761368 117.542592,-80.009482 135.258845,-59.436073 -71.632414,-19.595965 -66.826106,33.913374 -33.138343,73.599859 -23.273698,65.907510 136.405862,26.053822 142.697260,-14.096750 145.350846,-54.009181 149.393192,-84.713700 -78.107443,-46.220651 -39.293815,-6.222337 -35.940490,47.231594 -1.670415,85.497288 47.072175,52.694325 169.739542,12.676407 173.643946,-27.451713 176.313379,-67.162375 -177.004062,-72.519540 -17.011094,-32.934245 -7.872775,7.167451 -5.098692,60.484982 30.796756,78.867059 -174.091202,39.399206 -158.495884,-0.714008 -155.504888,-40.761368 -152.457408,-80.009482 -134.741155,-59.436073 18.367586,-19.595965 23.173894,20.552647 25.794840,73.599859 66.726302,65.907510 -133.594138,26.053822 -127.302740,-14.096750 -124.649154,-54.009181 -120.606808,-84.713700 11.892557,-46.220651 50.706185,-6.222337 54.059510,33.913374 56.861657
10.811418 -95.115843,50.846125 -91.392806,86.312350 8.045803,49.082399 80.059282,9.032780 83.629460,-31.078954 86.361039,-70.711778 94.500122,-68.981722 -105.173905,-29.308851 -97.813751,24.191837 -64.189607,64.074449 -58.404491,75.399576 100.299193,35.771576 111.615387,-4.357619 114.472662,-44.373538 117.709536,-83.243350 146.083248,-55.848423 -71.093539,-15.959216 -66.825952,37.542746 -33.044049,77.102254 -19.941124,62.323593 137.347038,22.415712 142.720330,-17.734708 145.346172,-57.600603 149.858571,-81.702170 -61.209369,-42.610938 -39.100636,-2.579182 -35.962062,50.846125 -1.392806,86.312350 98.045803,49.082399 170.059282,9.032780 173.629460,-31.078954 176.361039,-70.711778 -175.499878,-68.981722 -15.173905,-29.308851 -7.813751,10.811418 -5.115843,64.074449 31.595509,75.399576 -169.700807,35.771576 -158.384613,-4.357619 -155.527338,-44.373538 -152.290464,-83.243350 -123.916752,-55.848423 18.906461,-15.959216 23.174048,24.191837 25.810393,77.102254 70.058876,62.323593 -132.652962,22.415712 -127.279670,-17.734708 -124.653828,-57.600603 -120.141429,-81.702170 28.790631,-42.610938 50.899364,-2.579182 54.037938,37.542746 56.955951
14.454621 -95.127275,54.455387 -91.026781,84.254848 45.486989,45.465538 80.301834,5.388591 83.610260,-34.702511 86.432153,-74.235377 96.755602,-65.423484 -103.916059,-25.679926 -97.775804,27.828829 -64.158511,67.652124 -57.296068,71.873905 102.927865,32.140628 111.695209,-8.000237 114.452382,-47.980808 117.931044,-85.831850 173.118581,-52.253691 -70.687903,-12.320197 -66.834634,41.168627 -32.914637,80.519695 -14.043219,58.729555 138.034107,18.775583 142.729501,-21.370215 145.351568,-61.184298 150.480323,-78.353029 -53.725193,-38.996515 -38.955859,1.064761 -35.984900,54.455387 -1.026781,84.254848 135.486989,45.465538 170.301834,5.388591 173.610260,-34.702511 176.432153,-74.235377 -173.244398,-65.423484 -13.916059,-25.679926 -7.775804,14.454621 -5.127275,67.652124 32.703932,71.873905 -167.072135,32.140628 -158.304791,-8.000237 -155.547618,-47.980808 -152.068956,-85.831850 -96.881419,-52.253691 19.312097,-12.320197 23.165366,27.828829 25.841489,80.519695 75.956781,58.729555 -131.965893,18.775583 -127.270499,-21.370215 -124.648432,-61.184298 -119.519677,-78.353029 36.274807,-38.996515 51.044141,1.064761 54.015100,41.168627 57.085363
18.096653 -95.130777,58.058497 -90.541872,81.139673 60.029778,41.844291 80.485068,1.744263 83.588295,-38.322078 86.532497,-77.712902 100.395165,-61.851522 -103.019237,-22.047790 -97.754764,31.463263 -64.107998,71.212627 -55.702385,68.317538 104.641987,28.506709 111.749839,-11.641447 114.436185,-51.582719 118.223112,-86.131916 -134.051344,-48.652842 -70.380438,-8.679295 -66.849849,44.790639 -32.740910,83.714206 -1.683724,55.127721 138.545644,15.133814 142.727744,-25.002913 145.369855,-64.758360 151.325165,-74.888206 -49.701851,-35.377726 -38.849305,4.709069 -36.007173,58.058497 -0.541872,81.139673 150.029778,41.844291 170.485068,1.744263 173.588295,-38.322078 176.532497,-77.712902 -169.604835,-61.851522 -13.019237,-22.047790 -7.754764,18.096653 -5.130777,71.212627 34.297615,68.317538 -165.358013,28.506709 -158.250161,-11.641447 -155.563815,-51.582719 -151.776888,-86.131916 -44.051344,-48.652842 19.619562,-8.679295 23.150151,31.463263 25.892002,83.714206 88.316276,55.127721 -131.454356,15.133814 -127.272256,-25.002913 -124.630145,-64.758360 -118.674835,-74.888206 40.298149,-35.377726 51.150695,4.709069 53.992827,44.790639 57.259090
21.737117 -95.123854,61.654131 -89.892387,77.748032 66.698196,38.219102 80.621969,-1.899781 83.565424,-41.937340 86.669459,-81.092428 106.979233,-58.269449 -102.361901,-18.412780 -97.747191,35.094792 -64.033303,74.745427 -53.288205,64.742554 105.824384,24.870167 111.784238,-15.280847 114.426118,-55.178653 118.608188,-83.801847 -101.738501,-45.046532 -70.147144,-5.036908 -66.869516,48.408356 -32.510600,86.096266 29.944050,51.519528 138.931169,11.490799 142.717616,-28.632461 145.404358,-68.319541 152.503026,-71.371143 -47.251881,-31.754890 -38.773220,8.353315 -36.027033,61.654131 0.107613,77.748032 156.698196,38.219102 170.621969,-1.899781 173.565424,-41.937340 176.669459,-81.092428 -163.020767,-58.269449 -12.361901,-18.412780 -7.747191,21.737117 -5.123854,74.745427 36.711795,64.742554 -164.175616,24.870167 -158.215762,-15.280847 -155.573882,-55.178653 -151.391812,-83.801847 -11.738501,-45.046532 19.852856,-5.036908 23.130484,35.094792 25.966697,86.096266 119.944050,51.519528 -131.068831,11.490799 -127.282384,-28.632461 -124.595642,-68.319541 -117.496974,-71.371143 42.748119,-31.754890 51.226780,8.353315 53.972967,48.408356 57.489400
25.375632 -95.103625,65.240173 -89.006531,74.256824 70.369861,34.590354 80.722222,-5.543115 83.543476,-45.547960 86.852698,-84.202570 121.245545,-54.679361 -101.871158,-14.775251 -97.750183,38.723067 -63.928444,78.227232 -49.331530,61.155009 106.671660,21.231359 111.802428,-18.918047 114.424436,-58.767717 119.118855,-80.632588 -89.097615,-41.435246 -69.971022,-1.393450 -66.891702,52.021251 -32.206905,85.870673 83.108540,47.905926 139.223438,7.846943 142.701374,-32.258537 145.459095,-71.861909 154.208349,-67.825641 -45.636623,-28.128312 -38.721567,11.997079 -36.042552,65.240173 0.993469,74.256824 160.369861,34.590354 170.722222,-5.543115 173.543476,-45.547960 176.852698,-84.202570 -148.754455,-54.679361 -11.871158,-14.775251 -7.750183,25.375632 -5.103625,78.227232 40.668470,61.155009 -163.328340,21.231359 -158.197572,-18.918047 -155.575564,-58.767717 -150.881145,-80.632588 0.902385,-41.435246 20.028978,-1.393450 23.108298,38.723067 26.071556,85.870673 173.108540,47.905926 -130.776562,7.846943 -127.298626,-32.258537 -124.540905,-71.861909 -115.791651,-67.825641 44.363377,-28.128312 51.278433,11.997079 53.957448,52.021251 57.793095
29.011830 -95.066674,68.813020 -87.764765,70.719207 72.639646,30.958401 80.793231,-9.185320 83.524309,-49.153542 87.095154,-86.291925 157.870373,-51.082551 -101.500673,-11.135577 -97.761231,42.347732 -63.785747,81.596326 -41.994160,57.558233 107.294736,17.590654 111.807740,-22.552678 114.433696,-62.348535 119.804309,-77.233776 -83.088644,-37.819366 -69.839665,2.250658 -66.914557,55.628626 -31.806123,83.295639 110.780195,44.287584 139.445003,4.202663 142.681066,-35.880830 145.539019,-75.373608 156.818659,-64.262398 -44.514091,-24.498307 -38.689539,15.639945 -36.051658,68.813020 2.235235,70.719207 162.639646,30.958401 170.793231,-9.185320 173.524309,-49.153542 177.095154,-86.291925 -112.129627,-51.082551 -11.500673,-11.135577 -7.761231,29.011830 -5.066674,81.596326 48.005840,57.558233 -162.705264,17.590654 -158.192260,-22.552678 -155.566304,-62.348535 -150.195691,-77.233776 6.911356,-37.819366 20.160335,2.250658 23.085443,42.347732 26.214253,83.295639 -159.219805,44.287584 -130.554997,4.202663 -127.318934,-35.880830 -124.460981,-75.373608 -113.181341,-64.262398 45.485909,-24.498307 51.310461,15.639945 53.948342,55.628626 58.193877
32.645357 -95.008865,72.366050 -85.952752,67.155852 74.150879,27.323590 80.840784,-12.825984 83.509873,-52.753586 87.414626,-85.555300 -150.923417,-47.479864 -101.219576,-7.494147 -97.778115,45.968397 -63.595138,84.638160 -25.490265,53.954201 107.760822,13.948436 111.802994,-26.184388 114.456865,-65.918854 120.742513,-73.747860 -79.702456,-34.199226 -69.743782,5.894993 -66.936250,59.229477 -31.273651,80.053120 121.787887,40.665010 139.611920,0.558380 142.658604,-39.499031 145.650375,-78.827702 161.165995,-60.686843 -43.705549,-20.865198 -38.673230,19.281509 -36.052057,72.366050 4.047248,67.155852 164.150879,27.323590 170.840784,-12.825984 173.509873,-52.753586 177.414626,-85.555300 -60.923417,-47.479864 -11.219576,-7.494147 -7.778115,32.645357 -5.008865,84.638160 64.509735,53.954201 -162.239178,13.948436 -158.197006,-26.184388 -155.543135,-65.918854 -149.257487,-73.747860 10.297544,-34.199226 20.256218,5.894993 23.063750,45.968397 26.404862,80.053120 -148.212113,40.665010 -130.388080,0.558380 -127.341396,-39.499031 -124.349625,-78.827702 -108.834005,-60.686843 46.294451,-20.865198 51.326770,19.281509 53.947943,59.229477 58.726349
36.275865 -94.925082,75.885841 -83.146658,63.576289 75.208043,23.686271 80.869504,-16.464710 83.502275,-56.347401 87.836359,-82.814644 -127.318258,-43.871888 -101.006492,-3.851366 -97.798808,49.584609 -63.343066,86.399166 16.383834,50.344161 108.112998,10.305102 111.790641,-29.812841 114.497473,-69.474756 122.064667,-70.219824 -77.578324,-30.575139 -69.676242,9.539128 -66.954915,62.822275 -30.556853,76.619184 127.190586,37.038622 139.735959,-3.085479 142.635833,-43.112821 145.801202,-82.150087 169.436325,-57.101981 -43.108830,-17.229328 -38.669392,22.921380 -36.041143,75.885841 6.853342,63.576289 165.208043,23.686271 170.869504,-16.464710 173.502275,-56.347401 177.836359,-82.814644 -37.318258,-43.871888 -11.006492,-3.851366 -7.798808,36.275865 -4.925082,86.399166 106.383834,50.344161 -161.887002,10.305102 -158.209359,-29.812841 -155.502527,-69.474756 -147.935333,-70.219824 12.421676,-30.575139 20.323758,9.539128 23.045085,49.584609 26.656934,76.619184 -142.809414,37.038622 -130.264041,-3.085479 -127.364167,-43.112821 -124.198798,-82.150087 -100.563675,-57.101981 46.891170,-17.229328 51.330608,22.921380 53.958857,62.822275 59.443147
