-0.121097 -95.055183,32.715939 -92.743778,65.294285 -87.230123,81.103988 61.387015,49.058986 80.815655,16.311197 83.903128,-16.543254 86.017453,-49.215778 89.112159,-81.135079 108.607189,-65.392685 -102.900892,-32.918597 -97.369418,10.835021 -64.361363,43.620247 -61.628807,75.961299 -50.554392,70.657835 104.683202,38.172112 112.132634,5.357115 114.616179,-27.467385 116.816591,-60.019052 121.179640,-85.513545 -117.944052,-54.625044 -70.104081,-22.008560 -66.496991,21.784269 -33.614534,54.486535 -30.017055,85.506726 17.732615,59.900058 138.755107,27.252928 143.105233,-5.598175 145.303836,-38.361132 147.791390,-70.734699 155.266449,-76.015762 -49.601060,-43.793928 -38.487269,-11.072689 -35.749279,32.715939 -2.743778,65.294285 2.769877,81.103988 151.387015,49.058986 170.815655,16.311197 173.903128,-16.543254 176.017453,-49.215778 179.112159,-81.135079 -161.392811,-65.392685 -12.900892,-32.918597 -7.369418,-0.121097 -5.055183,43.620247 28.371193,75.961299 39.445608,70.657835 -165.316798,38.172112 -157.867366,5.357115 -155.383821,-27.467385 -153.183409,-60.019052 -148.820360,-85.513545 -27.944052,-54.625044 19.895919,-22.008560 23.503009,10.835021 25.638637,54.486535 59.982945,85.506726 107.732615,59.900058 -131.244893,27.252928 -126.894767,-5.598175 -124.696164,-38.361132 -122.208610,-70.734699 -114.733551,-76.015762 40.398940,-43.793928 51.512731,-11.072689 54.250721,21.784269 56.385466
3.523138 -95.077841,36.346385 -92.659431,68.866892 -85.981666,77.710723 68.007082,45.442094 81.057771,12.668541 83.895446,-20.179605 86.019261,-52.815720 89.433157,-84.239141 123.038643,-61.820623 -102.006566,-29.293187 -97.310495,14.478218 -64.372751,47.239404 -61.418370,79.414590 -45.735001,67.094138 106.184587,34.543320 112.232465,1.712787 114.594199,-31.094610 116.864342,-63.596522 121.942465,-82.753962 -94.782521,-51.028140 -69.735147,-18.373522 -66.489547,25.422756 -33.594111,58.089587 -29.530947,86.308592 68.783139,56.300571 139.317249,23.615564 143.133627,-9.240360 145.284726,-41.976346 147.928796,-74.258083 157.528322,-72.511931 -46.754728,-40.181007 -38.327903,-7.431232 -35.766245,36.346385 -2.659431,68.866892 4.018334,77.710723 158.007082,45.442094 171.057771,12.668541 173.895446,-20.179605 176.019261,-52.815720 179.433157,-84.239141 -146.961357,-61.820623 -12.006566,-29.293187 -7.310495,3.523138 -5.077841,47.239404 28.581630,79.414590 44.264999,67.094138 -163.815413,34.543320 -157.767535,1.712787 -155.405801,-31.094610 -153.135658,-63.596522 -148.057535,-82.753962 -4.782521,-51.028140 20.264853,-18.373522 23.510453,14.478218 25.627249,58.089587 60.469053,86.308592 158.783139,56.300571 -130.682751,23.615564 -126.866373,-9.240360 -124.715274,-41.976346 -122.071204,-74.258083 -112.471678,-72.511931 43.245272,-40.181007 51.672097,-7.431232 54.233755,25.422756 56.405889
7.167451 -95.098692,39.973457 -92.542494,72.419545 -84.158552,74.218825 71.657823,41.820821 81.240667,9.024911 83.880948,-23.813261 86.032986,-56.409420 89.856938,-86.303752 160.074668,-58.238473 -101.350931,-25.664247 -97.272629,18.120240 -64.376193,50.853924 -61.140595,82.710617 -36.260565,63.514346 107.235596,30.911328 112.303136,-1.931252 114.571327,-34.718151 116.935569,-67.162375 122.995938,-79.475552 -85.234119,-47.425368 -69.455219,-14.735968 -66.492638,29.058922 -33.556918,61.685148 -28.879777,84.242643 106.086019,52.694325 139.739542,19.976060 143.147029,-12.880998 145.270377,-45.586914 148.112598,-77.735196 161.180337,-68.974058 -44.919144,-36.563613 -38.209783,-3.788431 -35.786988,39.973457 -2.542494,72.419545 5.841448,74.218825 161.657823,41.820821 171.240667,9.024911 173.880948,-23.813261 176.032986,-56.409420 179.856938,-86.303752 -109.925332,-58.238473 -11.350931,-25.664247 -7.272629,7.167451 -5.098692,50.853924 28.859405,82.710617 53.739435,63.514346 -162.764404,30.911328 -157.696864,-1.931252 -155.428673,-34.718151 -153.064431,-67.162375 -147.004062,-79.475552 4.765881,-47.425368 20.544781,-14.735968 23.507362,18.120240 25.623807,61.685148 61.120223,84.242643 -163.913981,52.694325 -130.260458,19.976060 -126.852971,-12.880998 -124.729623,-45.586914 -121.887402,-77.735196 -108.819663,-68.974058 45.080856,-36.563613 51.790217,-3.788431 54.213012,29.058922 56.443082
10.811418 -95.115843,43.596789 -92.384561,75.938664 -81.332163,70.680851 73.916894,38.195608 81.377302,5.380722 83.861740,-27.443877 86.061773,-59.995847 90.420845,-85.527542 -148.935681,-54.648323 -100.861397,-22.032098 -97.251655,21.760693 -64.369194,54.463174 -60.774350,85.492556 -13.257796,59.923349 107.996325,27.276482 112.350417,-5.574578 114.549395,-38.337700 117.036054,-70.711778 124.500122,-76.038296 -80.378998,-43.817316 -69.243033,-11.096272 -66.503761,32.692412 -33.498808,65.271095 -27.991451,81.125402 120.572771,49.082399 140.059282,16.334789 143.148575,-16.519691 145.262899,-49.192440 148.355779,-81.113759 167.793066,-65.415784 -43.662265,-32.942069 -38.124454,-0.144703 -35.809609,43.596789 -2.384561,75.938664 8.667837,70.680851 163.916894,38.195608 171.377302,5.380722 173.861740,-27.443877 176.061773,-59.995847 -179.579155,-85.527542 -58.935681,-54.648323 -10.861397,-22.032098 -7.251655,10.811418 -5.115843,54.463174 29.225650,85.492556 76.742204,59.923349 -162.003675,27.276482 -157.649583,-5.574578 -155.450605,-38.337700 -152.963946,-70.711778 -145.499878,-76.038296 9.621002,-43.817316 20.756967,-11.096272 23.496239,21.760693 25.630806,65.271095 62.008549,81.125402 -149.427229,49.082399 -129.940718,16.334789 -126.851425,-16.519691 -124.737101,-49.192440 -121.644221,-81.113759 -102.206934,-65.415784 46.337735,-32.942069 51.875546,-0.144703 54.190391,32.692412 56.501192
14.454621 -95.127275,47.215974 -92.174506,79.392565 -76.531198,67.117281 75.421962,34.566837 81.477344,1.736394 83.839771,-31.071126 86.109387,-63.573382 91.182140,-82.774208 -125.627253,-51.051459 -100.491799,-18.397077 -97.244133,25.399194 -64.348868,58.066270 -60.289142,86.314206 37.676956,56.323910 108.559531,23.639133 112.378920,-9.216771 114.530261,-41.952943 117.173193,-74.235377 126.755602,-72.534758 -77.523839,-40.204426 -69.083368,-7.454825 -66.520696,36.322878 -33.414649,68.843805 -26.745867,77.733110 127.221789,45.465538 140.301834,12.692140 143.140945,-20.156058 145.264639,-52.792420 148.676204,-84.220873 -177.858359,-61.843797 -42.766068,-29.316683 -38.065379,3.499531 -35.832273,47.215974 -2.174506,79.392565 13.468802,67.117281 165.421962,34.566837 171.477344,1.736394 173.839771,-31.071126 176.109387,-63.573382 -178.817860,-82.774208 -35.627253,-51.051459 -10.491799,-18.397077 -7.244133,14.454621 -5.127275,58.066270 29.710858,86.314206 127.676956,56.323910 -161.440469,23.639133 -157.621080,-9.216771 -155.469739,-41.952943 -152.826807,-74.235377 -143.244398,-72.534758 12.476161,-40.204426 20.916632,-7.454825 23.479304,25.399194 25.651132,68.843805 63.254133,77.733110 -142.778211,45.465538 -129.698166,12.692140 -126.859055,-20.156058 -124.735361,-52.792420 -121.323796,-84.220873 -87.858359,-61.843797 47.233932,-29.316683 51.934621,3.499531 54.167727,36.322878 56.585351
18.096653 -95.130777,50.830526 -91.897227,82.690229 -67.104087,63.537575 76.475274,30.934865 81.548184,-1.907649 83.816900,-34.694691 86.180445,-67.139323 92.233314,-79.497463 -116.030813,-47.448724 -100.211370,-14.759538 -97.247165,29.035376 -64.311796,61.661885 -59.639236,84.260944 75.187320,52.717704 108.982594,19.999642 112.392408,-12.857421 114.515875,-45.563541 117.356657,-77.712902 130.395165,-68.997050 -75.683434,-36.587059 -68.965010,-3.812032 -66.541420,39.949973 -33.297948,72.396619 -24.927522,74.241625 130.885064,41.844291 140.485068,9.048516 143.126484,-23.789733 145.278277,-56.386163 149.099216,-86.297907 -141.028036,-58.261705 -42.109157,-25.687765 -38.027391,7.143845 -35.853142,50.830526 -1.897227,82.690229 22.895913,63.537575 166.475274,30.934865 171.548184,-1.907649 173.816900,-34.694691 176.180445,-67.139323 -177.766686,-79.497463 -26.030813,-47.448724 -10.211370,-14.759538 -7.247165,18.096653 -5.130777,61.661885 30.360764,84.260944 165.187320,52.717704 -161.017406,19.999642 -157.607592,-12.857421 -155.484125,-45.563541 -152.643343,-77.712902 -139.604835,-68.997050 14.316566,-36.587059 21.034990,-3.812032 23.458580,29.035376 25.688204,72.396619 65.072478,74.241625 -139.114936,41.844291 -129.514932,9.048516 -126.873516,-23.789733 -124.721723,-56.386163 -120.900784,-86.297907 -51.028036,-58.261705 47.890843,-25.687765 51.972609,7.143845 54.146858,39.949973 56.702052
21.737117 -95.123854,54.439813 -91.531641,85.478309 -44.246719,59.946640 77.237534,27.300036 81.595601,-5.550981 83.794955,-38.314267 86.280719,-70.688855 93.733826,-76.060827 -111.157014,-43.840704 -99.998800,-11.119855 -97.258243,32.668884 -64.253837,65.247903 -58.752763,81.146806 89.758233,49.105813 109.302907,16.358381 112.394022,-16.496128 114.508346,-49.169101 117.599403,-81.092428 136.979233,-65.438883 -74.423652,-32.965541 -68.879491,-0.168308 -66.564036,43.573331 -33.140313,75.916027 -22.109855,70.703865 133.150556,38.219102 140.621969,5.404329 143.107300,-27.420370 145.306955,-59.972641 149.662058,-85.541460 -89.928800,-54.671602 -41.618717,-22.055636 -38.006319,10.787816 -35.870323,54.439813 -1.531641,85.478309 45.753281,59.946640 167.237534,27.300036 171.595601,-5.550981 173.794955,-38.314267 176.280719,-70.688855 -176.266174,-76.060827 -21.157014,-43.840704 -9.998800,-11.119855 -7.258243,21.737117 -5.123854,65.247903 31.247237,81.146806 179.758233,49.105813 -160.697093,16.358381 -157.605978,-16.496128 -155.491654,-49.169101 -152.400597,-81.092428 -133.020767,-65.438883 15.576348,-32.965541 21.120509,-0.168308 23.435964,32.668884 25.746163,75.916027 67.890145,70.703865 -136.849444,38.219102 -129.378031,5.404329 -126.892700,-27.420370 -124.693045,-59.972641 -120.337942,-85.541460 0.071200,-54.671602 48.381283,-22.055636 51.993681,10.787816 54.129677,43.573331 56.859687
25.375632 -95.103625,58.042952 -91.047330,86.319681 6.569709,56.347250 77.801807,23.662702 81.624213,-9.193183 83.775797,-41.929539 86.417593,-74.212669 95.982938,-72.557583 -108.292990,-40.227844 -99.838833,-7.478418 -97.275147,36.299372 -64.169866,68.820716 -57.510044,77.755492 96.436380,45.488981 109.545895,12.715740 112.386444,-20.132511 114.510017,-52.769120 117.919256,-84.202570 151.245545,-61.866971 -73.525580,-29.340179 -68.820264,3.475924 -66.586705,47.192545 -32.930639,79.370535 -17.327219,67.140424 134.659318,34.590354 140.722222,1.760000 143.085343,-31.047641 145.354434,-63.550241 150.421828,-82.794435 -66.472497,-51.074778 -41.248454,-18.420632 -37.998720,14.431025 -35.881799,58.042952 -1.047330,86.319681 96.569709,56.347250 167.801807,23.662702 171.624213,-9.193183 173.775797,-41.929539 176.417593,-74.212669 -174.017062,-72.557583 -18.292990,-40.227844 -9.838833,-7.478418 -7.275147,25.375632 -5.103625,68.820716 32.489956,77.755492 -173.563620,45.488981 -160.454105,12.715740 -157.613556,-20.132511 -155.489983,-52.769120 -152.080744,-84.202570 -118.754455,-61.866971 16.474420,-29.340179 21.179736,3.475924 23.413295,36.299372 25.830134,79.370535 72.672781,67.140424 -135.340682,34.590354 -129.277778,1.760000 -126.914657,-31.047641 -124.645566,-63.550241 -119.578172,-82.794435 23.527503,-51.074778 48.751546,-18.420632 52.001280,14.431025 54.118201,47.192545 57.069361
29.011830 -95.066674,61.638622 -90.398685,84.279207 44.287693,52.741084 78.225642,20.023223 81.637787,-12.833843 83.761374,-45.540169 86.600719,-77.690604 99.610109,-69.020042 -106.447747,-36.610505 -99.720238,-3.835632 -97.295853,39.926490 -64.053401,72.373692 -55.696451,74.264423 100.112250,41.867762 109.729468,9.072121 112.372020,-23.766204 114.523569,-56.362906 118.341500,-86.291925 -172.129627,-58.284936 -72.867391,-25.711283 -68.782154,7.120239 -66.607592,50.807128 -32.653856,82.669824 -7.947109,63.560803 135.714940,30.958401 140.793231,-1.884045 143.062472,-34.671232 145.425323,-67.116270 151.470708,-79.519368 -56.827687,-47.472079 -40.967524,-14.783108 -38.001692,18.073066 -35.885360,61.638622 -0.398685,84.279207 134.287693,52.741084 168.225642,20.023223 171.637787,-12.833843 173.761374,-45.540169 176.600719,-77.690604 -170.389891,-69.020042 -16.447747,-36.610505 -9.720238,-3.835632 -7.295853,29.011830 -5.066674,72.373692 34.303549,74.264423 -169.887750,41.867762 -160.270532,9.072121 -157.627980,-23.766204 -155.476431,-56.362906 -151.658500,-86.291925 -82.129627,-58.284936 17.132609,-25.711283 21.217846,7.120239 23.392408,39.926490 25.946599,82.669824 82.052891,63.560803 -134.285060,30.958401 -129.206769,-1.884045 -126.937528,-34.671232 -124.574677,-67.116270 -118.529292,-79.519368 33.172313,-47.472079 49.032476,-14.783108 51.998308,18.073066 54.114640,50.807128 57.346144
32.645357 -95.008865,65.224712 -89.514061,81.168200 58.943399,49.129226 78.546529,16.381973 81.639469,-16.472564 83.753792,-49.145763 86.843030,-81.071088 106.165689,-65.461981 -105.185055,-32.989013 -99.634529,-0.191913 -97.318462,43.549873 -63.896063,75.893388 -52.887470,70.726878 102.384187,38.242597 109.866634,5.427936 112.352860,-27.396862 114.552138,-59.949435 118.903280,-85.555300 -120.923417,-54.694880 -72.376042,-22.079173 -68.760983,10.764213 -66.624803,54.416452 -32.288927,85.463987 14.765842,59.969931 136.478736,27.323590 140.840784,-5.527383 143.040516,-38.290834 145.525386,-70.665931 152.967561,-76.083355 -51.935110,-43.864092 -40.754569,-11.143438 -38.012725,21.713541 -35.878513,65.224712 0.485939,81.168200 148.943399,49.129226 168.546529,16.381973 171.639469,-16.472564 173.753792,-49.145763 176.843030,-81.071088 -163.834311,-65.461981 -15.185055,-32.989013 -9.634529,-0.191913 -7.318462,32.645357 -5.008865,75.893388 37.112530,70.726878 -167.615813,38.242597 -160.133366,5.427936 -157.647140,-27.396862 -155.447862,-59.949435 -151.096720,-85.555300 -30.923417,-54.694880 17.623958,-22.079173 21.239017,10.764213 23.375197,43.549873 26.103937,85.463987 104.765842,59.969931 -133.521264,27.323590 -129.159216,-5.527383 -126.959484,-38.290834 -124.474614,-70.665931 -117.032439,-76.083355 38.064890,-43.864092 49.245431,-11.143438 51.987275,21.713541 54.121487,54.416452 57.711073
36.275865 -94.925082,68.797627 -88.274199,77.777871 65.650854,45.512425 78.789953,12.739339 81.631942,-20.108963 83.755396,-52.745819 87.162312,-84.184230 120.350347,-61.890144 -104.285102,-29.363675 -99.575150,3.452317 -97.341137,47.169115 -63.686769,79.348499 -48.123063,67.163566 103.896656,34.613871 109.967098,1.783607 112.330915,-31.024156 114.599482,-63.527100 119.661527,-82.814644 -97.318258,-51.098097 -72.005112,-18.444187 -68.753307,14.407429 -66.636323,58.019635 -31.805511,86.325014 65.461423,56.370589 137.044078,23.686271 140.869504,-9.169594 143.021333,-41.906135 145.661994,-74.189959 155.210330,-72.580408 -49.062182,-40.251261 -40.594301,-7.502011 -38.029598,25.352069 -35.858380,68.797627 1.725801,77.777871 155.650854,45.512425 168.789953,12.739339 171.631942,-20.108963 173.755396,-52.745819 177.162312,-84.184230 -149.649653,-61.890144 -14.285102,-29.363675 -9.575150,3.452317 -7.341137,36.275865 -4.925082,79.348499 41.876937,67.163566 -166.103344,34.613871 -160.032902,1.783607 -157.669085,-31.024156 -155.400518,-63.527100 -150.338473,-82.814644 -7.318258,-51.098097 17.994888,-18.444187 21.246693,14.407429 23.363677,47.169115 26.313231,86.325014 155.461423,56.370589 -132.955922,23.686271 -129.130496,-9.169594 -126.978667,-41.906135 -124.338006,-74.189959 -114.789670,-72.580408 40.937818,-40.251261 49.405699,-7.502011 51.970402,25.352069 54.141620,58.019635 58.194489
