-0.12 -95.06,32.72 -92.74,65.29 -87.23,81.10 61.39,49.06 80.82,16.31 83.90,-16.54 86.02,-49.22 89.11,-81.14 108.61,-65.39 -102.90,-32.92 -97.37,10.84 -64.36,43.62 -61.63,75.96 -50.55,70.66 104.68,38.17 112.13,5.36 114.62,-27.47 116.82,-60.02 121.18,-85.51 -117.94,-54.63 -70.10,-22.01 -66.50,21.78 -33.61,54.49 -30.02,85.51 17.73,59.90 138.76,27.25 143.11,-5.60 145.30,-38.36 147.79,-70.73 155.27,-76.02 -49.60,-43.79 -38.49,-11.07 -35.75,32.72 -2.74,65.29 2.77,81.10 151.39,49.06 170.82,16.31 173.90,-16.54 176.02,-49.22 179.11,-81.14 -161.39,-65.39 -12.90,-32.92 -7.37,-0.12 -5.06,43.62 28.37,75.96 39.45,70.66 -165.32,38.17 -157.87,5.36 -155.38,-27.47 -153.18,-60.02 -148.82,-85.51 -27.94,-54.63 19.90,-22.01 23.50,10.84 25.64,54.49 59.98,85.51 107.73,59.90 -131.24,27.25 -126.89,-5.60 -124.70,-38.36 -122.21,-70.73 -114.73,-76.02 40.40,-43.79 51.51,-11.07 54.25,21.78 56.39
3.52 -95.08,36.35 -92.66,68.87 -85.98,77.71 68.01,45.44 81.06,12.67 83.90,-20.18 86.02,-52.82 89.43,-84.24 123.04,-61.82 -102.01,-29.29 -97.31,14.48 -64.37,47.24 -61.42,79.41 -45.74,67.09 106.18,34.54 112.23,1.71 114.59,-31.09 116.86,-63.60 121.94,-82.75 -94.78,-51.03 -69.74,-18.37 -66.49,25.42 -33.59,58.09 -29.53,86.31 68.78,56.30 139.32,23.62 143.13,-9.24 145.28,-41.98 147.93,-74.26 157.53,-72.51 -46.75,-40.18 -38.33,-7.43 -35.77,36.35 -2.66,68.87 4.02,77.71 158.01,45.44 171.06,12.67 173.90,-20.18 176.02,-52.82 179.43,-84.24 -146.96,-61.82 -12.01,-29.29 -7.31,3.52 -5.08,47.24 28.58,79.41 44.26,67.09 -163.82,34.54 -157.77,1.71 -155.41,-31.09 -153.14,-63.60 -148.06,-82.75 -4.78,-51.03 20.26,-18.37 23.51,14.48 25.63,58.09 60.47,86.31 158.78,56.30 -130.68,23.62 -126.87,-9.24 -124.72,-41.98 -122.07,-74.26 -112.47,-72.51 43.25,-40.18 51.67,-7.43 54.23,25.42 56.41
7.17 -95.10,39.97 -92.54,72.42 -84.16,74.22 71.66,41.82 81.24,9.02 83.88,-23.81 86.03,-56.41 89.86,-86.30 160.07,-58.24 -101.35,-25.66 -97.27,18.12 -64.38,50.85 -61.14,82.71 -36.26,63.51 107.24,30.91 112.30,-1.93 114.57,-34.72 116.94,-67.16 123.00,-79.48 -85.23,-47.43 -69.46,-14.74 -66.49,29.06 -33.56,61.69 -28.88,84.24 106.09,52.69 139.74,19.98 143.15,-12.88 145.27,-45.59 148.11,-77.74 161.18,-68.97 -44.92,-36.56 -38.21,-3.79 -35.79,39.97 -2.54,72.42 5.84,74.22 161.66,41.82 171.24,9.02 173.88,-23.81 176.03,-56.41 179.86,-86.30 -109.93,-58.24 -11.35,-25.66 -7.27,7.17 -5.10,50.85 28.86,82.71 53.74,63.51 -162.76,30.91 -157.70,-1.93 -155.43,-34.72 -153.06,-67.16 -147.00,-79.48 4.77,-47.43 20.54,-14.74 23.51,18.12 25.62,61.69 61.12,84.24 -163.91,52.69 -130.26,19.98 -126.85,-12.88 -124.73,-45.59 -121.89,-77.74 -108.82,-68.97 45.08,-36.56 51.79,-3.79 54.21,29.06 56.44
10.81 -95.12,43.60 -92.38,75.94 -81.33,70.68 73.92,38.20 81.38,5.38 83.86,-27.44 86.06,-60.00 90.42,-85.53 -148.94,-54.65 -100.86,-22.03 -97.25,21.76 -64.37,54.46 -60.77,85.49 -13.26,59.92 108.00,27.28 112.35,-5.57 114.55,-38.34 117.04,-70.71 124.50,-76.04 -80.38,-43.82 -69.24,-11.10 -66.50,32.69 -33.50,65.27 -27.99,81.13 120.57,49.08 140.06,16.33 143.15,-16.52 145.26,-49.19 148.36,-81.11 167.79,-65.42 -43.66,-32.94 -38.12,-0.14 -35.81,43.60 -2.38,75.94 8.67,70.68 163.92,38.20 171.38,5.38 173.86,-27.44 176.06,-60.00 -179.58,-85.53 -58.94,-54.65 -10.86,-22.03 -7.25,10.81 -5.12,54.46 29.23,85.49 76.74,59.92 -162.00,27.28 -157.65,-5.57 -155.45,-38.34 -152.96,-70.71 -145.50,-76.04 9.62,-43.82 20.76,-11.10 23.50,21.76 25.63,65.27 62.01,81.13 -149.43,49.08 -129.94,16.33 -126.85,-16.52 -124.74,-49.19 -121.64,-81.11 -102.21,-65.42 46.34,-32.94 51.88,-0.14 54.19,32.69 56.50
14.45 -95.13,47.22 -92.17,79.39 -76.53,67.12 75.42,34.57 81.48,1.74 83.84,-31.07 86.11,-63.57 91.18,-82.77 -125.63,-51.05 -100.49,-18.40 -97.24,25.40 -64.35,58.07 -60.29,86.31 37.68,56.32 108.56,23.64 112.38,-9.22 114.53,-41.95 117.17,-74.24 126.76,-72.53 -77.52,-40.20 -69.08,-7.45 -66.52,36.32 -33.41,68.84 -26.75,77.73 127.22,45.47 140.30,12.69 143.14,-20.16 145.26,-52.79 148.68,-84.22 -177.86,-61.84 -42.77,-29.32 -38.07,3.50 -35.83,47.22 -2.17,79.39 13.47,67.12 165.42,34.57 171.48,1.74 173.84,-31.07 176.11,-63.57 -178.82,-82.77 -35.63,-51.05 -10.49,-18.40 -7.24,14.45 -5.13,58.07 29.71,86.31 127.68,56.32 -161.44,23.64 -157.62,-9.22 -155.47,-41.95 -152.83,-74.24 -143.24,-72.53 12.48,-40.20 20.92,-7.45 23.48,25.40 25.65,68.84 63.25,77.73 -142.78,45.47 -129.70,12.69 -126.86,-20.16 -124.74,-52.79 -121.32,-84.22 -87.86,-61.84 47.23,-29.32 51.93,3.50 54.17,36.32 56.59
18.10 -95.13,50.83 -91.90,82.69 -67.10,63.54 76.48,30.93 81.55,-1.91 83.82,-34.69 86.18,-67.14 92.23,-79.50 -116.03,-47.45 -100.21,-14.76 -97.25,29.04 -64.31,61.66 -59.64,84.26 75.19,52.72 108.98,20.00 112.39,-12.86 114.52,-45.56 117.36,-77.71 130.40,-69.00 -75.68,-36.59 -68.97,-3.81 -66.54,39.95 -33.30,72.40 -24.93,74.24 130.89,41.84 140.49,9.05 143.13,-23.79 145.28,-56.39 149.10,-86.30 -141.03,-58.26 -42.11,-25.69 -38.03,7.14 -35.85,50.83 -1.90,82.69 22.90,63.54 166.48,30.93 171.55,-1.91 173.82,-34.69 176.18,-67.14 -177.77,-79.50 -26.03,-47.45 -10.21,-14.76 -7.25,18.10 -5.13,61.66 30.36,84.26 165.19,52.72 -161.02,20.00 -157.61,-12.86 -155.48,-45.56 -152.64,-77.71 -139.60,-69.00 14.32,-36.59 21.03,-3.81 23.46,29.04 25.69,72.40 65.07,74.24 -139.11,41.84 -129.51,9.05 -126.87,-23.79 -124.72,-56.39 -120.90,-86.30 -51.03,-58.26 47.89,-25.69 51.97,7.14 54.15,39.95 56.70
21.74 -95.12,54.44 -91.53,85.48 -44.25,59.95 77.24,27.30 81.60,-5.55 83.79,-38.31 86.28,-70.69 93.73,-76.06 -111.16,-43.84 -100.00,-11.12 -97.26,32.67 -64.25,65.25 -58.75,81.15 89.76,49.11 109.30,16.36 112.39,-16.50 114.51,-49.17 117.60,-81.09 136.98,-65.44 -74.42,-32.97 -68.88,-0.17 -66.56,43.57 -33.14,75.92 -22.11,70.70 133.15,38.22 140.62,5.40 143.11,-27.42 145.31,-59.97 149.66,-85.54 -89.93,-54.67 -41.62,-22.06 -38.01,10.79 -35.87,54.44 -1.53,85.48 45.75,59.95 167.24,27.30 171.60,-5.55 173.79,-38.31 176.28,-70.69 -176.27,-76.06 -21.16,-43.84 -10.00,-11.12 -7.26,21.74 -5.12,65.25 31.25,81.15 179.76,49.11 -160.70,16.36 -157.61,-16.50 -155.49,-49.17 -152.40,-81.09 -133.02,-65.44 15.58,-32.97 21.12,-0.17 23.44,32.67 25.75,75.92 67.89,70.70 -136.85,38.22 -129.38,5.40 -126.89,-27.42 -124.69,-59.97 -120.34,-85.54 0.07,-54.67 48.38,-22.06 51.99,10.79 54.13,43.57 56.86
25.38 -95.10,58.04 -91.05,86.32 6.57,56.35 77.80,23.66 81.62,-9.19 83.78,-41.93 86.42,-74.21 95.98,-72.56 -108.29,-40.23 -99.84,-7.48 -97.28,36.30 -64.17,68.82 -57.51,77.76 96.44,45.49 109.55,12.72 112.39,-20.13 114.51,-52.77 117.92,-84.20 151.25,-61.87 -73.53,-29.34 -68.82,3.48 -66.59,47.19 -32.93,79.37 -17.33,67.14 134.66,34.59 140.72,1.76 143.09,-31.05 145.35,-63.55 150.42,-82.79 -66.47,-51.07 -41.25,-18.42 -38.00,14.43 -35.88,58.04 -1.05,86.32 96.57,56.35 167.80,23.66 171.62,-9.19 173.78,-41.93 176.42,-74.21 -174.02,-72.56 -18.29,-40.23 -9.84,-7.48 -7.28,25.38 -5.10,68.82 32.49,77.76 -173.56,45.49 -160.45,12.72 -157.61,-20.13 -155.49,-52.77 -152.08,-84.20 -118.75,-61.87 16.47,-29.34 21.18,3.48 23.41,36.30 25.83,79.37 72.67,67.14 -135.34,34.59 -129.28,1.76 -126.91,-31.05 -124.65,-63.55 -119.58,-82.79 23.53,-51.07 48.75,-18.42 52.00,14.43 54.12,47.19 57.07
29.01 -95.07,61.64 -90.40,84.28 44.29,52.74 78.23,20.02 81.64,-12.83 83.76,-45.54 86.60,-77.69 99.61,-69.02 -106.45,-36.61 -99.72,-3.84 -97.30,39.93 -64.05,72.37 -55.70,74.26 100.11,41.87 109.73,9.07 112.37,-23.77 114.52,-56.36 118.34,-86.29 -172.13,-58.28 -72.87,-25.71 -68.78,7.12 -66.61,50.81 -32.65,82.67 -7.95,63.56 135.71,30.96 140.79,-1.88 143.06,-34.67 145.43,-67.12 151.47,-79.52 -56.83,-47.47 -40.97,-14.78 -38.00,18.07 -35.89,61.64 -0.40,84.28 134.29,52.74 168.23,20.02 171.64,-12.83 173.76,-45.54 176.60,-77.69 -170.39,-69.02 -16.45,-36.61 -9.72,-3.84 -7.30,29.01 -5.07,72.37 34.30,74.26 -169.89,41.87 -160.27,9.07 -157.63,-23.77 -155.48,-56.36 -151.66,-86.29 -82.13,-58.28 17.13,-25.71 21.22,7.12 23.39,39.93 25.95,82.67 82.05,63.56 -134.29,30.96 -129.21,-1.88 -126.94,-34.67 -124.57,-67.12 -118.53,-79.52 33.17,-47.47 49.03,-14.78 52.00,18.07 54.11,50.81 57.35
32.65 -95.01,65.22 -89.51,81.17 58.94,49.13 78.55,16.38 81.64,-16.47 83.75,-49.15 86.84,-81.07 106.17,-65.46 -105.19,-32.99 -99.63,-0.19 -97.32,43.55 -63.90,75.89 -52.89,70.73 102.38,38.24 109.87,5.43 112.35,-27.40 114.55,-59.95 118.90,-85.56 -120.92,-54.69 -72.38,-22.08 -68.76,10.76 -66.62,54.42 -32.29,85.46 14.77,59.97 136.48,27.32 140.84,-5.53 143.04,-38.29 145.53,-70.67 152.97,-76.08 -51.94,-43.86 -40.75,-11.14 -38.01,21.71 -35.88,65.22 0.49,81.17 148.94,49.13 168.55,16.38 171.64,-16.47 173.75,-49.15 176.84,-81.07 -163.83,-65.46 -15.19,-32.99 -9.63,-0.19 -7.32,32.65 -5.01,75.89 37.11,70.73 -167.62,38.24 -160.13,5.43 -157.65,-27.40 -155.45,-59.95 -151.10,-85.56 -30.92,-54.69 17.62,-22.08 21.24,10.76 23.38,43.55 26.10,85.46 104.77,59.97 -133.52,27.32 -129.16,-5.53 -126.96,-38.29 -124.47,-70.67 -117.03,-76.08 38.06,-43.86 49.25,-11.14 51.99,21.71 54.12,54.42 57.71
36.28 -94.93,68.80 -88.27,77.78 65.65,45.51 78.79,12.74 81.63,-20.11 83.76,-52.75 87.16,-84.18 120.35,-61.89 -104.29,-29.36 -99.58,3.45 -97.34,47.17 -63.69,79.35 -48.12,67.16 103.90,34.61 109.97,1.78 112.33,-31.02 114.60,-63.53 119.66,-82.81 -97.32,-51.10 -72.01,-18.44 -68.75,14.41 -66.64,58.02 -31.81,86.33 65.46,56.37 137.04,23.69 140.87,-9.17 143.02,-41.91 145.66,-74.19 155.21,-72.58 -49.06,-40.25 -40.59,-7.50 -38.03,25.35 -35.86,68.80 1.73,77.78 155.65,45.51 168.79,12.74 171.63,-20.11 173.76,-52.75 177.16,-84.18 -149.65,-61.89 -14.29,-29.36 -9.58,3.45 -7.34,36.28 -4.93,79.35 41.88,67.16 -166.10,34.61 -160.03,1.78 -157.67,-31.02 -155.40,-63.53 -150.34,-82.81 -7.32,-51.10 17.99,-18.44 21.25,14.41 23.36,47.17 26.31,86.33 155.46,56.37 -132.96,23.69 -129.13,-9.17 -126.98,-41.91 -124.34,-74.19 -114.79,-72.58 40.94,-40.25 49.41,-7.50 51.97,25.35 54.14,58.02 58.19
