-0.081521 -95.104381,39.945971 -59.366393,53.141420 16.674831,20.861274 69.561100,-21.002550 100.460779,-53.154442 153.299647,-40.027827 -130.848799,13.975474 -25.066223,49.827930 20.536534,45.320345 100.180592,6.973834 140.065408,-34.067107 173.048635,-54.917579 -117.620930,-27.681069 -56.476971,27.556093 46.262577,54.916294 107.500247,33.962213 176.976837,-7.134415 -150.046636,-45.377539 -110.161572,-49.861037 -30.730780,-14.128734 14.855793,39.945971 120.633607,53.141420 -163.325169,20.861274 -110.438900,-21.002550 -79.539221,-53.154442 -26.700353,-40.027827 49.151201,-0.081521 84.895619,49.827930 -159.463466,45.320345 -79.819408,6.973834 -39.934592,-34.067107 -6.951365,-54.917579 62.379070,-27.681069 123.523029,13.975474 154.933777,54.916294 -72.499753,33.962213 -3.023163,-7.134415 29.953364,-45.377539 69.838428,-49.861037 149.269220,-14.128734 -165.144207,27.556093 -133.737423
1.415086 -94.188525,41.143158 -57.694714,52.556775 19.389175,19.415389 70.616107,-22.436831 101.538925,-53.666300 156.079096,-38.808611 -129.239725,15.446460 -24.078963,50.641713 22.943549,44.244103 102.113586,5.481419 140.993599,-35.370975 174.456912,-54.686255 -114.640636,-26.286668 -55.295571,28.941450 47.476854,55.068596 110.520745,32.634902 178.338504,-8.623289 -149.111532,-46.409892 -108.152976,-48.998651 -28.414165,-12.654542 15.829313,41.143158 122.305286,52.556775 -160.610825,19.415389 -109.383893,-22.436831 -78.461075,-53.666300 -23.920904,-38.808611 50.760275,1.415086 85.811475,50.641713 -157.056451,44.244103 -77.886414,5.481419 -39.006401,-35.370975 -5.543088,-54.686255 65.359364,-26.286668 124.704429,15.446460 155.921037,55.068596 -69.479255,32.634902 -1.661496,-8.623289 30.888468,-46.409892 71.847024,-48.998651 151.585835,-12.654542 -164.170687,28.941450 -132.523146
2.911283 -93.271283,42.311088 -55.957403,51.905900 22.024975,17.961784 71.650391,-23.861607 102.641828,-54.106106 158.924573,-37.564210 -127.689160,16.911643 -23.075940,51.398555 25.436270,43.131959 103.971781,3.987156 141.916534,-36.654411 175.914718,-54.376432 -111.701284,-24.880284 -54.145015,30.312871 48.727006,55.139229 113.558751,31.290246 179.656695,-10.109000 -148.168194,-47.400752 -106.064232,-48.086265 -26.182565,-11.175604 16.790377,42.311088 124.042597,51.905900 -157.975025,17.961784 -108.349609,-23.861607 -77.358172,-54.106106 -21.075427,-37.564210 52.310840,2.911283 86.728717,51.398555 -154.563730,43.131959 -76.028219,3.987156 -38.083466,-36.654411 -4.085282,-54.376432 68.298716,-24.880284 125.854985,16.911643 156.924060,55.139229 -66.441249,31.290246 -0.343305,-10.109000 31.831806,-47.400752 73.935768,-48.086265 153.817435,-11.175604 -163.209623,30.312871 -131.272994
4.406545 -92.351242,43.447455 -54.151006,51.192160 24.578474,16.501192 72.665840,-25.276014 103.771640,-54.471169 161.828001,-36.296482 -126.193731,18.370346 -22.055392,52.095002 28.013159,41.986495 105.758450,2.491578 142.835646,-37.915774 177.425280,-53.990146 -108.813219,-23.462877 -53.022976,31.669177 50.015720,55.127694 116.601427,29.929575 -179.065688,-11.590981 -147.215105,-48.347103 -103.893054,-47.127114 -24.034717,-9.692518 17.740576,43.447455 125.848994,51.192160 -155.421526,16.501192 -107.334160,-25.276014 -76.228360,-54.471169 -18.171999,-36.296482 53.806269,4.406545 87.648758,52.095002 -151.986841,41.986495 -74.241550,2.491578 -37.164354,-37.915774 -2.574720,-53.990146 71.186781,-23.462877 126.977024,18.370346 157.944608,55.127694 -63.398573,29.929575 0.934312,-11.590981 32.784895,-48.347103 76.106946,-47.127114 155.965283,-9.692518 -162.259424,31.669177 -129.984280
5.900344 -91.426978,44.549794 -52.272148,50.418994 27.047254,15.034314 73.664265,-26.679136 104.930610,-54.759155 164.779934,-35.007154 -124.750142,19.821861 -21.015488,52.727630 30.671435,40.810130 107.476996,0.995214 143.752357,-39.153302 178.991917,-53.529840 -105.985514,-22.035350 -51.927231,33.009105 51.345811,55.034073 119.635802,28.554129 -177.825868,-13.068649 -146.250708,-49.245792 -101.637699,-46.124314 -21.968711,-8.205863 18.681452,44.549794 127.727852,50.418994 -152.952746,15.034314 -106.335735,-26.679136 -75.069390,-54.759155 -15.220066,-35.007154 55.249858,5.900344 88.573022,52.727630 -149.328565,40.810130 -72.523004,0.995214 -36.247643,-39.153302 -1.008083,-53.529840 74.014486,-22.035350 128.072769,19.821861 158.984512,55.034073 -60.364198,28.554129 2.174132,-13.068649 33.749292,-49.245792 78.362301,-46.124314 158.031289,-8.205863 -161.318548,33.009105 -128.654189
7.392143 -90.497052,45.615478 -50.317607,49.589855 29.430102,13.561818 74.647411,-28.069995 106.121097,-54.968153 167.769704,-33.697832 -123.355195,21.265442 -19.954317,53.293107 33.406947,39.605128 109.130886,-0.501415 144.668076,-40.365100 -179.381980,-52.998291 -103.225843,-20.598550 -50.855659,34.331298 52.720214,54.859025 122.649140,27.165063 -176.621190,-14.541400 -145.273402,-50.093554 -99.297109,-45.080842 -19.982130,-6.716201 19.614514,45.615478 129.682393,49.589855 -150.569898,13.561818 -105.352589,-28.069995 -73.878903,-54.968153 -12.230296,-33.697832 56.644805,7.392143 89.502948,53.293107 -146.593053,39.605128 -70.869114,-0.501415 -35.331924,-40.365100 0.618020,-52.998291 76.774157,-20.598550 129.144341,21.265442 160.045683,54.859025 -57.350860,27.165063 3.378810,-14.541400 34.726598,-50.093554 80.702891,-45.080842 160.017870,-6.716201 -160.385486,34.331298 -127.279786
8.881398 -89.559997,46.641723 -48.284395,48.708161 31.726869,12.084343 75.616958,-29.447548 107.345572,-55.096737 170.785645,-32.370011 -122.005800,22.700302 -18.869884,53.788257 36.214097,38.373603 110.723595,-1.997787 145.584209,-41.549136 -177.692978,-52.398538 -100.540422,-19.153282 -49.806232,35.634298 54.141988,54.603767 125.629292,25.763457 -175.449120,-16.008607 -144.281534,-50.887036 -96.871060,-43.999528 -18.072171,-5.224083 20.541235,46.641723 131.715605,48.708161 -148.273131,12.084343 -104.383042,-29.447548 -72.654428,-55.096737 -9.214355,-32.370011 57.994200,8.881398 90.440003,53.788257 -143.785903,38.373603 -69.276405,-1.997787 -34.415791,-41.549136 2.307022,-52.398538 79.459578,-19.153282 130.193768,22.700302 161.130116,54.603767 -54.370708,25.763457 4.550880,-16.008607 35.718466,-50.887036 83.128940,-43.999528 161.927829,-5.224083 -159.458765,35.634298 -125.858012
10.367548 -88.614322,47.625586 -46.169862,47.777257 33.938309,10.602504 76.574532,-30.810679 108.606625,-55.144015 173.815372,-31.025082 -120.698983,24.125610 -17.760103,54.210136 39.085802,37.117522 112.258568,-3.493381 146.502163,-42.703230 -175.937638,-51.733810 -97.934018,-17.700303 -48.777008,36.916539 55.614308,54.270029 128.565006,24.350322 -174.307243,-17.469617 -143.273389,-51.622837 -94.360312,-42.883042 -16.235749,-3.730048 21.463067,47.625586 133.830138,47.777257 -146.061691,10.602504 -103.425468,-30.810679 -71.393375,-55.144015 -6.184628,-31.025082 59.301017,10.367548 91.385678,54.210136 -140.914198,37.117522 -67.741432,-3.493381 -33.497837,-42.703230 4.062362,-51.733810 82.065982,-17.700303 131.222992,24.125610 162.239897,54.270029 -51.434994,24.350322 5.692757,-17.469617 36.726611,-51.622837 85.639688,-42.883042 163.764251,-3.730048 -158.536933,36.916539 -124.385692
11.850022 -87.658497,48.563980 -43.971810,46.800383 36.065931,9.116897 77.521712,-32.158195 109.906965,-55.109655 176.846115,-29.664341 -119.431894,25.540481 -16.622791,54.556109 42.013524,35.838719 113.739188,-4.987671 147.423352,-43.825049 -174.112563,-51.007455 -95.410003,-16.240335 -47.766126,38.176335 57.140454,53.859999 131.446185,22.926607 -173.193252,-18.923750 -142.247191,-52.297546 -91.766760,-41.733898 -14.469594,-2.234626 22.381438,48.563980 136.028190,46.800383 -143.934069,9.116897 -102.478288,-32.158195 -70.093035,-55.109655 -3.153885,-29.664341 60.568106,11.850022 92.341503,54.556109 -137.986476,35.838719 -66.260812,-4.987671 -32.576648,-43.825049 5.887437,-51.007455 84.589997,-16.240335 132.233874,25.540481 163.377209,53.859999 -48.553815,22.926607 6.806748,-18.923750 37.752809,-52.297546 88.233240,-41.733898 165.530406,-2.234626 -157.618562,38.176335 -122.859546
13.328229 -86.690953,49.453685 -41.688623,45.780648 38.111850,7.628097 78.460030,-33.488815 111.249425,-54.993896 179.865077,-28.288995 -118.201804,26.943978 -15.455659,54.823920 44.987363,34.538898 115.168751,-6.480128 148.349203,-44.912106 -172.214457,-50.222877 -92.970467,-14.774065 -46.771796,39.411875 58.723794,53.376260 134.264066,21.493202 -172.104947,-20.370289 -141.201089,-52.907805 -89.093568,-40.554454 -12.770318,-0.738342 23.297765,49.453685 138.311377,45.780648 -141.888150,7.628097 -101.539970,-33.488815 -68.750575,-54.993896 -0.134923,-28.288995 61.798196,13.328229 93.309047,54.823920 -135.012637,34.538898 -64.831249,-6.480128 -31.650797,-44.912106 7.785543,-50.222877 87.029533,-14.774065 133.228204,26.943978 164.544341,53.376260 -45.735934,21.493202 7.895053,-20.370289 38.798911,-52.907805 90.906432,-40.554454 167.229682,-0.738342 -156.702235,39.411875 -121.276206
14.801555 -85.710070,50.291371 -39.319418,44.721018 40.078654,6.136663 79.390987,-34.801162 112.636957,-54.797547 -177.140210,-26.900171 -117.006104,28.335099 -14.256309,55.011760 47.996237,33.219644 116.550446,-7.970215 149.281164,-45.961753 -170.240201,-49.383483 -90.616339,-13.302149 -45.792296,40.621213 60.367767,52.821711 137.011330,20.050948 -171.040228,-21.808481 -140.133156,-53.450360 -86.345276,-39.346911 -11.134487,0.758281 24.213457,50.291371 140.680582,44.721018 -139.921346,6.136663 -100.609013,-34.801162 -67.363043,-54.797547 2.859790,-26.900171 62.993896,14.801555 94.289930,55.011760 -132.003763,33.219644 -63.449554,-7.970215 -30.718836,-45.961753 9.759799,-49.383483 89.383661,-13.302149 134.207704,28.335099 165.743691,52.821711 -42.988670,20.050948 8.959772,-21.808481 39.866844,-53.450360 93.654724,-39.346911 168.865513,0.758281 -155.786543,40.621213 -119.632233
