-0.081521 -95.104381,31.866252 -69.393689,53.919398 -22.154693,45.320345 40.180592,16.286976 73.211584,-16.436746 96.808994,-45.377539 129.838428,-53.927367 -167.996919,-31.978217 -120.821846,10.874030 -27.359062,41.200807 2.521341,55.006291 60.757161,36.683472 113.700127,5.408591 141.171603,-26.951426 165.691820,-51.860185 -152.553976,-48.955293 -88.170492,-21.755795 -51.184833,21.616125 40.972303,48.917038 77.971791,51.839002 142.543457,26.824440 -175.668069,-5.570144 -151.153000,-36.778428 -123.674560,-55.006960 -70.832463,-41.277263 -12.735822,-11.031134 17.149276,31.866252 110.606311,53.919398 157.845307,45.320345 -139.819408,16.286976 -106.788416,-16.436746 -83.191006,-45.377539 -50.161572,-53.927367 12.003081,-31.978217 59.178154,-0.081521 84.895619,41.200807 -177.478659,55.006291 -119.242839,36.683472 -66.299873,5.408591 -38.828397,-26.951426 -14.308180,-51.860185 27.446024,-48.955293 91.829508,-21.755795 128.815167,10.874030 152.640938,48.917038 -102.028209,51.839002 -37.456543,26.824440 4.331931,-5.570144 28.847000,-36.778428 56.325440,-55.006960 109.167537,-41.277263 167.264178,-11.031134 -162.850724,21.616125 -139.027697
1.415086 -94.188525,33.203672 -68.057302,54.319326 -19.265651,44.244103 42.113586,14.819235 74.207666,-17.895816 97.822233,-46.409892 131.847024,-53.456458 -165.178722,-30.628532 -119.526943,12.355115 -26.399416,42.367254 4.261941,54.815485 63.764956,35.397309 115.162953,3.914252 142.094317,-28.339773 166.888739,-52.513268 -149.932816,-48.040552 -85.943011,-20.317283 -50.117737,23.048734 42.062720,49.786851 80.288474,51.119314 145.088780,25.419932 -174.503579,-7.061740 -150.224938,-38.037546 -122.158677,-55.115782 -67.811999,-40.086603 -11.061707,-9.547675 18.098497,33.203672 111.942698,54.319326 160.734349,44.244103 -137.886414,14.819235 -105.792334,-17.895816 -82.177767,-46.409892 -48.152976,-53.456458 14.821278,-30.628532 60.473057,1.415086 85.811475,42.367254 -175.738059,54.815485 -116.235044,35.397309 -64.837047,3.914252 -37.905683,-28.339773 -13.111261,-52.513268 30.067184,-48.040552 94.056989,-20.317283 129.882263,12.355115 153.600584,49.786851 -99.711526,51.119314 -34.911220,25.419932 5.496421,-7.061740 29.775062,-38.037546 57.841323,-55.115782 112.188001,-40.086603 168.938293,-9.547675 -161.901503,23.048734 -137.937280
2.911283 -93.271283,34.523151 -66.676163,54.642645 -16.323355,43.131959 43.971781,13.345971 75.188719,-19.347803 98.854060,-47.400752 133.935768,-52.914736 -162.429560,-29.263396 -118.270957,13.831726 -25.427503,43.502020 6.071795,54.544768 66.737291,34.090682 116.575823,2.418624 143.013280,-29.714603 168.120142,-53.100775 -147.233407,-47.079201 -83.799203,-18.870452 -49.072401,24.471580 43.179008,50.603322 82.691291,50.340538 147.549214,24.004132 -173.368709,-8.550754 -149.290198,-39.272650 -120.586390,-55.143164 -64.780840,-38.868664 -9.449692,-8.060702 19.038546,34.523151 113.323837,54.642645 163.676645,43.131959 -136.028219,13.345971 -104.811281,-19.347803 -81.145940,-47.400752 -46.064232,-52.914736 17.570440,-29.263396 61.729043,2.911283 86.728717,43.502020 -173.928205,54.544768 -113.262709,34.090682 -63.424177,2.418624 -36.986720,-29.714603 -11.879858,-53.100775 32.766593,-47.079201 96.200797,-18.870452 130.927599,13.831726 154.572497,50.603322 -97.308709,50.340538 -32.450786,24.004132 6.631291,-8.550754 30.709802,-39.272650 59.413610,-55.143164 115.219160,-38.868664 170.550308,-8.060702 -160.961454,24.471580 -136.820992
4.406545 -92.351242,35.823215 -65.247195,54.887223 -13.338071,41.986495 45.758450,11.867820 76.156414,-20.791979 99.906346,-48.347103 136.106946,-52.305272 -159.755435,-27.883994 -117.051193,15.303242 -24.441688,44.602633 7.954270,54.195964 69.663121,32.765137 117.941890,0.922234 143.929910,-31.074785 169.388641,-53.619504 -144.460775,-46.074349 -81.737130,-17.416054 -48.046898,25.883767 44.323376,51.363021 85.179859,49.506123 149.923658,22.577975 -172.261180,-10.036633 -148.347296,-40.481833 -118.954305,-55.088913 -61.751795,-37.625448 -7.896353,-6.570777 19.970925,35.823215 114.752805,54.887223 166.661929,41.986495 -134.241550,11.867820 -103.843586,-20.791979 -80.093654,-48.347103 -43.893054,-52.305272 20.244565,-27.883994 62.948807,4.406545 87.648758,44.602633 -172.045730,54.195964 -110.336879,32.765137 -62.058110,0.922234 -36.070090,-31.074785 -10.611359,-53.619504 35.539225,-46.074349 98.262870,-17.416054 131.953102,15.303242 155.558312,51.363021 -94.820141,49.506123 -30.076342,22.577975 7.738820,-10.036633 31.652704,-40.481833 61.045695,-55.088913 118.248205,-37.625448 172.103647,-6.570777 -160.029075,25.883767 -135.676624
5.900344 -91.426978,37.102280 -63.767208,55.051396 -10.321186,40.810130 47.476996,10.385393 77.112370,-22.227581 100.981043,-49.245792 138.362301,-51.631318 -157.160905,-26.491429 -115.865079,16.769021 -23.440279,45.666460 9.912580,53.771343 72.532597,31.422113 119.264192,-0.574395 144.845617,-32.419109 170.696971,-54.066461 -141.621406,-45.028968 -79.754353,-15.954804 -47.039383,27.284342 45.498137,52.062493 87.752697,48.619485 152.212056,21.142337 -171.178816,-11.518809 -147.394718,-41.663047 -117.258984,-54.953409 -58.737617,-36.358816 -6.398313,-5.078449 20.897106,37.102280 116.232792,55.051396 169.678814,40.810130 -132.523004,10.385393 -102.887630,-22.227581 -79.018957,-49.245792 -41.637699,-51.631318 22.839095,-26.491429 64.134921,5.900344 88.573022,45.666460 -170.087420,53.771343 -107.467403,31.422113 -60.735808,-0.574395 -35.154383,-32.419109 -9.303029,-54.066461 38.378594,-45.028968 100.245647,-15.954804 132.960617,16.769021 156.559721,52.062493 -92.247303,48.619485 -27.787944,21.142337 8.821184,-11.518809 32.605282,-41.663047 62.741016,-54.953409 121.262383,-36.358816 173.601687,-5.078449 -159.102894,27.284342 -134.501863
7.392143 -90.497052,38.358644 -62.232908,55.134022 -7.284948,39.605128 49.130886,8.899283 78.058159,-23.653800 102.080193,-50.093554 140.702891,-50.896231 -154.649148,-25.086737 -114.710159,18.228387 -22.421520,46.690707 11.949699,53.273556 75.337231,30.062948 120.545641,-2.070741 145.761806,-33.746275 172.047987,-54.438923 -138.723235,-43.945878 -77.848053,-14.487382 -46.048079,28.672286 46.705720,52.698312 90.407089,47.683957 154.415244,19.698047 -170.119540,-12.996701 -146.430909,-42.814098 -115.496991,-54.737594 -55.750638,-35.070503 -4.952271,-3.584255 21.818537,38.358644 117.767092,55.134022 172.715052,39.605128 -130.869114,8.899283 -101.941841,-23.653800 -77.919807,-50.093554 -39.297109,-50.896231 25.350852,-25.086737 65.289841,7.392143 89.502948,46.690707 -168.050301,53.273556 -104.662769,30.062948 -59.454359,-2.070741 -34.238194,-33.746275 -7.952013,-54.438923 41.276765,-43.945878 102.151947,-14.487382 133.951921,18.228387 157.578480,52.698312 -89.592911,47.683957 -25.584756,19.698047 9.880460,-12.996701 33.569091,-42.814098 64.503009,-54.737594 124.249362,-35.070503 175.047729,-3.584255 -158.181463,28.672286 -133.294280
8.881398 -89.559997,39.590476 -60.640914,55.134516 -4.242144,38.373603 50.723595,7.410063 78.995308,-25.069780 103.205930,-50.887036 143.128940,-50.103422 -152.222074,-23.670885 -113.584089,19.680635 -21.383587,47.672426 14.068258,52.705555 78.069996,28.688891 121.789029,-3.566283 146.679884,-35.054890 173.444666,-54.734517 -135.775582,-42.827743 -76.015135,-13.014440 -45.071276,30.046516 47.948666,53.267138 93.138952,46.702768 156.534797,18.245889 -169.081364,-14.469706 -145.454271,-43.932639 -113.664936,-54.442937 -52.802451,-33.762120 -3.555024,-2.088726 22.736647,39.590476 119.359086,55.134516 175.757856,38.373603 -129.276405,7.410063 -101.004692,-25.069780 -76.794070,-50.887036 -36.871060,-50.103422 27.777926,-23.670885 66.415911,8.881398 90.440003,47.672426 -165.931742,52.705555 -101.930004,28.688891 -58.210971,-3.566283 -33.320116,-35.054890 -6.555334,-54.734517 44.224418,-42.827743 103.984865,-13.014440 134.928724,19.680635 158.616413,53.267138 -86.861048,46.702768 -23.465203,18.245889 10.918636,-14.469706 34.545729,-43.932639 66.335064,-54.442937 127.197549,-33.762120 176.444976,-2.088726 -157.263353,30.046516 -132.051334
10.367548 -88.614322,40.795809 -58.987780,55.052876 -1.205750,37.117522 52.258568,5.918291 79.925311,-26.474613 104.360490,-51.622837 145.639688,-49.256293 -149.880456,-22.244784 -112.484632,21.125024 -20.324576,48.608522 16.270430,52.070522 80.725345,27.301104 122.997021,-5.060496 147.601267,-36.343454 174.890102,-54.951289 -132.789002,-41.677068 -74.252320,-11.536603 -44.107323,31.405866 49.229642,53.765788 95.942761,45.679014 158.572880,16.786604 -168.062386,-15.937198 -144.463151,-45.016166 -111.759537,-54.071386 -49.903628,-32.435168 -2.203477,-0.592386 23.652851,40.795809 121.012220,55.052876 178.794250,37.117522 -127.741432,5.918291 -100.074689,-26.474613 -75.639510,-51.622837 -34.360312,-49.256293 30.119544,-22.244784 67.515368,10.367548 91.385678,48.608522 -163.729570,52.070522 -99.274655,27.301104 -57.002979,-5.060496 -32.398733,-36.343454 -5.109898,-54.951289 47.210998,-41.677068 105.747680,-11.536603 135.892677,21.125024 159.675424,53.765788 -84.057239,45.679014 -21.427120,16.786604 11.937614,-15.937198 35.536849,-45.016166 68.240463,-54.071386 130.096372,-32.435168 177.796523,-0.592386 -156.347149,31.405866 -130.770358
11.850022 -87.658497,41.972531 -57.270032,54.889677 1.811442,35.838719 53.739188,4.424513 80.849634,-27.867329 105.546215,-52.297546 148.233240,-48.358196 -147.624081,-20.809290 -111.409653,22.560770 -19.242501,49.495768 18.557797,51.371794 83.299183,25.900676 124.172163,-6.552850 148.527383,-37.610356 176.387498,-55.087765 -129.775078,-40.496203 -72.556218,-10.054474 -43.154619,32.749092 50.551435,54.191304 98.811505,44.615646 160.532120,15.320899 -167.060779,-17.398526 -143.455841,-46.062017 -109.777697,-53.625310 -47.063501,-31.091043 -0.894652,0.904242 24.568555,41.972531 122.729968,54.889677 -178.188558,35.838719 -126.260812,4.424513 -99.150366,-27.867329 -74.453785,-52.297546 -31.766760,-48.358196 32.375919,-20.809290 68.590347,11.850022 92.341503,49.495768 -161.442203,51.371794 -96.700817,25.900676 -55.827837,-6.552850 -31.472617,-37.610356 -3.612502,-55.087765 50.224922,-40.496203 107.443782,-10.054474 136.845381,22.560770 160.757499,54.191304 -81.188495,44.615646 -19.467880,15.320899 12.939221,-17.398526 36.544159,-46.062017 70.222303,-53.625310 132.936499,-31.091043 179.105348,0.904242 -155.431445,32.749092 -129.448565
13.328229 -86.690953,43.118381 -55.484202,54.646056 4.797176,34.538898 55.168751,2.929265 81.769718,-29.246896 106.765559,-52.907805 150.906432,-47.412400 -145.451900,-19.365212 -110.357109,23.987047 -18.135287,50.330830 20.931205,50.612799 85.788775,24.488623 125.316881,-8.042807 149.459679,-38.853865 177.940153,-55.142996 -126.746137,-39.287344 -70.923392,-8.568637 -42.211610,34.074856 51.916959,54.541034 101.736714,43.515459 162.415489,13.849448 -166.074787,-18.853011 -142.430566,-47.067373 -107.716592,-53.107425 -44.290026,-29.731044 0.374310,2.400638 25.485165,43.118381 124.515798,54.646056 -175.202824,34.538898 -124.831249,2.929265 -98.230282,-29.246896 -73.234441,-52.907805 -29.093568,-47.412400 34.548100,-19.365212 69.642891,13.328229 93.309047,50.330830 -159.068795,50.612799 -94.211225,24.488623 -54.683119,-8.042807 -30.540321,-38.853865 -2.059847,-55.142996 53.253863,-39.287344 109.076608,-8.568637 137.788390,23.987047 161.864713,54.541034 -78.263286,43.515459 -17.584511,13.849448 13.925213,-18.853011 37.569434,-47.067373 72.283408,-53.107425 135.709974,-29.731044 -179.625690,2.400638 -154.514835,34.074856 -128.083041
14.801555 -85.710070,44.230940 -53.626887,54.323673 7.740052,33.219644 56.550446,1.433077 82.686985,-30.612210 108.021094,-53.450360 153.654724,-46.422056 -143.362178,-17.913315 -109.325048,25.402977 -17.000759,51.110296 23.390609,49.796990 88.192627,23.065899 126.433494,-9.529819 150.399626,-40.072119 179.551441,-55.116596 -123.714928,-38.052540 -69.350407,-7.079658 -41.276781,35.381719 53.329247,54.812702 104.708553,42.381088 164.226196,12.372894 -165.102716,-20.299937 -141.385479,-48.029265 -105.573779,-52.520727 -41.589704,-28.356384 1.606143,3.896278 26.404092,44.230940 126.373113,54.323673 -172.259948,33.219644 -123.449554,1.433077 -97.313015,-30.612210 -71.978906,-53.450360 -26.345276,-46.422056 36.637822,-17.913315 70.674952,14.801555 94.289930,51.110296 -156.609391,49.796990 -91.807373,23.065899 -53.566506,-9.529819 -29.600374,-40.072119 -0.448559,-55.116596 56.285072,-38.052540 110.649593,-7.079658 138.723219,25.402977 162.999241,54.812702 -75.291447,42.381088 -15.773804,12.372894 14.897284,-20.299937 38.614521,-48.029265 74.426221,-52.520727 138.410296,-28.356384 -178.393857,3.896278 -153.595908,35.381719 -126.670753
